title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
FASHION,Mark Power,true,"The photographs in FASHION were made by Mark Power over a period of 27 years and across 23 countries. They were taken at construction sites, factories, quarries, shipyards, foundries, recycling facilities, theatres and other locations where things are being made, or fashioned.
Please note, the book weighs nearly 3kg and so postage costs are higher than usual to account for this.

Published December 2025
285 x 199 mm
520pp, 287 images
Hardback
ISBN 978-1-80598-000-1",https://gostbooks.com/cdn/shop/files/GOST-Mark-Power-FASHION-LR-v2_d0be2ed5-a680-4e82-a61b-3ec88539730a.jpg?v=1766053598&width=1946,https://gostbooks.com/cdn/shop/files/Mark-Power_Fashion-cover_027a55a0-cf8d-4c28-a9aa-1db15e82569b.jpg?v=1766053598&width=1946|https://gostbooks.com/cdn/shop/files/Mark-Power_Fashion-1.webp?v=1766053598&width=1946|https://gostbooks.com/cdn/shop/files/Mark-Power_Fashion-2.webp?v=1766053598&width=1946|https://gostbooks.com/cdn/shop/files/Mark-Power_Fashion-3.webp?v=1766053598&width=1946|https://gostbooks.com/cdn/shop/files/Mark-Power_Fashion-4.webp?v=1766053598&width=1946,available,https://gostbooks.com/products/fashion
An Extremely Un-Get-Atable Place,Craig Easton,true,"‘It’s an extremely un-get-atable place, but it’s a nice house and I think I can make it quite comfortable with a little trouble.’—George Orwell
An Extremely Un-get-atable Place is a lyrical reimagining of the time that writer George Orwell lived at Barnhill, a remote farmhouse on the Isle of Jura in Scotland. It was here that Orwell wrote his landmark book Nineteen Eighty-Four—a dire warning of the dangers of totalitarianism and political despotism. Photographer Craig Easton was invited to stay at Barnhill—largely unchanged since Orwell’s time—where he made a series of landscape and still life images. In Easton’s new book, these photographs are presented alongside extracts from Orwell’s letters and diaries written on the island.

Published December 2025
Text by Richard Blair
270 x 330 mm
100pp, 58 images
Hardback
ISBN 978-1-80598-014-8",https://gostbooks.com/cdn/shop/files/AnExtremlyUngetatableplace-Craig-Easton.jpg?v=1765545540&width=1946,https://gostbooks.com/cdn/shop/files/Craig_Easton-An_Extremely_Un-get-atable_Place-4a.jpg?v=1765545540&width=1946|https://gostbooks.com/cdn/shop/files/Craig_Easton-An_Extremely_Un-get-atable_Place-5a.jpg?v=1765545540&width=1946|https://gostbooks.com/cdn/shop/files/Craig_Easton-An_Extremely_Un-get-atable_Place-8a.jpg?v=1765545540&width=1946|https://gostbooks.com/cdn/shop/files/Craig_Easton-An_Extremely_Un-get-atable_Place-3a.jpg?v=1765546181&width=1946|https://gostbooks.com/cdn/shop/files/Craig_Easton-An_Extremely_Un-get-atable_Place-6a.jpg?v=1765546181&width=1946,available,https://gostbooks.com/products/an-extremely-un-get-atable-place-craig-easton
Flowers for Bea,Brendan Barry,true,"Flowers for Bea is a book of still life photographs of wildflowers collected close to artist Brendan Barry’s home in Devon. The images were created in a camera obscura—a room sized camera, operated from the inside—using two distinct analogue processes. The creation of each photograph involved a painstaking process of alchemy and patience with a successful exposure sometimes taking up to 8 hours. 
A video showing Barry’s process can be viewed here.

Published December 2025
292 x 350 mm
88pp, 48 images
Hardback
ISBN 978-1-80598-007-0",https://gostbooks.com/cdn/shop/files/Brendan_Barry-Flowers_For_Bea-cover-br_4d3e92c8-dfe4-4416-85e9-429f2e4f3582.jpg?v=1765899191&width=1946,https://gostbooks.com/cdn/shop/files/Brendan_Barry-Flowers_For_Bea-1a.jpg?v=1765899191&width=1946|https://gostbooks.com/cdn/shop/files/Brendan_Barry-Flowers_For_Bea-2a.jpg?v=1765899191&width=1946|https://gostbooks.com/cdn/shop/files/Brendan_Barry-Flowers_For_Bea-4a.jpg?v=1765899191&width=1946|https://gostbooks.com/cdn/shop/files/Brendan_Barry-Flowers_For_Bea-6a.jpg?v=1765899191&width=1946|https://gostbooks.com/cdn/shop/files/Brendan_Barry-Flowers_For_Bea-7a.jpg?v=1765899191&width=1946,available,https://gostbooks.com/products/flowers-for-bea
Escaramuza,Constance Jaeggi,true,"In the sport of escaramuza, all-female precision horse ridings teams execute daring manoeuvres whilst riding sidesaddle and dressed in traditional attire. Constance Jaeggi travelled across the US to document this Mexican tradition by photographing participants and recording their stories. As an outsider to the culture she invited Mexican-American poets ire’ne lara silva and Angelina Sàenz to create prose in response to her work. In the forthcoming book Escaramuza, their poetry is displayed alongside Jaeggi’s photographs to collectively impart the layered and complex narratives of the escaramuza tradition.

Published December 2025
Poetry by Angelina Sáenz and ire’ne lara silva
350 x 282 mm
128pp, 50 images
Hardback
ISBN 978-1-915423-96-2
The cover comes in different colourways and copies will be allocated at random.",https://gostbooks.com/cdn/shop/files/Constance_Jaeggi-Escaramuza-front_cover2.jpg?v=1765540836&width=1946,https://gostbooks.com/cdn/shop/files/Constance_Jaeggi-Escaramuza_covers.webp?v=1765540836&width=1946|https://gostbooks.com/cdn/shop/files/Constance_Jaeggi-Escaramuza-cover-1-2.jpg?v=1765540836&width=1946|https://gostbooks.com/cdn/shop/files/Constance_Jaeggi-Escaramuza-cover-3-4.jpg?v=1765540836&width=1946|https://gostbooks.com/cdn/shop/files/Constance_Jaeggi-Escaramuza-2a_7684d750-ab5e-4edc-8683-74e2d1142f9b.jpg?v=1765541356&width=1946|https://gostbooks.com/cdn/shop/files/Constance_Jaeggi-Escaramuza-1a_9a142c1d-5185-44a5-9469-788c5a3725f9.jpg?v=1765541356&width=1946,available,https://gostbooks.com/products/escaramuza
That Thing That Never Vanished,Emanuele Satolli,true,"The images in That Thing That Never Vanished were made over the course 10-years during major international conflicts and humanitarian crises by Italian photojournalist Emanuele Satolli. The photographer’s aim was not to present his work as documents of historical events but as pictorial testimony to lived experiences with a high human cost, forming a critical discourse on conflict.
Please be aware that this book contains graphic imagery.

Published December 2025
214 x 265mm
204pp, 132 images
Hardback
ISBN 978-1-80598-020-9",https://gostbooks.com/cdn/shop/files/ThatThingthatnevervanishedEmanuelle_97e820e8-038a-4277-99cc-5cd63709bacf.jpg?v=1765393633&width=1946,https://gostbooks.com/cdn/shop/files/Emanuele_Satolli-That_Thing_That_never_Vanished-2a.jpg?v=1765393633&width=1946|https://gostbooks.com/cdn/shop/files/Emanuele_Satolli-That_Thing_That_never_Vanished-7a.jpg?v=1765393633&width=1946|https://gostbooks.com/cdn/shop/files/Emanuele_Satolli-That_Thing_That_never_Vanished-9a.jpg?v=1765393633&width=1946|https://gostbooks.com/cdn/shop/files/Emanuele_Satolli-That_Thing_That_never_Vanished-3a.jpg?v=1765542220&width=1946|https://gostbooks.com/cdn/shop/files/Emanuele_Satolli-That_Thing_That_never_Vanished-6a.jpg?v=1765542220&width=1946,available,https://gostbooks.com/products/that-thing-that-never-vanished
Defense Language,Claire Beckett,true,"The photographs in Defense Language show costumed role-players, elaborate Hollywood-inspired sets and staged tableaus on military bases across the United States. Artist Claire Beckett embedded herself on these bases between 2006 and 2023 to explore the depiction of Arabs and Muslims during counterinsurgency training for the wars in Iraq and Afghanistan.

Published November 2025
280 x 227 mm
192pp, 136 images
Hardback
ISBN 978-1-915423-98-6",https://gostbooks.com/cdn/shop/files/Defense_Language_Claire_Beckett_cover.jpg?v=1762518944&width=1946,https://gostbooks.com/cdn/shop/files/Claire_Beckett-Defense_Language-3.jpg?v=1762518491&width=1946|https://gostbooks.com/cdn/shop/files/Claire_Beckett-Defense_Language-4.jpg?v=1762518491&width=1946|https://gostbooks.com/cdn/shop/files/Claire_Beckett-Defense_Language-2.jpg?v=1762518491&width=1946|https://gostbooks.com/cdn/shop/files/Claire_Beckett-Defense_Language-5.jpg?v=1762518615&width=1946|https://gostbooks.com/cdn/shop/files/Claire_Beckett-Defense_Language-6.jpg?v=1762518615&width=1946,available,https://gostbooks.com/products/defense-language
It Can Never Be The Same,Lorenzo Tugnoli,true,"The photographs in It Can Never Be The Same were made by Lorenzo Tugnoli in Afghanistan between 2019-2023— a pivotal time of transition and upheaval. Rather than traditional reportage, the collection of images in the book form a reflective journey. Tugnoli’s approach aims to question how visual representations can shape external perceptions of a complex country and the distance between those who get to tell the story and those who live it.

Published October 2025
Essays by Habib Zahori and Francesca Recchia
307 x 245 mm
116pp, 79 images
Hardback
ISBN 978-1-80598-002-5",https://gostbooks.com/cdn/shop/files/Lorenzo_Tugnoli-It_Can_Never_Be_The_Same-cover_51653e43-a142-45f0-ad40-c700947404df.jpg?v=1759418516&width=1946,https://gostbooks.com/cdn/shop/files/Lorenzo_Tugnoli-It_Can_Never_Be_The_Same-1.jpg?v=1759418552&width=1946|https://gostbooks.com/cdn/shop/files/Lorenzo_Tugnoli-It_Can_Never_Be_The_Same-2.jpg?v=1759418552&width=1946|https://gostbooks.com/cdn/shop/files/Lorenzo_Tugnoli-It_Can_Never_Be_The_Same-3.jpg?v=1759418552&width=1946|https://gostbooks.com/cdn/shop/files/Lorenzo_Tugnoli-It_Can_Never_Be_The_Same-4.jpg?v=1759418552&width=1946|https://gostbooks.com/cdn/shop/files/Lorenzo_Tugnoli-It_Can_Never_Be_The_Same-5.jpg?v=1759418552&width=1946,available,https://gostbooks.com/products/it-can-never-be-the-same
The Stillness of Life,Don McCullin,true,"The Stillness of Life is a new book of still life photographs and landscapes by Sir Don McCullin—a majority of which are previously unpublished. The publication of the book coincides with the photographer’s 90th birthday and offers a contemplative and meditative review of his work spanning decades.

Published October 2025
280 x 360 mm
112pp, 58 images
Hardback
ISBN 978-1-915423-94-8",https://gostbooks.com/cdn/shop/files/Don_McCullin-The_Stilleness_of_Life-cover-crop.jpg?v=1766152290&width=1946,https://gostbooks.com/cdn/shop/files/Don_McCullin-The_Stilleness_of_Life-1.jpg?v=1766158806&width=1946|https://gostbooks.com/cdn/shop/files/Don_McCullin-The_Stilleness_of_Life-2.jpg?v=1766158806&width=1946|https://gostbooks.com/cdn/shop/files/Don_McCullin-The_Stilleness_of_Life-3.jpg?v=1766158806&width=1946|https://gostbooks.com/cdn/shop/files/Don_McCullin-The_Stilleness_of_Life-4.jpg?v=1766158806&width=1946|https://gostbooks.com/cdn/shop/files/Don_McCullin-The_Stilleness_of_Life-5.jpg?v=1766158806&width=1946,available,https://gostbooks.com/products/the-stillness-of-life
The Fumes of Mars,Katerina Angelopoulou,true,"‘A large wildfire has a very distinctive sound. No one can tell you unless they have been in one. It is a sound that can haunt you…’ One of the deadliest wildfires ever recorded took place on 23 July 2018 just 30km from the historical centre of Athens in Greece. Artist Katerina Angelopoulou survived the fire and her forthcoming book The Fumes of Mars combines her photographs with personal testimonies from other survivors, timelines, maps and reports. With these materials Angelopoulou attempts to weave together a collective narrative of the events to better understand the violent disconnect between her own experience and the ‘official’ account of the disaster in which facts were concealed and victims held culpable.

Published September 2025
Essays by Michael Herzfeld and Yiannis Gabriel
195 x 255 mm
232pp, 101 images
Hardback
ISBN 978-1-915423-88-7",https://gostbooks.com/cdn/shop/files/Katerina_Angelopoulou-Fumes_of_Mars-cover-front-V2.jpg?v=1757946135&width=1946,https://gostbooks.com/cdn/shop/files/Katerina_Angelopoulou-Fumes_of_Mars-cover-front_back-V2.jpg?v=1757946179&width=1946|https://gostbooks.com/cdn/shop/files/Katerina_Angelopoulou-Fumes_of_Mars-1.jpg?v=1757946206&width=1946|https://gostbooks.com/cdn/shop/files/Katerina_Angelopoulou-Fumes_of_Mars-2.jpg?v=1757946206&width=1946|https://gostbooks.com/cdn/shop/files/Katerina_Angelopoulou-Fumes_of_Mars-6.jpg?v=1757946206&width=1946|https://gostbooks.com/cdn/shop/files/Katerina_Angelopoulou-Fumes_of_Mars-8.jpg?v=1757946179&width=1946,available,https://gostbooks.com/products/the-fumes-of-mars
BODY COPY,Mitchell Moreno,true,"BODY COPY is a photo-text series by artist Mitchell Moreno (they/them) exploring the performance of queer masculinities in digital culture. Moreno began the project by collating a thousand lines of text from apps and websites where men (mostly) were looking to meet other men (mostly) for sex or dates. From these texts Moreno selected 43 adverts and created ‘ideal’ visual responses in the form of self-portraits to the desires expressed in each.

Published September 2025
215 x 294 mm
196pp, 44 images
Hardback
ISBN 978-1-915423-49-8",https://gostbooks.com/cdn/shop/files/Mitchell_Moreno-Body_Copy-cover-JPG.jpg?v=1757330071&width=1946,https://gostbooks.com/cdn/shop/files/Mitchell_Moreno-Body_Copy-7_95770240-67d0-4ccc-a0c6-2ac4d4e1f7a2.jpg?v=1757330071&width=1946|https://gostbooks.com/cdn/shop/files/Mitchell_Moreno-Body_Copy-1_a9c451b7-04f8-42d2-b8f8-771b57182402.jpg?v=1757330071&width=1946|https://gostbooks.com/cdn/shop/files/Mitchell_Moreno-Body_Copy-2_7ea29134-b083-4bb2-85b6-c897c90d50ca.jpg?v=1757330071&width=1946|https://gostbooks.com/cdn/shop/files/Mitchell_Moreno-Body_Copy-3_9247a343-ca9c-42d5-8207-329eb0f328e6.jpg?v=1757330071&width=1946|https://gostbooks.com/cdn/shop/files/Mitchell_Moreno-Body_Copy-4_04509d3a-3797-4076-a843-20b1e2f06f7d.jpg?v=1757330071&width=1946,available,https://gostbooks.com/products/body-copy
