title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
Fragments Vol. 2;Iain Sarjeant;FALSE;"60 pp / 235 x 175mm
Softcover
Fedrigoni papers:
350gsm Satin cover
170gsm Satin text
First edition TBC
APP064
ISBN 978-1-0686570-4-7
Also available as a Special Edition, limited to 30 copies  - each signed with an A4 limited edition inkjet print signed and numbered by Iain (see pic) - £55.00
-------------------------------------------------------------
A series of 'visual notes' 
chance observations 
collected fragments...
-------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/408816678/F2-frontcovershop2.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/408816714/F2-spread1BS.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/408816720/F2-spread2BS.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/408816738/F2-spread3BS.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/408816747/F2-spread4BS.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/408816750/F2-spread5BS.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/408816753/F2-spread6BS.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/408816774/F2-backcovershop2.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/408816777/F2-specialeditionprintBS.jpg?auto=format&fit=max&h=1200&w=1200;available;https://anotherplacepress.bigcartel.com/product/fragments-vol-2-iain-sarjeant
Walking With Strangers;Paul Walsh;FALSE;"64 pp / 250 x 210 mm
Softcover
Fedrigoni papers:
360gsm Materica Terra Rossa cover
170gsm Satin text
First Edition of 130
APP061
ISBN 978-1-0686570-0-9
Also available as a Special Edition, limited to 15 copies - each with an A4 limited edition print signed and numbered by Paul (see image) - £58.00
-----------------------------------------------------------------
'I set out on foot across the network of trails through France and Spain to experience the increasingly popular phenomenon of longdistance pilgrimage. I walked continuously for three months, beginning at the town of Le Puy en Velay in eastern France, and ending 1700km later at the town of Muxia on the west coast of Spain.
Along the way I made many transient friendships with other pilgrims. Although some were walking for religious purposes or the physical challenge, most of those that I encountered were walking to overcome a major event that had happened to them, or to find something that was missing from their life. Walking facilitated new relationships as we talked side by side. Sharing the experience of being in unfamiliar places and having to find our way brought about a unique connection with those I had only just met. The monotony of walking day after day, the physical discomfort and the sense of isolation were made more bearable when not alone. Daily rituals such as eating and finding a place to sleep took on another meaning; they became goals to be strived for and shared.
After months of walking with my belongings on my back I discovered that, through separation from all that is familiar, walking helped people to find liberty from their complex identities and social obligations back home. The path seemed to untether people, draw them together and give them a common goal. The surrounding landscape became a geographical space for self-reflection and change.
The photographs I made during those three months not only depict the people and landscapes that I encountered but are also intended to convey the transformations that were taking place within me as I walked.'
-----------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/393395142/WWS-newfrontcovershop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/382892835/WWS-spreads1shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/382892847/WWS-spreads2shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/393395148/WWS-newbackcovershop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/382892856/WWS-SEprintshop.jpg?auto=format&fit=max&h=1200&w=1200;available;https://anotherplacepress.bigcartel.com/product/walking-with-strangers-paul-walsh
Cascadia II;Cody Cobb;FALSE;"70 pp / 240 x 200 mm
Softcover
Fedrigoni papers:
350gsm Satin cover
170gsm Satin text
First Edition of 200
APP060
ISBN 978-1-7391212-9-7
Also available as a Special Edition, limited to 30 copies - each with an A4 limited edition print produced, signed and numbered by Cody (see image) - £62.00
*** All pre-orders come with a free set of 4 postcards of photographs from the series - see image. These will not be available after pre-orders close ***
Please be aware this book is currently still in being developed - the number of pages might change slightly before final printing.
-----------------------------------------------------------------
'The Cascadia region of North America is one of the most geologically active regions on Earth; the landscapes found there have been shaped through eons of earthquakes, eruptions and floods.
My intent with these photographs is to capture a brief moment of stillness in the grand epochs of geological chaos.'
Cascadia II contains a carefully curated selection of new work made in the Cascadia region since the release of the first book in 2016.
-----------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/381587034/cascadia2-frontcovershop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/381587040/cascadia2-spreads1shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/381587043/cascadia2-spreads2shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/381587064/cascadia2-backcovershop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/381587046/cascadia2-SEPshop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/381587052/cascadia2-postcardsetshop.jpg?auto=format&fit=max&h=1200&w=1200;available;https://anotherplacepress.bigcartel.com/product/cascadia-ii-cody-cobb
Forelsket;Nick Goring;FALSE;"64 pp / 235 x 190mm
Softcover
Fedrigoni papers:
350gsm Uncoated cover
170gsm Uncoated text
Limited edition of 150 + 15 special editions
APP059
ISBN 978-1-7391212-8-0
Available as a Special Edition, limited to 15 copies - each with an A4 limited edition inkjet print signed and numbered by Nick (see image) - £56.00
---------------------------------------------------------------------
In the spring of 1926 Cecily Nash called off her engagement to her fiancée, Christopher Marlowe.
It’s not clear how they first met but it’s thought that it was sometime in 1924 whilst Christopher was a guest at her family’s hotel on the Norfolk coast. Cecily was a teenager, the youngest of three sisters, coming of age in a period of newly found freedoms for young women. Older than her, he was a Cambridge graduate but not without having had his studies disrupted by the Great War, during which he’d served on the Western Front. By the time their paths crossed he was an aspiring writer, working on his first manuscript, The Fen Country.
The book, published in 1925, documents his bicycle tour of East Anglia interwoven with a history of the area. His affection for the landscape of the Fens and the people he met on his travels is palpable. But all that remains of his romance with Cecily is the inscription in a copy of the book he gave her. It reads:
To my dearest fiancée with devoted love From The Author
The descendants of those who settled in the Fens a thousand years ago have a word for his euphoria. Forelsket.
No one knows why Cecily changed her mind, but by 1928, aged 21, she had married someone else and in 1929 would give birth to her only child. This child, Pamela, was my mother. In the same year Marlowe’s article A Tour in English Fenland would appear in the May edition of The National Geographic Magazine, alongside some of the earliest colour photographs of the United Kingdom.
Through the depiction of the contemporary landscape about which Marlowe wrote so vividly, I hope this collection of photographs, which were taken during between 2020 and 2023, will evoke the story of their relationship. The copy of The Fen Country, with its inscription to my grandmother, was used as a map to plot my journey through the Fens whilst I reflected on the love that they once shared, and the impact of her decision on my own life.
The original copy of the love poem, Castle O’ Dreams, was found alongside the book, presumably written for Cecily by Marlowe. His desire to find love was perhaps, in no small part, a result of the death and destruction he experienced on the battlefield. In many ways his journey through the Fens reads as an escape from the horrors of war. It’s easy to see his love for my grandmother as an attempt to experience the very best of the human condition in the shadows of the very worst.
Marlowe’s book has drifted into obscurity, a relic of the past, but my copy has defied time. It remains as moving in its dedication today as it was when first given to Cecily. A simple gesture from one lover to another, yet a poignant reflection of our own individual quests for forelsket.
---------------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/378191508/forelsket-frontcovershop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/378191523/forelsket-spreads1shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/378191526/forelsket-spreads2shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/378191532/forelsket-backcovershop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/378191535/forelsket-SEprintshop.jpg?auto=format&fit=max&h=1200&w=1200;sold-out;https://anotherplacepress.bigcartel.com/product/forelsket-nick-goring
The Code For Flowers. The Last Star To Shine;Al Brydon;FALSE;"82 pp / 250 x 210mm
Softcover
Fedrigoni papers:
350gsm Satin cover
170gsm Satin text
Limited edition of 220 + special edition
APP058
ISBN 978-1-7391212-7-3
Also available as a Special Edition, limited to 30 copies - each with an A4 limited edition inkjet print signed and numbered by Al (see image) - £56.00
---------------------------------------------------------------------
Light is a necessity and a preoccupation for the work I make. It fascinates me that one day there won't be any and the universe will return to darkness. This work is about endings, and, of course, new beginnings. but also about identity and place. Not only my own physical place in the aforementioned uncaring, utterly indifferent universe, but the landscape I've been inhabiting and closely experiencing for the last three years making this body of work.  Being mindful and ultimately present in the landscape and allowing myself to be swept along with it, the subtle changes that occur over the seasons and with the passage of time. Some of the places I visited (often multiple times over the years) are not even there any more, certainly not in the state I photographed them in originally. There's an element of mourning to the loss of a place one feels compelled to photograph, though I understand some of these places were never meant to be anything but transitory. For me, it raises the question of why I photograph and what I'm unconsciously trying to achieve by making a record of it in the first place? There are so many reasons obviously, visually, mentally, how a place makes me feel and how I feel when I photograph that same place. Then I try to convey that meaning to the viewer in the hope there's at least a vague connection between us. Isn't that what this is, or at least should be, all about? Small personal interconnections made possible by the imperfect medium of photography? Perhaps it doesn't matter or is the only thing that matters.
---------------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/373441768/TCFF-frontcovershop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/373441798/TCFF-spreads1shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/373441813/TCFF-spreads2shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/373441819/TCFF-backcovershop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/373441828/TCFF-SEprintshop.jpg?auto=format&fit=max&h=1200&w=1200;sold-out;https://anotherplacepress.bigcartel.com/product/the-code-for-flowers-the-last-star-to-shine-al-brydon
Fractions;Luke Saxon;FALSE;"68 pp / 260 x 210mm
Softcover
Fedrigoni papers:
350gsm Satin cover
170gsm Satin text
Limited edition of 160 + special edition
APP057
ISBN 978-1-7391212-6-6
Also available as a Special Edition, limited to 20 copies - each with an A4 limited edition inkjet print signed and numbered by Luke (see image) - £54.00
Please be aware this book is currently still in being developed - the number of pages might change slightly before final printing.
---------------------------------------------------------------------
Fractions aims to explore the fundamental concept of interconnectedness and its relevance to our daily lives, investigating how various elements, such as people and the environment, influence and play off each other.
---------------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/365961661/F-FrontCoverShop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/365961664/Fspreads1_2Shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/365961682/Fspreads3_4Shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/365961691/F-BackCoverShop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/365961694/F-SEprintShop.jpg?auto=format&fit=max&h=1200&w=1200;sold-out;https://anotherplacepress.bigcartel.com/product/fractions-luke-saxon
Along The Swift Current Of Time;Teodora Georgieva;FALSE;"46 pp / 235 x 190mm
Softcover
Fedrigoni papers:
350gsm Satin cover
170gsm Satin text
Limited edition of 120 + special edition
APP056
ISBN 978-1-7391212-5-9
Also available as a Special Edition, limited to 12 copies - each with an A4 limited edition inkjet print signed and numbered by Teodora (see image) - £52.00
---------------------------------------------------------------------
In the 1950s, amidst the rise of the communist regime in Bulgaria, the construction of what would become known as the chemical valley of the country began. What was once a shining example of the opportunities and hopes of the socialist order, now lives with the consequences after it’s fall.
'Along The Swift Current Of Time' explores how the intense industrialisation in Devnya has affected the landscape and, inevitably, has become part of it. Large deposits resemble hills, overlooking the valley, as a turquoise river flows alongside the town, suggesting how chemical waste has woven itself into the fabric of the landscape.
---------------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/361451788/ATSCOT-FrontCoverShop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/361451800/ATSCOT-spreads1_2shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/361451818/ATSCOT-spreads3_4shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/361451824/ATSCOT-BackCoverShop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/361451848/ATSCOT-SpecialEditionPrintShop.jpg?auto=format&fit=max&h=1200&w=1200;available;https://anotherplacepress.bigcartel.com/product/along-the-swift-current-of-time-teodora-georgieva
Going To The Sand;Tessa Bunney;FALSE;"82 pp / 250 x 210mm
Softcover
Fedrigoni papers:
350gsm Colorplan cover
170gsm Satin & 120gsm Uncoated text
First edition of 220
APP055
ISBN 978-1-7391212-4-2
Also available as a Special Edition, limited to 30 copies  - each with an A4 limited edition inkjet print signed and numbered by Tessa (see image) - £56.00
---------------------------------------------------------------------
Flookburgh fishermen never say they are going fishing just that they are ‘Going to the Sand’. They travel where they need to by ancient tractors, negotiating tides and constantly changing sands and channels.
For over 30 years, I have photographed rural life, working closely with individuals and communities to investigate how the landscape is shaped by humans. From hill farmers near my home in North Yorkshire to Icelandic puffin hunters, from Romanian nomadic shepherds to artisan flower growers my projects reveal the fascinating intricacies of the dependencies between people, work and the land.
As a photographer, sometimes people and places just get to you. Morecambe Bay has been like that for me. Over four years ago a chance meeting with two of Flookburgh’s handful of remaining fishermen has led to this series of photographs.
During this time I have spent many days 6 miles out on the Sand with the fishermen in all seasons and all weathers. I learnt about craams and riddles, tide tables and bye-laws, shrimping, musselling and cockling, fishing with all kinds of nets. These skills have been passed down through generations of fishermen, all with the backdrop of the beautiful but often harsh landscape of the Bay.
During this relatively short space of time regulations have changed resulting in many of my photographs documenting the end of several eras.
These photographs were produced between August 2018 and November 2021.
The book includes a historical section made in collaboration with fishing writer Mike Smylie and an ‘in conversation’ with Colin Pantall.
---------------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/357032077/GTTS-FrontCoverShop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/357032101/GTTS-spreads1shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/357032119/GTTS-spreads2shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/357032137/GTTS-BackCoverShop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/357032140/GTTS-SEprintfinalshop.jpg?auto=format&fit=max&h=1200&w=1200;sold-out;https://anotherplacepress.bigcartel.com/product/going-to-the-sand-tessa-bunney
Al Brydon;As We Wander (Second Edition);FALSE;"46 pp / 240 x 180mm
Softcover
Fedrigoni papers:
350gsm Satin cover
170gsm Satin text
Limited edition of 112
APP054
ISBN 978-1-7391212-3-5
Also available as a Special Edition, limited to 12 copies  - each with an A4 limited edition inkjet print signed and numbered by Al (see image) - £52.00
---------------------------------------------------------------------
Walking, watching, reacting…
One day you’ll make the last photograph you will ever make.
The shutter will fire for the last time. What will your last ever photograph mean? Surely, as it’s the last one, it will be special? You probably won’t know. Unless it’s a conscious decision, you won’t be around to see it. Maybe no one ever will ever see it.
It’s most likely that the landscape I’m inhabiting will still be there long after I’m gone. I’m trying to comprehend this. The massive amount of time during which its contours are moulded by both natural and unnatural manipulation.
I find it extremely comforting to know that after I’ve made my last photograph of the landscape it will continue to exist. It will change as nature claims it and humankind alters it.
‘As We Wander’ is about the solidity of my surroundings and my own fluidity. I am a visitor for an all too brief time. I will end. You will end. The landscape will remain.
---------------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/353085040/AWW-frontcovershop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/353085061/AWW-spreadsx3ashop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/353085064/AWW-spreadsx3bshop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/353085076/AWW-backcovershop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/353085085/AWW-SEprint-shop.jpg?auto=format&fit=max&h=1200&w=1200;sold-out;https://anotherplacepress.bigcartel.com/product/al-brydon-as-we-wander-second-edition
From A Small Island;Andrew Jackson;FALSE;"82 pp / 260 x 210mm
Softcover
Fedrigoni papers:
350gsm Satin cover
170gsm Satin text
First edition of 150
APP053
ISBN 978-1-7391212-2-8
Also available as a Special Edition, limited to 30 copies  - each with an A4 limited edition inkjet print signed and numbered by Andrew (see image) - £52.00
---------------------------------------------------------------------
“I have learned that if you must leave a place that you have lived in and loved and where all your yesteryears are buried deep, leave it any way except a slow way, leave it the fastest way you can.”
Beryl Markham
My parents, like so many others of their generation, would leave one home to go in search of another. Traveling across the seas from Jamaica, to find a new life in the motherland, a space broken by war.
From A Small Island is the first in a trilogy of works examining the legacies of this journey to the UK, with a focus on the post-war period to Brexit.
While From a Small Island gives an introduction and overview of the trilogy, it is also a self-reflection and meditation on my personal attempts, as a man born in Britain to Jamaican parents, to connect with the land of their birth.
Immigrants, as current times so clearly show, often sail treacherous waters, drawn by the ebb and flow of political whims which call them to do the jobs others don’t want and then demonise and banish them when economies falter.
Through all of this, whilst my parents arrived as British citizens, they were always seen as Jamaican even though Jamaica was a place to which they would never return.
The second chapter, The Last Days of Summer, will explore the journey into adulthood of a group of young Millennial men (the grandchildren of my parents' generation), all born in Handsworth, Birmingham. The work follows them from the stock market crash of 2008 to the post-Brexit end of their youths, as Britain, in a profound time of change, reframes itself as a monoculture once more.
To conclude, the third and final chapter, From Whence We Came, explores what ultimately awaits at the end of the migrant journey for those who swapped life on one small island for another, never to return.
---------------------------------------------------------------------
Please be aware our titles are small in size - our aim is to produce a range of high-quality affordable books.";https://assets.bigcartel.com/product_images/349741825/FASI-frontcovershop.jpg?auto=format&fit=max&h=1200&w=1200;https://assets.bigcartel.com/product_images/349741846/FASI-spreads1shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/349741864/FASI-spreads2shop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/349741870/FASI-backcovershop.jpg?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/349741891/FASI-SEprintshop.jpg?auto=format&fit=max&h=1200&w=1200;sold-out;https://anotherplacepress.bigcartel.com/product/from-a-small-island-andrew-jackson
