title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Letting Go,Anastasia Davis,false,"Released February 2026
Edition of 50
32 pages
163 x 203mm
Saddle stitched
Black and white/colour
After great pain, a formal feeling comes –
The Nerves sit ceremonious, like Tombs –
The stiff Heart questions ‘was it He, that bore,’
And ‘Yesterday, or Centuries before’?
The Feet, mechanical, go round –
A Wooden way
Of Ground, or Air, or Ought –
Regardless grown,
A Quartz contentment, like a stone –
This is the Hour of Lead –
Remembered, if outlived,
As Freezing persons, recollect the Snow –
First – Chill – then Stupor – then the letting go –
Emily Dickinson - After great pain, a formal feeling comes,",https://assets.bigcartel.com/product_images/418471959/lettinggo1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/418471953/lettinggo2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/418471956/lettinggo3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/418471962/lettinggo4.png?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/lettinggo
Ground,Tyrone Williams,false,"Released November 2025
Edition of 75
56 pages
140 x 210mm
Saddle stitched
Colour
Ground is an exploration of the idea of looking closer, looking more severely and looking through what you think you're seeing.",https://assets.bigcartel.com/product_images/413216841/ground1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/413216844/ground2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/413216847/ground3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/413216850/ground4.png?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/ground
Wanderlust,Andrew D. McClees,false,"Released August 2025
Edition of 50
52 pages
148 x 210mm
Saddle stitched
Colour
Wanderlust chronicles a journey west, to Montana. The images were made in quiet moments between interactions and hangouts with friends; small meditations on a desire to escape and roam, even if those roamings primarily occur in the alleys and outskirts of a small town much like the ones I spend my days around back in Maine. The photographs use black and white to gently probe both at the notion of place and the internal nature of black and white photography.",https://assets.bigcartel.com/product_images/407874528/wanderlust1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/407874522/wanderlust2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/407874519/wanderlust3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/407874525/wanderlust4.png?auto=format&fit=max&h=1200&w=1200,sold-out,https://www.brownowlpress.com/product/wanderlust
Sunshine State,Ivette Spradlin,false,"Released March 2025
Edition of 75
32 pages
148 x 210mm
Saddle stitched
Black and white/colour cover
South Florida is a strange place for me. It is where I spent my early childhood. It was where my father and stepmother still live. I visit at least once a year. I haven't lived there in over 35 years but I dream of its landscape more so than any other. The murky canals and palms swaying. All the wild reptiles. As a child, I had so much fear of the natural world there. I still do. There's an energy there that radiates from the ground, something that feels so primal, so fundamental, that it borders on the supernatural.
All images are stills from 8mm film shot around Tampa, Florida and a long kayak ride down the Hillsborough River in January of 2016.
– Ivette Spradlin, 2025",https://assets.bigcartel.com/product_images/400159782/sunshinestate1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/400159785/sunshinestate2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/400159791/sunshinestate3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/400159788/sunshinestate4.png?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/sunshinestate
Spark,Tyrone Williams,false,"Released March 2025
Edition of 75
56 pages
140 x 210mm
Saddle stitched
Colour
Spark focuses on the details of the everyday. Finding connections between the outside world and the deeper inner understandings of it.",https://assets.bigcartel.com/product_images/399989625/spark1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/400158093/spark2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/400158096/spark3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/400158099/spark4.png?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/spark
Car Crash Business,Nathan Pearce,false,"Released December 2024
Edition of 75
32 pages
148 x 210mm
Saddle stitched
Black and white
The remnants of car crashes long after the fact. No people, just the sculptures created by impacted vehicles in whatever state that may be.",https://assets.bigcartel.com/product_images/395302842/car+crash+1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/395302845/car+crash+2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/395302848/car+crash+3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/395302851/car+crash+4.png?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/carcrashbusiness
Colour Field: Misfortune,Al Palmer,false,"Released December 2024
Edition of 75
36 pages
148 x 210mm
Saddle stitched
Colour
Colour reductions of daily frustration into colour field form, reducing descriptive images into colour swatches. How much information can you lose?",https://assets.bigcartel.com/product_images/395303130/colour+field+1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/395303133/colour+field+2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/395303136/colour+field+3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/395303139/colour+field+4.png?auto=format&fit=max&h=1200&w=1200,sold-out,https://www.brownowlpress.com/product/colourfieldmisfortune
Shining,Hikaru,false,"Released October 2024
Edition of 75
44 pages
148 x 210mm
Saddle stitched
Colour
Shining is a series of images by Hikaru, non-specific images fleeting in and out of consciousness, overwhelming snapshots of what has already passed.",https://assets.bigcartel.com/product_images/390860658/shining1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/390860661/shining2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/390860664/shining3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/390860670/shining4.png?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/shining
Primordial,Jenny Riffle,false,"Released June 2024
Edition of 75
36 pages
148 x 210mm
Saddle stitched
Colour
In my landscape work Primordial I have been photographing forests in an effort to capture the emotion and strength that I feel when surrounded by the natural world. By doing this I hope to create a reminder of the power and magic of our forests and the importance of protecting them.
- Jenny Riffle",https://assets.bigcartel.com/product_images/383839167/primordial1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/383839170/primordial2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/383839173/primordial3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/383839176/primordial4.png?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/primordial
Footnote,Andreas Olesen,false,"Released April 2024
Edition of 75
76 pages
200 x 290mm
Perfect bound
Colour
Footnote is based on photography as a physical form of information – a carrier of narratives and an imperfect form of memory. The exhibition starts with the idea that a picture is worth a thousand words and turns it on its head. It turns in to a game between the photograph, as an inadequate substitute for words, and footnotes, used to add and deepen thoughts in written language. This way, the photograph could function as writing, and writing could function as another form of image.",https://assets.bigcartel.com/product_images/381138975/footnote1.png?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/381138972/footnote2.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/381138969/footnote3.png?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/381138978/footnote4.png?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/footnote
Arkive Yellow,Al Palmer,false,"Released April 2024
Edition of 125
56 pages
148 x 180mm
Perfect bound
Black and white
Arkive Yellow is an exploration into the idea of feeling several sensations at once. This cannot be easily visualised but the confusion and potentially contradictory perceptions often lead to their own level of consciousness. Within the tangled images eventually lies the truth you seek.",https://assets.bigcartel.com/product_images/376994803/a1.webp?auto=format&fit=max&h=1200&w=1200,https://assets.bigcartel.com/product_images/376994800/a2.webp?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/376994794/a3.webp?auto=format&fit=max&h=1200&w=1200|https://assets.bigcartel.com/product_images/376994797/a4.webp?auto=format&fit=max&h=1200&w=1200,available,https://www.brownowlpress.com/product/arkiveyellow
