title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
101 PENNIES;Alexis Martino;FALSE;Pennies is cinematic and sculptural. Turning the plates in the book evokes the tension between still and moving-image photography, where each image engages in conversation with one another. At the same time, this book is a testament to Alexis Martino’s peripatetic identity: photographs in the series hail from Kenya, Zi;https://falllinepress.com/cdn/shop/files/Pennies_8b16b0dd-4dc4-45ee-9432-83aa87c93b8a.jpg?v=1751221718&width=1946;https://falllinepress.com/cdn/shop/files/birds.jpg?v=1751221718&width=1946|https://falllinepress.com/cdn/shop/files/carsseat.jpg?v=1751221718&width=1946|https://falllinepress.com/cdn/shop/files/IMG_1398.jpg?v=1751221718&width=1946|https://falllinepress.com/cdn/shop/files/IMG_1354.jpg?v=1751221718&width=1946|https://falllinepress.com/cdn/shop/files/boat.jpg?v=1751221718&width=1946|https://falllinepress.com/cdn/shop/files/IMG_1344_1.jpg?v=1751221718&width=1946|https://falllinepress.com/cdn/shop/files/alexis_12.jpg?v=1751221718&width=1946|https://falllinepress.com/cdn/shop/files/IMG_1386.jpg?v=1751221718&width=1946;available;https://falllinepress.com/products/pennies-by-alexis-martino
WORK IN PROGRESS;Peter Essick;FALSE;A Four-Year Project of Drone Photographs of Construction Sites in Atlanta.;https://falllinepress.com/cdn/shop/files/Progress.jpg?v=1751201500&width=1946;https://falllinepress.com/cdn/shop/files/Portfolio04.jpg?v=1751201500&width=1946|https://falllinepress.com/cdn/shop/files/Portfolio01.jpg?v=1751201500&width=1946|https://falllinepress.com/cdn/shop/files/Portfolio06.jpg?v=1751201500&width=1946|https://falllinepress.com/cdn/shop/files/Portfolio05.jpg?v=1751201500&width=1946|https://falllinepress.com/cdn/shop/files/Portfolio02.jpg?v=1751201500&width=1946|https://falllinepress.com/cdn/shop/files/Portfolio03.jpg?v=1751201489&width=1946;available;https://falllinepress.com/products/work-in-progress-by-peter-essick
LIMINAL;Stephen Wilson;FALSE;The word Liminal means to be at or on both sides of a boundary, it refers to the beginning or start of a process. Liminal spaces are there to be moved through, like train stations and airports, they are not destinations of their own, they're the start of a journey that will take us somewhere else.;https://falllinepress.com/cdn/shop/files/Liminal.jpg?v=1751201548&width=1946;https://falllinepress.com/cdn/shop/files/Liminal05.jpg?v=1751201548&width=1946|https://falllinepress.com/cdn/shop/files/Liminal04.jpg?v=1751201548&width=1946|https://falllinepress.com/cdn/shop/files/Liminal16.jpg?v=1751201548&width=1946|https://falllinepress.com/cdn/shop/files/Liminal12.jpg?v=1751201548&width=1946|https://falllinepress.com/cdn/shop/files/Liminal01.jpg?v=1751201548&width=1946|https://falllinepress.com/cdn/shop/files/Liminal13.jpg?v=1751201548&width=1946|https://falllinepress.com/cdn/shop/files/Liminal02.jpg?v=1751201548&width=1946|https://falllinepress.com/cdn/shop/files/Liminal03.jpg?v=1751201548&width=1946|https://falllinepress.com/cdn/shop/files/Liminal09.jpg?v=1751201544&width=1946|https://falllinepress.com/cdn/shop/files/Liminal10.jpg?v=1751201544&width=1946|https://falllinepress.com/cdn/shop/files/Liminal11.jpg?v=1751201544&width=1946;available;https://falllinepress.com/products/liminal-by-stephen-wilson
PERPETUAL CARE;Clay Maxwell Jordan;FALSE;;https://falllinepress.com/cdn/shop/files/Perpetual.jpg?v=1751201777&width=1946;https://falllinepress.com/cdn/shop/files/3ClayMaxwellJordantif.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/4ClayMaxwellJordan.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/5ClayMaxwellJordan.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/7ClayMaxwellJordan.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/10ClayMaxwellJordan.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/12ClayMaxwellJordan.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/13ClayMaxwellJordan.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/y_23c58808-6a30-4bec-8254-d0800a86f1ea.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/14ClayMaxwellJordan.jpg?v=1751201777&width=1946|https://falllinepress.com/cdn/shop/files/x_8321be13-e1e7-4253-860e-fa4a82434869.jpg?v=1751201777&width=1946;available;https://falllinepress.com/products/perpetual-care-by-clay-maxwell-jordan
INFINITE BONHEUR;Brittainy Lauback;FALSE;The work in this book is like that strange moment when you are crying and everything feels off and wrong and all of the sudden you find yourself laughing uncontrollably for no reason. Or when you laugh at inappropriate times like my Auntie and I did at my Grandma Belle’s funeral. We knew it was wrong but any chance at;https://falllinepress.com/cdn/shop/files/Infinite_059cbc33-d93f-4fa4-845c-8dc63c005340.jpg?v=1751201971&width=1946;https://falllinepress.com/cdn/shop/files/Screenshot_2025-06-29_at_8.58.51_AM.png?v=1751201971&width=1946|https://falllinepress.com/cdn/shop/files/Screenshot_2025-06-29_at_8.58.20_AM.png?v=1751201971&width=1946|https://falllinepress.com/cdn/shop/files/Screenshot_2025-06-29_at_8.58.34_AM.png?v=1751201971&width=1946;available;https://falllinepress.com/products/infinite-bonheur-by-brittany-lauback
OFF DAYS;Tatum Shaw;FALSE;"Photographed mostly in the Southern United States, Shaw's wry black and white images depict people and places that are neither idealized nor embellished; Shaw pulls back the  curtain on the idyllic suburban American dream to reveal its sobering underside. ""Off Days"" is among other things, an eloquent, candid depiction";https://falllinepress.com/cdn/shop/files/Off_Days_689049f3-ad0e-4ea3-a197-deee5038ba91.jpg?v=1751201290&width=1946;https://falllinepress.com/cdn/shop/files/OffDays_11_b4da8125-7c78-4b22-b102-858eeba61093.jpg?v=1751202053&width=1946|https://falllinepress.com/cdn/shop/files/OffDays_05.jpg?v=1751202053&width=1946;available;https://falllinepress.com/products/off-days-by-tatum-shaw-1
PHOTOWALI DIDI;Buku Sarkar;FALSE;One Saturday morning, Sarkar happened upon a group of ladies doing their laundry. She asked if she could photograph them, and they agreed. A few days later, she returned to give them prints. Thrilled, they invited her into their homes to take more photographs. And so it went for months while Sarkar became known as thei;https://falllinepress.com/cdn/shop/files/Photowali.jpg?v=1751202105&width=1946;https://falllinepress.com/cdn/shop/files/PhotowalididiPR_02.jpg?v=1751202105&width=1946|https://falllinepress.com/cdn/shop/files/Photowali_didi_PR_08.jpg?v=1695938547&width=1946|https://falllinepress.com/cdn/shop/files/Photowali_didi_PR_01.jpg?v=1695938525&width=1946|https://falllinepress.com/cdn/shop/files/Photowali_didi_PR_05.jpg?v=1695937714&width=1946|https://falllinepress.com/cdn/shop/files/Photowali_didi_PR_07.jpg?v=1695937640&width=1946;available;https://falllinepress.com/products/photowali-didi-buku-sarkar
OCEAN GLEANING;Pam Longobardi;FALSE;Ocean Gleaning proposes a collaboration between art, science, activism and like-minded groups that begins with the assumption that the ocean is a conscious entity that, in many different ways, from rising levels and temperatures to declining fish stocks to coral bleaching and finally to the deformed material plastic ob;https://falllinepress.com/cdn/shop/files/Ocean.jpg?v=1751201281&width=1946;https://falllinepress.com/cdn/shop/files/Screenshot_2025-06-30_at_7.30.00_AM.png?v=1751283062&width=1946|https://falllinepress.com/cdn/shop/products/Ocean-02.jpg?v=1751283062&width=1946|https://falllinepress.com/cdn/shop/products/Ocean-06.jpg?v=1751283062&width=1946|https://falllinepress.com/cdn/shop/products/Ocean-08.jpg?v=1751283062&width=1946;available;https://falllinepress.com/products/ocean-gleaning
FROM YONDER WOODED HILL;Riley Goodman;FALSE;As an exploration of folklore, family, and place, From Yonder Wooded Hill investigates what we choose to remember versus what chooses to remember us. Based in the Patapsco River Valley of Maryland and expanding to his ancestral West Virginia and North Carolina, Riley Goodman brings to life the customs and legends on wh;https://falllinepress.com/cdn/shop/files/Yonder_eaa33443-3826-45b7-bb15-34372d800fa3.jpg?v=1751201285&width=1946;;available;https://falllinepress.com/products/from-yonder-wooded-hill
EDGE;David Ricci;FALSE;EDGE is one of those rare books that come along that will change the way you see the world. For more than 30 years, David Ricci has turned his camera on the everyday world with a curiosity that is driven by finding those places, views, and situations that bring the edge of chaos into alignment with the edge of aestheti;https://falllinepress.com/cdn/shop/files/Edge_dbbab58e-3609-4ceb-9e5e-e158f6a39266.jpg?v=1751201286&width=1946;https://falllinepress.com/cdn/shop/files/2-15_C_C_Umbrellas_R1.jpg?v=1751202549&width=1946|https://falllinepress.com/cdn/shop/products/EDGE-02-2.jpg?v=1751203629&width=1946|https://falllinepress.com/cdn/shop/products/EDGE-03-2.jpg?v=1751203578&width=1946|https://falllinepress.com/cdn/shop/products/EDGE-06-2.jpg?v=1751203710&width=1946|https://falllinepress.com/cdn/shop/products/EDGE-05-2.jpg?v=1751203735&width=1946|https://falllinepress.com/cdn/shop/products/EDGE-08-2.jpg?v=1751203674&width=1946;available;https://falllinepress.com/products/edge
INK;Tanya Marcuse;FALSE;Ink showcases an unusual body of work by Tanya Marcuse which came about serendipitously after her young son insisted on trying nocturnal squid fishing one summer in Maine. Unlike the majority of Marcuse’s large-scale, elaborate works, these images were made with an iPhone camera, a more spontaneous and versatile tool.;https://falllinepress.com/cdn/shop/files/Ink_f2cb39fb-5429-4184-b55b-7531a674fc72.jpg?v=1751201284&width=1946;https://falllinepress.com/cdn/shop/files/Screenshot_2025-06-30_at_7.41.44_AM.png?v=1751283794&width=1946|https://falllinepress.com/cdn/shop/files/Screenshot_2025-06-30_at_7.42.01_AM.png?v=1751283794&width=1946|https://falllinepress.com/cdn/shop/files/Screenshot_2025-06-30_at_7.42.25_AM.png?v=1751283795&width=1946|https://falllinepress.com/cdn/shop/files/Screenshot_2025-06-30_at_7.42.40_AM.png?v=1751283795&width=1946;available;https://falllinepress.com/products/ink
