title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
Venezuelan Youth;Silvana Trevale;FALSE;"The first book by Venezuelan artist Silvana Trevale is now available to pre-order, with a limited 10% discount on the first 100 copies.
Produced between 2016 and 2025, Venezuelan Youth is Silvana Trevale’s contribution to her homeland: a testament that distances itself from portrayals of crises to offer a sensitive and profound view of the complexities of Venezuelan identity as seen through the eyes of its youth.
Yet how do you document a place that many dismiss as a ruin even while it teems with life? For Silvana, the eventual answer was to capture children and adolescents who embody incredible light even during difficult circumstances, so that she might transform the trauma of having left her country into a tribute to the strength of those who still remain. In this way, she’s created a book that reflects the Venezuela that truly exists: “the one I love deeply, a wounded and fearful country, but one that still breathes hope.”
The book:245 x 295mm | 176pp image section, including 93 colour plates | Hardcover casebound in a Windsor cloth and a the title finished both front and back in a filer foil and blind emboss | 16 page text, index and essay section | Printed on GardaPat 150g/m | Designed by Ricardo Báez | Published by Guest Editions.
All pre-orders really help bring the project to life, thank you for the support! Pre-orders will ship once the book is printed in April.
 
—
Made in the UK – Any duties or taxes will be the responsibility of the buyer and at the discretion of the customs of the destination country. Please note tariffs will not be charged on books sold to the United States.";https://guesteditions.com/cdn/shop/files/Guest-VY-Cover-01.jpg?v=1773052593&width=1946;https://guesteditions.com/cdn/shop/files/Guest-VY-Spreads-01.jpg?v=1772727008&width=1946|https://guesteditions.com/cdn/shop/files/Guest-VY-Spreads-02.jpg?v=1772727008&width=1946|https://guesteditions.com/cdn/shop/files/Guest-VY-Spreads-03.jpg?v=1772727008&width=1946|https://guesteditions.com/cdn/shop/files/Guest-VY-Spreads-04.jpg?v=1772727008&width=1946|https://guesteditions.com/cdn/shop/files/Guest-VY-Spreads-05.jpg?v=1772727008&width=1946;sold_out;https://guesteditions.com/products/venezuelan-youth-silvana-trevale
Mawmaw;Anthony Wilson;FALSE;"Mawmaw is an intimate, long-term exploration of West Virginia’s grandfamilies – households where children are being raised by their grandparents. Spanning all four seasons, the work moves beyond the usual narratives around the opioid crisis to examine the many reasons grandparents step into a caregiving role: incarceration, death, unpreparedness, or neglect.
Through photographs made between 2021 and 2026, the book weaves together everyday life — from birthdays and play to exhaustion and resilience — to show both the triumphs and the struggles of these families. At the heart of it all are the grandmothers themselves, who keep these children fed, happy, and most importantly, deeply loved.
Pre-order Mawmaw now for a 10% discount on the retail price. All pre-orders help bring the project to life, thank you for the support. Pre-orders will ship once the book is printed in early April.
The book:254 x 203mm | 120pp image section, including 95 colour plates | Hardcover casebound in Windsor cloth with an image tip-on and foil embossed title. | Printed on Magno Volume 135g/m | Co-published by Guest Editions and Pomegranate Press.
 
—
Made in the UK – Any duties or taxes will be the responsibility of the buyer and at the discretion of the customs of the destination country.";https://guesteditions.com/cdn/shop/files/Guest-Mawmaw-Cov-01.jpg?v=1771320311&width=1946;https://guesteditions.com/cdn/shop/files/94687_AWI_MawMaw_18A.jpg?v=1771327928&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Mawmaw-Spreads-01.jpg?v=1771327928&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Mawmaw-Spreads-02.jpg?v=1771327928&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Mawmaw-Spreads-03.jpg?v=1771327928&width=1946|https://guesteditions.com/cdn/shop/files/94687_AWI_MawMaw_17.jpg?v=1771328001&width=1946;sold_out;https://guesteditions.com/products/mawmaw-anthony-wilson
Close to Home;Laura McCluskey;FALSE;"Shot over a decade on the Isle of Sheppey, where photographic artist Laura McCluskey was raised, Close to Home is a tender interrogation of how ties to family and place may fray and contort yet never break. The project’s narrative heart is 13 Acorn Street, the home of Laura’s paternal grandparents, which was ever central to McCluskey family life.
In 2014, Laura instinctively began documenting her grandparents, their home and Sheppey itself during each return visit. Thus she was to capture this poignant and candid testament to Jean and Pat’s last years. Her images sensitively portraying mortality’s march as echoed through a residence rich in vital memories. The subdued dilapidation of the once-vibrant 13 Acorn Street until its emptying, underscoring time’s stubborn progress, no matter how much we may long for it to slow.
Place is a further key theme. The places we call home, the tenacious hold they retain over us, which persists despite our relationship to home becoming fraught. For Laura, her love for her grandparents and a desire to mend fractured family ties anchored her to Sheppey. Yet photography was to prove her most powerful healing tool as this instinctual project became a conduit for reconciliation, solace and growth. An enduring act of love to stay Close to Home.
The book:254 x 212mm | 160pp image section, including 90 colour plates. | 8pp text section with an afterword by Suze Olbrich. | Casebound in a Windsor cloth with an image tip-on and foil embossed title. | Printed on Gardapat 150g/m and Fedrigoni Sirio 135g/m.
 
—
Made in the UK – Any duties or taxes will be the responsibility of the buyer and at the discretion of the customs of the destination country.";https://guesteditions.com/cdn/shop/files/Guest-CTH-Cov-01.jpg?v=1773065654&width=1946;https://guesteditions.com/cdn/shop/files/Guest-CTH-Spread-00.jpg?v=1760032153&width=1946|https://guesteditions.com/cdn/shop/files/Guest-CTH-Spread-01.jpg?v=1760032153&width=1946|https://guesteditions.com/cdn/shop/files/Guest-CTH-Spread-02.jpg?v=1760023151&width=1946|https://guesteditions.com/cdn/shop/files/Guest-CTH-Spread-14.jpg?v=1760023151&width=1946|https://guesteditions.com/cdn/shop/files/Guest-CTH-Spread-13.jpg?v=1760023151&width=1946;sold_out;https://guesteditions.com/products/close-to-home-laura-mccluskey
ÈKÓ;Ollie Babajide Tikare;FALSE;"A new photobook by British-Nigerian artist goes in search of the true spirit of Lagos. Èkó captures every day human moments – documenting the calm, the chaos, the dust, colour and a visceral sense of life in this vast Nigerian city.
Èkó is the culmination of Ollie Tikare’s exploration and documentation of Lagos after multiple extended visits to the city. As half of his family’s place of origin and home to several relatives, the city had long been a place Tikare wanted to explore more deeply. 
The resulting project speaks of both the beauty and contradictions of bustling urban life. From the fumes of the Lekki–Epe Expressway, quiet contemplations on Tarkwa Bay to the eccentric nightlife on Victoria Island. Tikare’s lens reveals an intimacy with the city that goes beyond observation—to share the spirit of its people and an authentic personal discovery. 
The Book:10 x 8"" soft-cover with a gate-folded jacket and foil embossed title | 80 pages, 35 colour plates, 13 black and white plates | Munken Pure Rough, Coloplan Rust and Saphire.
Foreword by British-Nigerian photographer, author and curator Akinbode Akinbiyi.";https://guesteditions.com/cdn/shop/files/Guest-EKO-4-5-Cov-01.jpg?v=1759413614&width=1946;https://guesteditions.com/cdn/shop/files/Guest-EKO-4-5-Spread-01.jpg?v=1759413614&width=1946|https://guesteditions.com/cdn/shop/files/Guest-EKO-4-5-Spread-02.jpg?v=1759413614&width=1946|https://guesteditions.com/cdn/shop/files/Guest-EKO-4-5-Spread-03.jpg?v=1759413614&width=1946|https://guesteditions.com/cdn/shop/files/Guest-EKO-4-5-Spread-05.jpg?v=1759413614&width=1946|https://guesteditions.com/cdn/shop/files/Guest-EKO-4-5-Spread-04.jpg?v=1759413614&width=1946;sold_out;https://guesteditions.com/products/eko-ollie-babajide-tikare
The Anthropocene Illusion;Zed Nelson;FALSE;"""While we destroy the natural world around us, we have become masters of a stage-managed, artificial ‘experience’ of nature—a reassuring spectacle, an illusion.""
Over six years, across four continents, Zed Nelson has examined how we humans immerse ourselves in increasingly simulated environments to mask our destructive divorce from the natural world. From theme parks, zoos and natural history museums, to national parks, African safaris and alpine resorts, this work reveals not only a global phenomenon of denial and collective self-delusion, but also a craving for a connection to a world we have turned our back on.
In a fraction of our Earth’s history, we humans have altered our world beyond anything it has experienced in tens of millions of years. Scientists are calling it a new epoch, The Anthropocene – the age of human. We have concentrated in cities and divorced ourselves from the land we once roamed and from other animals. Yet we cannot face the true scale of our loss. 
This work reflects on how, at a time of environmental crisis, a consoling version of nature has been packaged as a curated ‘experience’ – an illusionary spectacle designed to obscure and reassure.
The book:254 x 300mm | 196 pages including 75 colour images, made over six years and across four continents | 12pp index section with extended image descriptions and an essay by Zed Nelson | Casebound in a printed green Colorado cloth | Printed in the UK on Fedrigoni papers.
—
Made in the UK – Any duties or taxes will be the responsibilty of the buyer and at the discretion of the customs of the destination country.";https://guesteditions.com/cdn/shop/files/ZN-TAI-Cover-01.jpg?v=1743670525&width=1946;https://guesteditions.com/cdn/shop/files/ZED-TAI-Newsletter-Lead_2b134c9d-0620-4386-b77f-06ead96aa8b9.jpg?v=1771342338&width=1946|https://guesteditions.com/cdn/shop/files/ZN-TAI-Spread-02.jpg?v=1771342338&width=1946|https://guesteditions.com/cdn/shop/files/ZN-TAI-Spread-01.jpg?v=1771342338&width=1946|https://guesteditions.com/cdn/shop/files/ZN-TAI-Spread-03.jpg?v=1771342338&width=1946|https://guesteditions.com/cdn/shop/files/ZN-TAI-Spread-04.jpg?v=1771342338&width=1946;sold_out;https://guesteditions.com/products/the-anthropocene-illusion-zed-nelson
Another Patch of Sky;Brian Chorski;FALSE;"The first photobook from US artist Brian Chorski explores the American West and it's role in providing a place to find freedom. Over the course of several summers, Another Patch of Sky moves dream-like through open and undefined spaces, in search of nothing but escape. Without asking for explanation or reason, the only question is whether the land can provide the same. To offer solice without judgement. Absorb without reflection. Exist as a pure object of our desire and desperate need to be somewhere else.
The Book:200 x 254mm, 48 colour plates, 88pp + 12pp | Casebound in red cloth, with an embossed title to the front and spine | Magno Volume image section | Uncoated colour tipped in pages throughout | Afterword by Graham Hiemstra, Founding Editor of Field Mag | Published by Guest Editions | ISBN 978-1-7393843-4-0.
—Made in the UK – Any duties or taxes will be the responsibility of the buyer and at the discretion of the customs of the destination country.";https://guesteditions.com/cdn/shop/files/Guest-APOS-Cover-01.jpg?v=1741795696&width=1946;https://guesteditions.com/cdn/shop/files/Guest-APOS-Spread-01.jpg?v=1741795696&width=1946|https://guesteditions.com/cdn/shop/files/Guest-APOS-Spread-02.jpg?v=1741795696&width=1946|https://guesteditions.com/cdn/shop/files/Guest-APOS-Spread-03.jpg?v=1741795696&width=1946|https://guesteditions.com/cdn/shop/files/Guest-APOS-Spread-04.jpg?v=1741795696&width=1946|https://guesteditions.com/cdn/shop/files/Guest-APOS-Spread-05.jpg?v=1741795696&width=1946;sold_out;https://guesteditions.com/products/another-patch-of-sky-brian-chorski
GENESIS;Juan Brenner;FALSE;"A new book by Juan Brenner that explores the people and culture of the Guatemalan Highlands. Genesis is the culmination of over five years' work, in which Brenner documented the Highland area and people of his home country. With a focus on youth culture in the region, Brenner captures a new generation of Guatemalans, the first to establish an intelligible dialogue with their contemporaries around the world. 
Genesis is an extensive study of Highland society, exploring the history, nuance, and complexity of everyday life. With photography that captures a territory that is in the midst of great change and a set intention to document the “process of becoming"".
The Book:• 210 x 260mm, 259 images, 360 pages• Foil embossed gate-folded soft cover • 320pp image section on Arctic Volume• 40pp text and index section on Munken
Texts include an essay by Julio Serrano, a conversation between Juan Brenner and Gem Fletcher and a full index of image plates and descriptions.
—Made in the UK – Any duties or taxes will be the responsibilty of the buyer and at the discression of the customs of the destination country.";https://guesteditions.com/cdn/shop/files/Guest-Genesis-Cover-01.jpg?v=1726132862&width=1946;https://guesteditions.com/cdn/shop/files/Guest-Genesis-Cover-02.jpg?v=1726132862&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Genesis-Spread-01.jpg?v=1726132862&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Genesis-Spread-02.jpg?v=1726132862&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Genesis-Spread-06.jpg?v=1726132862&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Genesis-Spread-03.jpg?v=1726132862&width=1946;sold_out;https://guesteditions.com/products/genesis-juan-brenner
ODE;Melissa Schriek;FALSE;"We are excited to launch the stunning and dynamic new book ODE by Melissa Schriek, a vivid exploration into the dynamics of female friendship.
About ODE""One of the primary motivations for starting ODE was to pay homage, quite literally, to sisterhood and female friendship. Throughout my life, I've been inspired by the power and unity of women, and that admiration continues to grow. The bond and connection that I often witness and experience among women hold significant importance to me. It struck me how this bond is frequently misrepresented in popular media as 'toxic', dramatic, or hostile, and at times, female friendship is overlooked altogether.
""In response, I set out to create a photographic narrative that would present a different perspective on friendship, while maintaining authenticity. I photographed numerous pairs of best friends, mostly in public space, aiming to explore the essence of their connections through portraiture, body language and movement.""
The Book• ﻿Hardcover casebound in yellow cloth• Four images inlaid on the front cover• Large foil embossed title on the back cover• 152 pages on a soft silk paper• 230 x 300mm, 135 colour plates
-Made in the UK. Any duties incurred during shipping will be the responsibilty of the buyer and at the discression of the customs of the destination country.";https://guesteditions.com/cdn/shop/files/ODE-Cover-01.jpg?v=1690538303&width=1946;https://guesteditions.com/cdn/shop/files/ODE-Cover-02.jpg?v=1690538302&width=1946|https://guesteditions.com/cdn/shop/files/ODE-Spread-01.jpg?v=1690538303&width=1946|https://guesteditions.com/cdn/shop/files/ODE-Spread-02.jpg?v=1690538301&width=1946|https://guesteditions.com/cdn/shop/files/ODE-Spread-03.jpg?v=1690538304&width=1946|https://guesteditions.com/cdn/shop/files/ODE-Spread-04.jpg?v=1690538303&width=1946;sold_out;https://guesteditions.com/products/ode-melissa-schriek
DRAWERS Zine;Carina Lammers & Jahnavi Sharma;FALSE;"The act of choosing underwear marks the first gesture in the daily ritual of dressing – a quiet interplay of aesthetics and function, a secret exchange of emotions and feelings. Drawers explores this most intimate yet collective space.
Drawers is a collaborative project between photographer Carina Lammers and stylist Jahnavi Sharma. It is presented as a beutiful and intimate softcover zine, bound in a combination of a Fuchsia Colorplan cover stock, semi-transparent endpapers, Munken papers and a red thread stitching.
• A5 softcover zine• Colorplan & Munken Pure Rough• Semi-traslucent end-papers• Singer sewn with a red thread• 36 colour plates";https://guesteditions.com/cdn/shop/files/Guest-Drawers-Cover-01.jpg?v=1737634790&width=1946;https://guesteditions.com/cdn/shop/files/Guest-Drawers-Spread-01.jpg?v=1737634789&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Drawers-Spread-02.jpg?v=1737634789&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Drawers-Spread-03.jpg?v=1737634789&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Drawers-Spread-04.jpg?v=1737634789&width=1946|https://guesteditions.com/cdn/shop/files/Guest-Drawers-Spread-05.jpg?v=1737634789&width=1946;sold_out;https://guesteditions.com/products/drawers-carina-lammers-jahvani-sharma
AGUA;Denisse Ariana Pérez, Book & Print;FALSE;"This is a pre-order for the much anticipated second printing of the sold out title Agua, in combination with a choice of one of three beautiful new prints from the series.Agua is the first photobook from Caribbean-born, Barcelona-based photographer Denisse Ariana Pérez. Driven by an obsession with humans and the human experience as a whole, her work looks to explore, expose and honour the beauty she sees in others. Water, which has always been present in both life and work, allows her to get closer by dissolving facades and removing walls to celebrate what is found within. From the colder currents of Scandinavia to the warm pink lakes of Senegal, Agua is an intimate and endless journey of human exploration that captures a vital and magical relationship between people and water. 
The Book:206 x 275mm | 176 pages with 142 colour plates | Hardcover with foiled front and spine | 8 page translucent printed text tip-ins
The Print:Fine art Giclée pigment print | Hahnemühle PhotoRag 308gsm | Approximately 176 x 256mm | Limited to an edition of 50 (each image).
Pre-order:UPDATE: The pre-order is continuing through April whilst the book goes to print – now shipping in May 2023. This is a pre-order and the anticipated delivery of the book will be this coming March/April. Pre-orders are a vital way of making this book possible and every order helps in bringing the project to life. Thank you for supporting small, independent publishing and the artists that we represent! After ordering you will receive an email confirmation and once the book is printed you will then receive a note for it's dispatch.";https://guesteditions.com/cdn/shop/products/Agua-Cover-Print-01.jpg?v=1671040395&width=1946;https://guesteditions.com/cdn/shop/products/Agua-Cover-Print-02.jpg?v=1671040395&width=1946|https://guesteditions.com/cdn/shop/products/Agua-Cover-Print-03.jpg?v=1671040395&width=1946|https://guesteditions.com/cdn/shop/products/AGUA-Spreads-02_68f8cb77-b845-464a-a747-be1bc58750f1.jpg?v=1671040395&width=1946|https://guesteditions.com/cdn/shop/products/AGUA-Spreads-01_52ced527-d85f-4d08-bc10-3aab224e7875.jpg?v=1671040395&width=1946|https://guesteditions.com/cdn/shop/products/AGUA-Spreads-03_593111dc-16f1-48ea-b1a6-599b0321f39b.jpg?v=1671040395&width=1946;sold_out;https://guesteditions.com/products/agua-denisse-ariana-perez-book-print
