title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Goalkeepers,Hans van der Meer,true,"Football is part of our European culture and football grounds are part of our landscape; you find them in every country, city, town, village… To tell that story Dutch photographer Hans van der Meer started from 1995 on to take pictures at lower league matches, that show the world beyond as well as the game itself. First in The Netherlands, resulting in his famous books Dutch Fields (1998), and after that across Europe followed by the book European Fields (2006). The ability to casually capture the local environment became the most important factor in his choice of which matches to attend. This selection of landscapes featuring only a goalkeeper comes from his complete archive from 1995 to 2012 and includes 19 European countries.
Hans van der Meer: »Framing the scenery from a fixed and often elevated vantagepoint, half of the time the players had moved to the other end of the pitch. The remaining goalkeepers seemed to be standing on an empty stage, waiting for the other actors to come their way again. That image was always somehow irresistible; one I had to take. Bringing together a selection of these landscapes with isolated goalkeepers is a tribute to all these remote places where amateur players live their dreams, far away from the Champions League.
English edition by FW Books, Amsterdam",https://hartmann-books.com/wp-content/uploads/2026/01/HVDM_Deutsch.jpg,https://hartmann-books.com/wp-content/uploads/2026/01/HVDM_EditionsLabel_D.jpg,available,https://hartmann-books.com/en/produkt/hans-van-der-meer-goalkeepers-from-the-fields-of-european-amateur-football/
Gardiens de but,Hans van der Meer,true,"Le ballon rond fait partie de notre culture européenne et les terrains de football émaillent notre paysage : chaque pays, chaque ville, chaque village a son stade. Saison après saison, depuis 1995, le photographe néerlandais Hans Van der Meer passe ses dimanches dans les gradins des matchs amateurs. Ses images montrent les matchs eux-mêmes, avec les sportifs et leurs équipements, mais aussi le paysage qui les entoure, d’abord aux Pays-Bas, ce qui a donné lieu à son célèbre livre Dutch Fields (1998), puis dans toute l’Europe avec European Fields (2006), publié en français sous le titre Terrains d’Europe. Longues attentes, coups de grâce et heures de gloire : là encore, il choisit la simplicité pour mettre en avant les paysages, les terrains et les joueurs. Cette sélection de paysages mettant en scène uniquement un gardien de but provient de ses archives complètes de 1995 à 2012 et couvre 19 pays européens.
Hans van der Meer : « La plupart du temps, depuis mon point de vue fixe et surélevé, quand j’arrivais enfin à cadrer sur une attaque, la moitié des joueurs étaient déjà repartis à l’autre bout du terrain. Restaient les gardiens, qui semblaient se tenir sur une scène vide à attendre que l’action revienne vers eux. Ces moments étaient toujours irrésistibles, je ne pouvais pas m’empêcher de faire une photo. Cette compilation de scènes qu’on pourrait appeler « paysage avec gardien solitaire » est un hommage à toutes ces bourgades reculées où les footballeurs amateurs vivent leurs rêves, loin de la Ligue des champions. »
Édition anglaise FW Books, Amsterdam",https://hartmann-books.com/wp-content/uploads/2026/01/HVDM_Franzoesisch.jpg,https://hartmann-books.com/wp-content/uploads/2026/01/HVDM_EditionsLabel_F.jpg,available,https://hartmann-books.com/en/produkt/french-edition-hans-van-der-meer-goalkeepers-from-the-fields-of-european-amateur-football/
A Well That Never Dries,Nam Tchun-Mo,true,"Nam Tchun-Mo (*1961) represents a contemporary continuation of the Dansaekhwa movement, a South Korean art movement that was already working in a radically abstract, largely monochrome, and increasingly three-dimensional manner in the 1960s. Through repetitive actions in a meditative painting practice, he creates a contemporary interpretation of „golbeop“ (骨法), a classical principle of East Asian painting that emphasizes the structural vitality and life force of brushwork. He organically traverses tradition and contemporaneity, craftsmanship and abstract form, physicality and spirituality, as well as personal memories and collective cultural experience. The central formal elements of Nam Tchun-Mo‘s practice are lines reminiscent of furrowed fields and elements of traditional architecture such as lattice windows and rafters.
„A Well That Never Dries“ is the second book about and with Nam Tchun-Mo in our program after „Beam Lines Spring Stroke“ (2019) with which we venture away from photography into painting and sculpture, a rare but very welcome excursion for us.
Nam Tchun-Mo lives and works in Daegu, Korea and Cologne, Germany. He exhibits regularly in Korea and Europe, mainly France,Germany, Luxembourg, Belgium.",https://hartmann-books.com/wp-content/uploads/2026/02/Cover_Gross_Struktur.jpg,https://hartmann-books.com/wp-content/uploads/2026/02/Cover_Struktur.jpg|https://hartmann-books.com/wp-content/uploads/2026/02/Innen_4.jpg|https://hartmann-books.com/wp-content/uploads/2026/02/Innen_3.jpg|https://hartmann-books.com/wp-content/uploads/2026/02/Innen_2.jpg|https://hartmann-books.com/wp-content/uploads/2026/02/Innen_1.jpg|https://hartmann-books.com/wp-content/uploads/2026/02/Cover_Back_Struktur.jpg,available,https://hartmann-books.com/en/produkt/nam-tchun-mo-a-well-that-never-dries/
Contemporary Perspectives from NRW,Lebensräume,true,"Portraits, open-cast mining, landscape, periphery, industrial architecture, cityscapes, parks, social housing, Cologne, Dusseldorf, Essen, Hürtgenwald… fourteen photographers from NRW undertake an individual inventory of North Rhine-Westphalia in this book. Their photographic series as well as their films concern themselves, for example, with people and their diverse origins, their ways of life, and their social circumstances. Urban architecture and urban change constitute a further focal point, and naturally, the history of the federal state as a transforming industrial and landscape site also plays a role. For all these inquiries into history, memory, and change, photography in general and the photobook in particular represent the predestined medium.
Included Photographers Almourad Aldeeb, Paul Avis, Boris Becker, Frank Dömer, Emine Ercihan, Kathrin Esser, Claudia Fährenkemper, Katharina Kemme, Alexander Lackmann, Jeffrey Ladd, Melina Lehmacher, Gregor Schneider, Gerhard Winkler, Philip Zietmann.
Exhibition
Die Photographische Sammlung / SK Stiftung Kultur 13.3.–12.7.2026",https://hartmann-books.com/wp-content/uploads/2026/01/Lebensraeume_CoverGross.jpg,https://hartmann-books.com/wp-content/uploads/2026/01/Lebensraeume_CoverKlein.jpg|https://hartmann-books.com/wp-content/uploads/2026/01/Lebensraeume_Back.jpg,available,https://hartmann-books.com/en/produkt/lebensraeume-contemporary-perspectives-from-nrw/
Half Life Chernobyl,Volker Kreidler,true,"On April 26, 1986, at 01:23 a.m. local time, Reactor Block 4 of the Chernobyl nuclear power plant suffered the worst-case scenario in the history of civil nuclear power. Nearly ten years later, in 1995, the Deutsches Hygiene-Museum Dresden commissioned photographer Volker Kreidler to document the aftermath of the catastrophe for the people, the environment, and the landscape. What began as a nature study in 2015 evolved through repeated travels to Kyiv over the past year into a highly topical testimony of the political present in Ukraine. At the heart of the 2025 works is the resilience of the people in Kyiv and the Exclusion Zone, set against the backdrop of the ongoing Russian war of aggression. “The project brings the journey full circle,” says the photographer. “We are returning to the people to whom we already gave a voice in 1995.Today, we are documenting a society standing between destruction and an unconditional determination to pursue a European future.”
With this project, Volker Kreidler presents an extraordinary photographic documentation that traces Ukraine’s transformation from the post-Soviet spirit of change to the current war of defense against Russia.
Volker Kreidler (*1962) has been dedicated to the photographic exploration of Eastern Europe since the fall of the Berlin Wall in 1989. His work navigates the tensions of rapprochement with the West and the associated challenges concerning democracy, education, human rights, and interpersonal relationships",https://hartmann-books.com/wp-content/uploads/2026/01/Chernobyl__Cover_Gross_mockup-scaled.jpg,,available,https://hartmann-books.com/en/produkt/volker-kreidler-half-life-chernobyl-en/
Abbild Kontext Zeichen Foto,Manfred Schmalriede,true,"The photo theorist, professor, lecturer, school founder, and author Manfred Schmalriede (*Pforzheim 1937) passed away in the autumn of 2023. He left behind an extensive collection of writings and lectures composed in connection with his teaching activities, as well as for magazines, exhibitions, and book projects. During his lifetime, however, no book was ever published that presented his comprehensive journalistic projects in a collected form. The foundational texts assembled for this volume were still selected jointly by Manfred Schmalriede and the editors. The organization and structure of the book were determined by Silke Helmerding (Professor of Artistic Photography at Pforzheim University) and Jörn Vanhöfen (former student of Manfred Schmalriede, photographer, teacher, and co-founder—along with Manfred Schmalriede and Arno Fischer—of the Fotoschule am Schiffbauerdamm, fas).
About Manfred Schmalriede: Studied Art (HbK Hamburg), followed by studies in History, Art History, and Philosophy (Stuttgart and Tübingen), as well as Aesthetics and Semiotics under Max Bense in Stuttgart. 1971–2002 Professor of Art and Design Theory, Semiotics, and Aesthetics at Pforzheim University; 1979–1991 Lecturer for the History and Theory of Photography at the University of Essen (formerly Folkwang School); 2000–2006 Co-founder and teacher at the Fotoschule Fotografie am Schiffbauerdamm (fas); Workshops on the theory of photography at Cranbrook Academy, MI, and Cleveland State University, Ohio; 2007 Founder of the Neue Schule für Fotografie in Berlin (International Academy for Photography, IAPh), where he played a decisive role as a board member and lecturer.",https://hartmann-books.com/wp-content/uploads/2026/01/Schmalriede__mockup_Cover_Gross-scaled.jpg,https://hartmann-books.com/wp-content/uploads/2026/01/Inhaltsverzeichnis-scaled.jpg|https://hartmann-books.com/wp-content/uploads/2026/01/Inhaltsverzeichnis2-scaled.jpg|https://hartmann-books.com/wp-content/uploads/2026/01/354-scaled.jpg|https://hartmann-books.com/wp-content/uploads/2026/01/246-scaled.jpg,available,https://hartmann-books.com/en/produkt/manfred-schmalriede-abbild-kontext-zeichen-foto-2/
Tres Viajes,Jörg Brüggemann,true,"Jörg Brüggemann has traveled to Chile and South America three times. On one of his trips, he drove several thousand kilometers across the continent, capturing landscapes and encounters in his photographs. He was inspired to do so by a dream in which he encountered his deceased mother. On another trip, he photographed political unrest and demonstrations in Valparaíso. The three trips—there are three chapters in the book—are, in their visual language, far more journeys of dreams and feelings—perhaps also in search of himself—than documentary images of places, people, or political circumstances. The three chapters, which are wonderfully distinct from one another in their design and materiality while remaining intertwined, read like narrative strands that cannot be explained immediately, as they leave room for personal discoveries and fantasies. A short personal text by the author continues this narrative style in words. It is also interesting that the photographer, who in his last book pursued a sober topic such as the German autobahn over several years, now shows that a travel narrative can perhaps also be a healing process for oneself and that inner images enable a completely unique, not always explainable approach to the world.
Jörg Brüggemann (*1979) has been a member of the Ostkreuz agency since 2009 and is co-director of the renowned Ostkreuzschule in Berlin.
Exhibition
Robert Morat Gallery, Berlin, opening January 16, 2026
––> A short movie about the book",https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_U1_gross.jpg,https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_U1.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_1.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_2.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_3.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_4.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_5.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_6.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_7.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_8.jpg|https://hartmann-books.com/wp-content/uploads/2025/10/hb_jb_tresviajes_mockup_U4.jpg,available,https://hartmann-books.com/en/produkt/joerg-brueggemann-tres-viajes-en/
Buchenwald In the Thicket of the Ettersberg,Christian Rothe,true,"Between 2017 and 2024, the Leipzig-based photographer Christian Rothe (*1986) explored the vast area of the former concentration camp Buchenwald on the Ettersberg near Weimar, using his analog large-format camera. Ruins, barely discernible foundations, stairs, fences and paths appear as topographical scars and signs in the impenetrable thicket. What began as a careful and tentative exploration gradually evolved into an intensive search for traces of history obscured by nature. The black and white photographs enter into a dialog with the poem (Der gefesselte Wald) by José Fosty and literary passages from internationally renowned novels by former concentration camp inmates: Bruno Apitz’s “Naked Among Wolves”, Imre Kertész’s “Fatelessness” and Jorge Semprún’s “What a Beautiful Sunday”. Essays by curator Andrea Karle, chairman of the World Council of Churches, Heinrich Bedford-Strohm and editor Günter Jeschonnek on Christian Rothe’s visual language, the significance of contemporary remembrance culture and commemoration complement the examination of the rupture of civilization and the terror of National Socialism in the immediate vicinity of the town of classicism and great German poets and thinkers. The book was released on the occasion of the eightieth anniversary of the liberation of the Buchenwald concentration camp by the remaining prisoners and the US Army and was presented  for the first time at a matinee on Sunday, April 13, 2025 at the Museum of Forced Labor under National Socialism, Weimar.
After receiving the Award of the Stiftung Buchkunst as “Germanies Most Beautiful Book” of 2025 the first edition sold out quickly. With the help of numerous donors a second edition could be released on January 27 2026, the International Holocaust Remembrance Day, at the State Representation of Baden-Württemberg in Berlin.
Further book releases and related events
January 27, 2026, Landesvertretung Baden-Württemberg, Berlin
February 7, 2026, Augustinum in Erfurt

Past events
Mai 9, 2025, Haus Dacheröden, Erfurt
June 1, 2025, Memorioal Site, KZ-Sachsenburg
November, 12–16, Paris Photo, Booth K10
November, 15, Saturday, 10.30 am, matinee at Goethe-Institut, Paris
November 28, finissage at Galerie Mond, Berlin
Selected Press/Media
Stiftung Buchkunst Award 9/2025
German Photobook Award 2025/2026
(Documentary Photography)
Loring Knoblauch, Collector Daily, 23.1.2026
––> A short movie about the book",https://hartmann-books.com/wp-content/uploads/2025/12/hb_cr_Buchenwald_Mockup_U1_gross_zweite_Auflage-1.jpg,https://hartmann-books.com/wp-content/uploads/2025/12/hb_cr_Buchenwald_Mockup_U1_klein_zweite_Auflage-1.jpg|https://hartmann-books.com/wp-content/uploads/2019/11/plakette-stiftung-buchkunst.jpg|https://hartmann-books.com/wp-content/uploads/2024/12/hb_cr_Buchenwald_Mockup_1.jpg|https://hartmann-books.com/wp-content/uploads/2024/12/hb_cr_Buchenwald_Mockup_2.jpg|https://hartmann-books.com/wp-content/uploads/2024/12/hb_cr_Buchenwald_Mockup_3.jpg|https://hartmann-books.com/wp-content/uploads/2024/12/hb_cr_Buchenwald_Mockup_4.jpg|https://hartmann-books.com/wp-content/uploads/2024/12/hb_cr_Buchenwald_Mockup_5.jpg|https://hartmann-books.com/wp-content/uploads/2024/12/hb_cr_Buchenwald_Mockup_7.jpg|https://hartmann-books.com/wp-content/uploads/2024/12/hb_cr_Buchenwald_Mockup_9.jpg|https://hartmann-books.com/wp-content/uploads/2024/12/hb_cr_Buchenwald_Mockup_10.jpg,available,https://hartmann-books.com/en/produkt/christian-rothe-buchenwald-en/
India,Ljubodrag Andric,true,"The impressive, large-format pictures by Ljubodrag Andric (*1965) are all the more difficult to categorize the longer the viewer gazes at them. Even though Andric makes use of a camera at the beginning of his creative process, he operates at the interface between photography and painting. Between 2019 and 2024, Andric traveled through India and was inspired by the atmosphere of historical buildings to create works that can be described as geometric abstractions painted with light. A special feature of his work is the tactile quality reminiscent of fresco painting, which is also reflected in the choice of materials for this book. The publication, bound as a “dos-a-dos”, combines two books in one. The classic and equally radical layout by Dutch bookdesigner SYB congenially reflects the visual approach of Ljubodrag Andric’s works. An alternating rhythm of full-page illustrations and double-page details picks up on the impressions and sensations that careful viewers of his originals works may have.
Ljubodrag Andric, born in Belgrade into a family of artists, developed his first photographic and artistic interests at the age of 15. From 1987 onwards, he devoted himself exclusively to photography. From 1987 to 2002, he lived and worked in Rome and Milan before moving to Toronto, Canada. This multicultural biographical background has had a major influence on his work to this day.
––> A short movie about the book",https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_beide_U1_gross.jpg,https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_U1_klein_1.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_1_1.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_1_2.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_1_3.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_1_4.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_U4_klein_2_unten.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_2_1.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_2_2.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_2_3.jpg|https://hartmann-books.com/wp-content/uploads/2025/06/hb_la_india_mockup_2_4.jpg,available,https://hartmann-books.com/en/produkt/ljubodrag-andric-india/
Tbilisi Diary,Peter Bialobrzeski,true,"Tbilisi Diary, April 26 – May 4, 2024
May 1, 2024
„By noon, everything seemed to be back to normal. Another much too hot day passes before the anti-Russian law demonstrators take to the streets again in the evening. On X, formerly known as Twitter, you can watch videos of peaceful demonstrators cleaning the streets at 4 a.m., followed by videos of brutal interventions by Speznaz, the special police force, also known locally as Robocops.“
About the City Diaries
In his global, long-term project planned for 50 volumes (begun in 2013), Peter Bialobrzeski poses the question of whether the conception of the image of a city, shaped by prejudices, pre-existing notions, and media representations, can be translated into real images. He is interested in the cultural differences visible in each cityscape. He poses the question of what has already been superimposed by increasing globalization, or what remains visible. With his consistent, seemingly objectifying visual language, this epochal, documentary experiment can be wonderfully comprehended in each book and especially by comparing the individual books, e.g. for New York or Norderney.
Peter Bialobrzeski’s work has been exhibited worldwide. He is the recipient of numerous awards, including two World Press Photo Awards (2003, 2010). In 2012 he was granted the Dr. Erich Salomon Award by the German Photographic Society.
Fold your own spine
Click here for the tutorial
––> A short movie about the book",https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_U1_gross.jpg,https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_U1_klein.jpg|https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_1.jpg|https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_2.jpg|https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_3.jpg|https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_4.jpg|https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_5.jpg|https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_6.jpg|https://hartmann-books.com/wp-content/uploads/2025/09/hb_pb_tbilisi_mockup_7.jpg,available,https://hartmann-books.com/en/produkt/peter-bialobrzeski-tbilisi-diary-2/
