title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
After London;Simon Roberts;FALSE;"112pp, hardback with cloth spine, fine art paper, 237 x 300 mm.
Simon Roberts' dissolving portraits of a half-familiar London invite us to imagine a future transmuted by climate crisis. The city is de-peopled and eerie, its landmarks re-imagined as monuments to a displaced past. The photographs speak of loss, temporality and human fragility.

Simon Roberts is a British photographer renowned for his large-format, tableaux-style images that explore the relationship between people and landscape, focusing on themes of identity and belonging. Roberts has exhibited internationally, with his photographs held in major collections such as the George Eastman Museum and the V&A.

Book design by Friederike Huber.

This is the first edition.

ISBN: 978-1-917719-10-0";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Cover_Mockup_v2_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_08_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_10_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_16_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_19_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_23_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_47_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_27_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_32_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Spreads_Grey_53_1024x1024.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/Flower_Cover_Mockup_v2_280x@2x.jpg?v=1757584959|https://www.hoxtonminipress.com/cdn/shop/files/Cat_Cover_Mockup_v2_280x@2x.jpg?v=1756198302|https://www.hoxtonminipress.com/cdn/shop/files/EverydayWonder_Cover_Mockup_v3_280x@2x.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Cover_Mockup_280x@2x.jpg?v=1739356518;available;https://www.hoxtonminipress.com/products/after-london
Flower.;Lucy Davies;FALSE;"192pp, hardback, 130 x 180mm.
This is a collection of the world's most vibrant and inventive contemporary photography of flowers. From the garland wholesalers of Kolkata to wildflowers blooming between paving stones, these images are a modern tribute to the enduring allure of flowers in both art and life.

Featured photographers: Gareth McConnell, Xuebing Du, Thomas Brown & Guillaume Ferrand, Sharon Core, Celine Marchbank, Billy Barraclough, Johanna Neurath, Marco Kessler, Anthony Bockheim, Cig Harvey, Debi Shapiro, Kate Friend, William Arnold, Rosalind Hobley, Luke Stephenson, Mary Kocol, Emma Robinson, Jennifer Latour, Ken Hermann, Alma Haser, Abelardo Morell, Hannes Hummel, Tine Poppe, Tony Mendoza.

ISBN: 978-1-914314-95-7

This book is carbon neutral. This is the first edition.";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/Flower_Cover_Mockup_v2_1024x1024.jpg?v=1757584959|https://www.hoxtonminipress.com/cdn/shop/files/01_Flower_Spreads_Grey_GarethMcConnell_01_1024x1024.jpg?v=1757584977|https://www.hoxtonminipress.com/cdn/shop/files/08_Flower_Spreads_Grey_MarcoKesseler_01_1024x1024.jpg?v=1757585251|https://www.hoxtonminipress.com/cdn/shop/files/08_Flower_Spreads_Grey_MarcoKesseler_03_1024x1024.jpg?v=1757585251|https://www.hoxtonminipress.com/cdn/shop/files/10_Flower_Spreads_Grey_CigHarvey_01_1024x1024.jpg?v=1757585251|https://www.hoxtonminipress.com/cdn/shop/files/11_Flower_Spreads_Grey_DebiShapiro_03_1024x1024.jpg?v=1757585251|https://www.hoxtonminipress.com/cdn/shop/files/03_Flower_Spreads_Grey_ThomasBrown_GuillaumeFerrand_01_1024x1024.jpg?v=1757585251|https://www.hoxtonminipress.com/cdn/shop/files/20_Flower_Spreads_Grey_AlmaHaser_01_1024x1024.jpg?v=1757585251|https://www.hoxtonminipress.com/cdn/shop/files/15_Flower_Spreads_Grey_LukeStephenson_01_1024x1024.jpg?v=1757585251|https://www.hoxtonminipress.com/cdn/shop/files/19_Flower_Spreads_Grey_KenHermann_01_1024x1024.jpg?v=1757585251|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Cover_Mockup_v2_280x@2x.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/Cat_Cover_Mockup_v2_280x@2x.jpg?v=1756198302|https://www.hoxtonminipress.com/cdn/shop/files/EverydayWonder_Cover_Mockup_v3_280x@2x.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Cover_Mockup_280x@2x.jpg?v=1739356518;available;https://www.hoxtonminipress.com/products/flower
Cat.;Lucy Davies;FALSE;"208pp, hardback, 130 x 180mm.
From the alley cats of Istanbul to a litter of AI-generated kittens, this is a collection of the world’s most striking contemporary feline photography, inviting us to explore our enduring obsession with these enigmatic creatures through a new lens.

Featured photographers: Marcel Heijnen, Robert Bahou, Alicia Rius, Lola Dupre, Gerrard Gethings, Andrius Burba, BriAnne Wills, Jouk Oosterhof, Nguan, Ekin Kück, Carli Davidson, Dag Knudsen, Jack Kenyon, Nikita Teryoshin, Stephen Eichhorn, Pascale Weber, Rojiman & Umatan Yamazaki, Robin Schwartz, Julia Lindemalm, Nils Jacobi, Max Knight, Tony Mendoza, Sami Uçan, Jamie Campbell, Matt McCarthy, Graphic Thought Facility

ISBN: 978-1-914314-94-0

This book is carbon neutral. This is the first edition.";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/Cat_Cover_Mockup_v2_1024x1024.jpg?v=1756198302|https://www.hoxtonminipress.com/cdn/shop/files/24_Cat_Spreads_Grey_JamieCampbell_01_1024x1024.jpg?v=1756200882|https://www.hoxtonminipress.com/cdn/shop/files/01_Cat_Spreads_Grey_MarcelHeijnen_01_1024x1024.jpg?v=1756200882|https://www.hoxtonminipress.com/cdn/shop/files/06_Cat_Spreads_Grey_AndriusBurba_03_1024x1024.jpg?v=1756200882|https://www.hoxtonminipress.com/cdn/shop/files/05_Cat_Spreads_Grey_GerrardGethings_02_1024x1024.jpg?v=1756200882|https://www.hoxtonminipress.com/cdn/shop/files/12_Cat_Spreads_Grey_DagKnudsen_01_1024x1024.jpg?v=1756200882|https://www.hoxtonminipress.com/cdn/shop/files/10_Cat_Spreads_Grey_EkinKucuk_01_1024x1024.jpg?v=1756200882|https://www.hoxtonminipress.com/cdn/shop/files/11_Cat_Spreads_Grey_CarliDavidson_03_1024x1024.jpg?v=1756200882|https://www.hoxtonminipress.com/cdn/shop/files/21_Cat_Spreads_Grey_MaxKnight_01_1024x1024.jpg?v=1756201373|https://www.hoxtonminipress.com/cdn/shop/files/14_Cat_Spreads_Grey_NikitaTeryoshin_02_1024x1024.jpg?v=1756201373|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Cover_Mockup_v2_280x@2x.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/Flower_Cover_Mockup_v2_280x@2x.jpg?v=1757584959|https://www.hoxtonminipress.com/cdn/shop/files/EverydayWonder_Cover_Mockup_v3_280x@2x.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Cover_Mockup_280x@2x.jpg?v=1739356518;available;https://www.hoxtonminipress.com/products/cat
Everyday Wonder;Sophie Howarth;FALSE;"128pp, hardback, cloth spine, 125 x 183mm.
Life is always winking at us, calling our attention to the beauty hidden in plain sight. Why do we so often miss what's right in front of us, lost in thought or tethered to endless to-do lists? This compilation of poems, photographs and creative practices is for anyone looking to recover a sense of astonishment in ordinary things.

This book is carbon neutral. This is the first edition.

ISBN: 978-1-914314-78-0";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/EverydayWonder_Cover_Mockup_v3_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/00_EverydayWonder_Spreads_Grey_Intro_04_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/02_EverydayWonder_Spreads_Grey_Home_07_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/02_EverydayWonder_Spreads_Grey_Home_08_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/02_EverydayWonder_Spreads_Grey_Home_12_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/03_EverydayWonder_Spreads_Grey_Street_11_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/05_EverydayWonder_Spreads_Grey_Body_06_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/05_EverydayWonder_Spreads_Grey_Body_07_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/06_EverydayWonder_Spreads_Grey_OnNotGivingUp_04_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/07_EverydayWonder_Spreads_Grey_Outro_02_1024x1024.jpg?v=1741687472|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Cover_Mockup_v2_280x@2x.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/Flower_Cover_Mockup_v2_280x@2x.jpg?v=1757584959|https://www.hoxtonminipress.com/cdn/shop/files/Cat_Cover_Mockup_v2_280x@2x.jpg?v=1756198302|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Cover_Mockup_280x@2x.jpg?v=1739356518;available;https://www.hoxtonminipress.com/products/everyday-wonder
Benidorm;Rob Ball;FALSE;"128pp, cloth spine and back cover, 237mm x 285mm.
Considered the birthplace of the package holiday, Benidorm continues to draw visitors with its promise of tropical escape. Rob Ball's contemporary photographs reveal a more complex story: one of human connection and communion, and of the stark contrast between a vibrant beach culture and the towering urban landscape that embraces it.

Rob Ball has been a photographer for over 25 years. He spent time working as a news, sport and crime scene photographer before shifting to long-form personal projects while lecturing at Canterbury Christ Church University. Rob has exhibited his work internationally and continues to work on projects and commissions while lecturing.

Book design by Friederike Huber and Hoxton Mini Press

ISBN: 978-1-914314-88-9";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Cover_Mockup_1024x1024.jpg?v=1739356518|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_07_1024x1024.jpg?v=1739356544|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_08_1024x1024.jpg?v=1739356557|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_17_1024x1024.jpg?v=1739356566|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_20_1024x1024.jpg?v=1739356707|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_24_1024x1024.jpg?v=1739356707|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_25_1024x1024.jpg?v=1739356707|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_45_1024x1024.jpg?v=1739356707|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_44_1024x1024.jpg?v=1739356707|https://www.hoxtonminipress.com/cdn/shop/files/Benidorm_Spreads_GreyBG_57_1024x1024.jpg?v=1739356707|https://www.hoxtonminipress.com/cdn/shop/files/Cover_EEIC_yellow_9a7ada5f-2d60-49ec-ab0e-41947dfb6c47_280x@2x.jpg?v=1700898614|https://www.hoxtonminipress.com/cdn/shop/products/Pubs-Cover_cf5e5246-5e67-43fe-b3f9-d676b1231e15_280x@2x.jpg?v=1669681127|https://www.hoxtonminipress.com/cdn/shop/files/Joseph_Cover_280x@2x.jpg?v=1738764399|https://www.hoxtonminipress.com/cdn/shop/files/Botanical_Case_280x@2x.jpg?v=1700903030;available;https://www.hoxtonminipress.com/products/benidorm
Market Day;Paul Trevor;FALSE;"128pp, hardback, 170mm x 197mm.
The Brick Lane and Petticoat Lane markets have always been symbolic of the changing character of London’s East End – its diversity and vibrancy in the face of adversity. Made between 1974 and 1992, Paul Trevor’s photographs offer a vivid picture of the area before its gentrification and rapid social change.

This book is carbon neutral. This is the first edition.

ISBN: 978-1-914314-82-7";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Cover_GreyBG_1024x1024.jpg?v=1729262968|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_007_1024x1024.jpg?v=1730721649|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_011_1024x1024.jpg?v=1730721649|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_012_1024x1024.jpg?v=1730721650|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_017_1024x1024.jpg?v=1730721649|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_020_1024x1024.jpg?v=1730721649|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_023_1024x1024.jpg?v=1730721649|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_025_1024x1024.jpg?v=1730721649|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_033_1024x1024.jpg?v=1730721649|https://www.hoxtonminipress.com/cdn/shop/files/MarketDay_Spreads_Mockup_v2_006_1024x1024.jpg?v=1730721651|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Cover_Mockup_v2_280x@2x.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/Flower_Cover_Mockup_v2_280x@2x.jpg?v=1757584959|https://www.hoxtonminipress.com/cdn/shop/files/Cat_Cover_Mockup_v2_280x@2x.jpg?v=1756198302|https://www.hoxtonminipress.com/cdn/shop/files/EverydayWonder_Cover_Mockup_v3_280x@2x.jpg?v=1741687472;available;https://www.hoxtonminipress.com/products/market-day
The Package Holiday 1968 - 1985;Jake Clark;FALSE;"120pp, cloth spine, 196 x 156mm
Book 14 in the series 'Vintage Britain'

Factor two sunscreen, brightly-coloured Speedos and duty-free cigarettes by the pool: the pleasure of the early package holiday are captured in this collection of technicolour photographs of the British abroad. Taken by an English photographer and compiled by his son, these photographs are a nostalgic celebration of a bygone era.

Book design by Friederike Huber.

This book is carbon neutral. This is the first edition.

ISBN: 978-1-914314-58-2";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Cover_61068010-6e4e-4d36-8bf8-ba80ea3e7c2e_1024x1024.jpg?v=1707374904|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-05_1024x1024.jpg?v=1706425299|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-12_1024x1024.jpg?v=1706425313|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-13_1024x1024.jpg?v=1706425321|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-08_1024x1024.jpg?v=1706425426|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-18_1024x1024.jpg?v=1706425426|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-20_1024x1024.jpg?v=1706425426|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-43_1024x1024.jpg?v=1706425426|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-58_1024x1024.jpg?v=1706425426|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_Package_Holiday-Press-Spreads-06_1024x1024.jpg?v=1706425426|https://www.hoxtonminipress.com/cdn/shop/files/VB-The_NHS-Cover-New_280x@2x.jpg?v=1764872932|https://www.hoxtonminipress.com/cdn/shop/files/VB_London_Pubs-Cover_280x@2x.jpg?v=1701156979|https://www.hoxtonminipress.com/cdn/shop/files/Picnic_Cover_280x@2x.jpg?v=1700900133|https://www.hoxtonminipress.com/cdn/shop/files/London-in-the-snow_Cover_280x@2x.jpg?v=1701156312;available;https://www.hoxtonminipress.com/products/the-package-holiday-book-14-vintage-britain
The Hackney Marshes;Freya Najade;FALSE;"96pp, cloth bound cover, 237mm x 285mm. With an introduction by Rosalind Jana.
Freya Najade takes us on a journey through the uncontainable wildness of the Hackney Marshes; an explosion of nature in the heart of the city, where ancient trees and grasslands are overlooked by tower blocks and pylons. Following the meadows and riverbanks, abandoned infrastructure and football pitches, Najade documents the magic of these overgrown spaces and the people who seek refuge there.

Book design by Friederike Huber.

This book is carbon neutral. This is the first edition.

ISBN: 978-1-914314-26-1";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/Hackney_Marshes-Cover_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-02_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-05_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-08_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-13_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-25_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-04_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-31_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-32_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-38_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-39_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/products/Hackney_Marshes-spreads-43_1024x1024.jpg?v=1701156529|https://www.hoxtonminipress.com/cdn/shop/files/AfterLondon_Cover_Mockup_v2_280x@2x.jpg?v=1763460711|https://www.hoxtonminipress.com/cdn/shop/files/Flower_Cover_Mockup_v2_280x@2x.jpg?v=1757584959|https://www.hoxtonminipress.com/cdn/shop/files/Cat_Cover_Mockup_v2_280x@2x.jpg?v=1756198302|https://www.hoxtonminipress.com/cdn/shop/files/EverydayWonder_Cover_Mockup_v3_280x@2x.jpg?v=1741687472;available;https://www.hoxtonminipress.com/products/pre-order-hackney-marshes
Along the Hackney Canal;Freya Najade;FALSE;"96pp hardcover, quarter-bound, gold foiled, 199 x 139 mm
Book 11 from the series 'East London Photo Stories'

‘Along the Hackney Canal’ by Freya Najade.

This book is also available to buy as a Collector's Edition here.

Freya Najade's photographs take us on a slow journey along the waterways of East London; from the Regent's Canal to the River Lea, discovering unexpected beauty and wilderness in the heart of the city.

Freya Najade is a German photographer living and working in East London. In 2009 she graduated in Photojournalism and Documentary Photography from London College of Communication and now works on personal long-term projects and commissions. Her work has been shown in The Guardian, The British Journal of Photography, The Times and Die Zeit amongst other places. This is her second book.

This is the first edition.

ISBN: 978-1-910566-11-4";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/products/HACKNEYCANAL_COVER_sold-out_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/HACKNEYCANAL_COVER2_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/Along-the-Hackney-Canal--GIF_1024x1024.gif?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/HMP_CANAL_Spreads_1_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/HMP_CANAL_Spreads_2_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/HMP_CANAL_Spreads_3_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/HMP_CANAL_Spreads_4_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/HMP_CANAL_Spreads_5_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/HMP_CANAL_Spreads_6_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/products/HMP_CANAL_Spreads_7_1024x1024.jpg?v=1617122032|https://www.hoxtonminipress.com/cdn/shop/files/Cover_ELPS_280x@2x.jpg?v=1700900556|https://www.hoxtonminipress.com/cdn/shop/files/100-Years_Cover_280x@2x.jpg?v=1701156093|https://www.hoxtonminipress.com/cdn/shop/files/East-London-Up-Close_Cover_280x@2x.jpg?v=1700901521|https://www.hoxtonminipress.com/cdn/shop/files/Cover_The-Crash_280x@2x.jpg?v=1700901426;sold out;https://www.hoxtonminipress.com/products/along-the-hackney-canal
An English Summer;Rosalind Jana;FALSE;"96pp, cloth binding, 285mm x 237mm.
An English summer is a precious thing: often short-lived but all the more tender for it. As the country contended with Brexit and Covid, Chanel Irvine traversed our shores documenting the magic of this fleeting season and the small rituals that many of us clung to in uncertain times.

Chanel Irvine is a documentary photographer based in London whose work celebrates timeless, everyday moments.

Design by Friederike Huber.

ISBN: 978-1-914314-22-3";https://www.hoxtonminipress.com/cdn/shop/t/12/assets/logo.png?v=48313506062050838421609754121;https://www.hoxtonminipress.com/cdn/shop/files/English_summer-front-case_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-1_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-2_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-3_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-4_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-5_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-6_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-7_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-8_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-9_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/products/English_summer-Spreads-10_1024x1024.jpg?v=1700898388|https://www.hoxtonminipress.com/cdn/shop/files/Cover_EEIC_yellow_9a7ada5f-2d60-49ec-ab0e-41947dfb6c47_280x@2x.jpg?v=1700898614|https://www.hoxtonminipress.com/cdn/shop/products/Pubs-Cover_cf5e5246-5e67-43fe-b3f9-d676b1231e15_280x@2x.jpg?v=1669681127|https://www.hoxtonminipress.com/cdn/shop/files/Joseph_Cover_280x@2x.jpg?v=1738764399|https://www.hoxtonminipress.com/cdn/shop/files/Botanical_Case_280x@2x.jpg?v=1700903030;available;https://www.hoxtonminipress.com/products/an-english-summer
