title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Espace Rituel,Henry Roy,true,"A limited edition print released to coincide with the publication of The Land of Haunted Forests by Henry Roy.

Taken in Casamance, the southernmost region of Senegal, this work draws attention on the animist tradition of the Joola people, who surround themselves with sacred woods and worship the spirits of nature.

Print details – 50 × 40cm – Archival photographic print on Hahnemühle Baryta 325gsm – Edition of seven – Certificate of Authenticity – For framed option please email us directly",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/c67517d0-3203-43c8-9084-7b5adbfd4edc/Henry_Print_d.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/2415c3d5-7559-4dfd-935d-29c084d3e3a3/Henry_framed+Print_01.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/webltheta39zgenjng3j898d9mjy2m-fl564-rsbzx-g87fs-7w7p4
The Land of Haunted Forests,Henry Roy,true,"We are delighted announce the publication of our final title of 2025, The Land of Haunted Forests by Henry Roy. This is our second title that we have published with Henry. The first being Mirage published back in 2014.

Known for its tropical luxuriance, the majesty of its tall trees, and its rebellious spirit, Casamance, the southernmost region Senegal, is a source of fascination.

In this body of work, Henry turns his attention on the animist tradition of the Joola people, who surround themselves with sacred woods and worship the spirits of nature. The adventure is a journey of initiation. Wandering through the region’s forests, channels, and villages, avid for discovery, Henry sought to unravel its mysteries.

The book is an edition of 200 and comes with a tipped in signed print.

Details: – 145mm × 200mm – 100 pages – Foiled hardcover, swiss bound – First edition of 200 – With signed print, hand numbered",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/2bdbae6a-117b-489e-ae67-cdb30d98a404/HR_Cover_01.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/92e22544-5647-4fe5-a03a-e45ed2292870/HR_Spreads_03.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/24e59951-ca30-4867-beff-4c6830f7a7cf/HR_Spreads_04.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/12845876-4a66-49e8-93d6-e42cb40db105/HR_Spreads_05.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/9321a4c0-7cab-48b8-8875-5038bb577e79/HR_Spreads_08.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/48cb19e2-01d3-4918-a7ce-96ad8c5c341d/HR_Spreads_09.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/78a1a6fe-e693-4a16-9356-5b917db0aaa6/HR_Spreads_10.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/121e3498-754f-4678-b395-837a44349f23/HR_Spreads_12.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/27a09cd6-f363-4d2b-9e96-5386d2a22137/HR_Spreads_13.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/daa88558-7b10-4f66-a3a6-34d23cf4e013/HR_Spreads_15.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/93e4bacb-f42d-4f51-b252-171e4cf13b8c/HR_Spreads_16.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/the-land-of-haunted-forests-by-henry-roy
Gathering Light,Sam Laughlin,true,"Gathering Light surveys the uplands of Southern Scotland where Laughlin spent six weeks living off-grid as part of a residency with Borders Forest Trust supported by Connecting Threads and The Southern Uplands Partnership. It is a response to a landscape undergoing a programme of ecological restoration which has seen over two million native trees planted across 31km² by Borders Forest Trust, a charity established to restore native habitats in an area with the lowest percentage of native woodland in mainland Scotland.

This work is a meditation on a specific landscape and on the changes slowly unfolding there at differing physical and temporal scales, linked to the seasons, cycles and processes of nature.

“In an abundance of northern light, soaked up and accumulated by the growing trees, I began to see photography and photosynthesis as analogous to one another. Day by day I watched the sun’s path rise to its midsummer zenith. At night I bathed in the light of ancient summers, released from the embers of a fallen Ash tree. ” – Sam Laughlin

Details – 145mm x 200mm – 104 pages – Foiled hardcover – With signed tipped in print – First edition of 300 – Hand numbered",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/3e89ee0c-64e8-4239-8ea0-4b289d78c861/SL_Cover_00.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/164705a7-23b3-402f-8dfd-b9c12ee1bc1e/SL_Spreads_01.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/3d82226e-68f5-4cfa-aa31-2407396c0d22/SL_Spreads_02.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/72c3252b-61bb-404d-a36a-330c2f65a912/SL_Spreads_03.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/0dce383a-43ef-407b-9f8c-645a1df35249/SL_Spreads_04.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/da6aa9ab-3856-4ca1-97ef-6c92c326a5ef/SL_Spreads_05.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/ad4282e4-3fad-4cb4-b791-1d5b3176780d/SL_Spreads_06.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/29187cdd-2a19-4bb1-993b-21b97d00756d/SL_Spreads_07.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/993cee06-6963-4eec-a048-3ce992da77a9/SL_Spreads_08.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/807953fd-947a-4013-9835-43d09841bb71/SL_Spreads_10.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/58eb9682-6459-41b6-b890-8b2e61a045fe/SL_Spreads_11.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/gathering-light-by-sam-laughlin
I saw the man with a telescope.,Erin O'Keefe,false,"Following on from an exhibition of the same title at Sargent’s Daughters gallery in New York and coinciding with a new exhibition at Seventeen gallery, London, Erin O’Keefe’s new publication I saw the man with a telescope. is a vibrant, almost psychedelic collection of Erin O’Keefes latest works, a much anticipated follow up to Built Work which was published in 2020 by Jane & Jeremy. Erin O’Keefe makes still life photographs that explore the unreliability of spatial perception, highlighting the dynamic nature of visual interpretation. Continuing her process of cutting and painting blocks of wood, O’Keefe explores various arrangements in front of coloured backdrops, resulting in images which are often mistook for abstract paintings. Closer inspection reveals O’Keefes playful use of light and space and the nature of the process – overlapping of the blocks and shadows as well as the rich texture of the roughly painted surfaces. The title of the book, I saw the man with a telescope. alludes to the ambiguity of the images and the impossibility of a single interpretation. The plane of the camera lens flattens and distorts the three dimensional scene it captures, and the viewer is left with confounding images that withhold any certainty, existing in a space of possibility and speculation. Details – 145mm x 200mm – 62 pages – Foiled hardcover and inside cover – With signed tipped in print – First edition of 200 – Hand numbered",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/ee6fef45-d3d0-493f-8396-005019095555/Erin_Cover_00.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/05237dc4-158d-4329-92e7-cf539807a5c7/Erin_Spreads_01.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/90c31cd4-3e5b-4b36-96c1-cd0ea90fd625/Erin_Spreads_02.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/b40a6a34-0086-44c7-a44f-216395c80ea0/Erin_Spreads_03.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/04354e96-3bf8-4783-a746-0a59aed09e76/Erin_Spreads_04.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/54e3d243-8e73-40c4-b6f7-55ad23a1d97d/Erin_Spreads_10.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/f1eb2cf3-9942-41f9-b4ef-4237bee9e4b0/Erin_Spreads_05.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/ef801544-217d-40e6-9d7c-80ac2589a0de/Erin_Spreads_06.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/6d57bcf6-cdfe-415f-b660-d2cd4bede15b/Erin_Spreads_07.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/e1838d6d-bee8-470c-9a2c-b663a854ddc8/Erin_Spreads_09.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/8747472f-5c36-422d-8a6f-c3d78567f0ba/Erin_Spreads_08.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/i-saw-the-man-with-a-telescope-by-erin-okeefe
House of the Stray Dog,Cole Flynn Quirke,false,"'House of the Stray Dog is the latest visual odyssey shot in the two years following his autobiographical study of youth and nostalgia, Even a Maniac Can Learn to Drive (published by Jane & Jeremy) .

Quirke continues to obsessively document his life in a diaristic manner. This time he strings together a series of photographic offerings that weave a visual narrative around the bittersweetness of self-realisation and the solitude of adulthood. A thicket of webs and veils punctuate the work, with creatures dead and alive chaperoning us on our journey into the fray.' – Isobel Robinson.

Throughout the book images are printed full-bleed with collage fragments in between for moments of reflection.

Each book in this first edition of 200 and includes a signed special edition print.

Details – 145mm x 200mm – 98 pages – Foiled hardcover – With dustjacket – With signed print – First edition of 200 – Hand numbered",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/43350e1a-2b13-4a39-a3b7-1ea753743aba/HOTSD_Cover_01.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/9e6d962f-24f9-4ffa-b763-969bfb87baba/HOTSD_Spreads_01.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/fb341b37-1a27-4665-a403-ebdc503c10f8/HOTSD_Spreads_02A.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/37a4b7bf-7d01-4a67-9039-72e77e91940b/HOTSD_Spreads_04A.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/23648f83-de12-47c4-b974-9a72dabb971d/HOTSD_Spreads_06.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/13ff7583-3db7-4f0d-bad5-77495053044b/HOTSD_Spreads_09.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/e21aa52d-479f-4055-8858-129d0da0c6b0/HOTSD_Spreads_10.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/3e0bf4e2-c600-41fa-8d19-9e2094339b27/HOTSD_Spreads_11A.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/36ac94bb-8e2e-40ba-95f7-169da67b6d05/HOTSD_Spreads_12.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/b5e827ba-6c9c-4924-af88-8a66c88e2de9/HOTSD_Spreads_14.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/8c481763-fead-4bcb-b590-5718ca72eed5/HOTSD_Spreads_17.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/90530c1a-64e5-46b2-a31a-22d354a991c1/HOTSD_Spreads_18.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/5b8f1523-a58b-4e44-b2ec-11ca95b91899/HOTSD_Spreads_20.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/5eeacd87-b347-4fab-bec1-acec02861ce4/HOTSD_Spreads_21.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/house-of-the-stray-dog-by-cole-flynn-quirke
Luminous Mind,Daniel Fuller,false,"“By not having a readily identifiable structure, and therefore open to one’s interpretation and imagination, it lets us embark on an unexpected journey—allowing for deeper modes of seeing, feeling and transportation to another state of consciousness.” – Daniel Fuller

Born in Hanalei, Kauai and now residing in Los Angeles, Daniel has spent the last two decades drawing inspiration from his time spent surfing around the globe. The ocean is a recurring theme in Daniels work and this series focuses on water surface and its variety of moods and movements it can convey. The book is divided into two sections made up of blue and red hues which are sequenced to move in and out of calmness and chaos, lightness and darkness.

Details – 145mm x 200mm – Foiled cover – 132 pages – With signed print – First edition of 100 – Hand numbered",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037404098-H6QSB5GBOR81OYDJEVZH/DF_Cover_01.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037413727-2PGHU3EPEHEAEOES4TP2/DF_Spread_02.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037413585-1QTDDOCRYDWQSS5BCHPM/DF_Spread_03.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037413387-K2Z81VZAW38JEXU1K1RK/DF_Spread_04.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037414269-RZ69P40X1T8MKKWYSPZE/DF_Spread_06.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037411007-WVRAICK4VUC7FUO48ZES/DF_Spread_01.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037411027-N9DIMKWHX2INCS4E5OHV/DF_Spread_05.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037411500-DURRN1OL5XTOQ1755SK4/DF_Spread_09.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037412274-050VW1PYRZXI3K5N399T/DF_Spread_07.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/1688037413503-WLUYAL0HBWVV085E21MU/DF_Spread_08.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/luminous-mind-by-daniel-fuller
Birch (Gameshope),Sam Laughlin,true,"A limited edition print series to coincide with the release of Gathering Light by Sam Laughlin. The print can be bought individually or as part of a triptych with ‘Waterfall (Gameshope)’ and ‘Stars (Gameshope)’.

Photographer Sam Laughlin shot these images as part of a residency in Scotland in 2024 where The Borders Forest Trust are restoring the land.

The three images selected for the print edition are all shot in the valley of Gameshope, each focusing on the passage of time manifested in something different: movement of water, wind in the trees and our planets rotation visible in the stars.

Print details – 813mm x 610mm – Photographic print on Hahnemühle Photo Rag – Edition of 10 – Certificate of Authenticity – For framed option please email us directly – Individual prints £650 / Triptych £1600",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/697eb76f-bffb-432d-98c2-9e859f2c1d7e/Sam_Laughlin_01.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/7710fe1a-3454-4123-b243-e497bf1b11a0/sam_cgi.framed_c.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/webltheta39zgenjng3j898d9mjy2m-fl564-rsbzx-g87fs
Waterfall (Gameshope),Sam Laughlin,true,"A limited edition print series to coincide with the release of Gathering Light by Sam Laughlin. The print can be bought individually or as part of a triptych with ‘Birch (Gameshope)’ and ‘Stars (Gameshope)’.

Photographer Sam Laughlin shot these images as part of a residency in Scotland in 2024 where The Borders Forest Trust are restoring the land.

The three images selected for the print edition are all shot in the valley of Gameshope, each focusing on the passage of time manifested in something different: movement of water, wind in the trees and our planets rotation visible in the stars.

Print details – 813mm x 610mm – Photographic print on Hahnemühle Photo Rag – Edition of 10 – Certificate of Authenticity – For framed option please email us directly – Individual prints £650 / Triptych £1600",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/cabcf1cd-1d80-4493-9f0a-147bc49b5d2b/Sam_Laughlin_02.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/7710fe1a-3454-4123-b243-e497bf1b11a0/sam_cgi.framed_c.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/webltheta39zgenjng3j898d9mjy2m-fl564-rsbzx
Stars (Gameshope),Sam Laughlin,true,"A limited edition print series to coincide with the release of Gathering Light by Sam Laughlin. The print can be bought individually or as part of a triptych with ‘Birch (Gameshope)’ and ‘Waterfall (Gameshope)’.

Photographer Sam Laughlin shot these images as part of a residency in Scotland in 2024 where The Borders Forest Trust are restoring the land.

The three images selected for the print edition are all shot in the valley of Gameshope, each focusing on the passage of time manifested in something different: movement of water, wind in the trees and our planets rotation visible in the stars.

Print details – 813mm x 610mm – Photographic print on Hahnemühle Photo Rag – Edition of 10 – Certificate of Authenticity – For framed option please email us directly – Individual prints £650 / Triptych £1600",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/e9cef019-6a68-49a3-9562-8432ea8449a6/Sam_Laughlin_03.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/7710fe1a-3454-4123-b243-e497bf1b11a0/sam_cgi.framed_c.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/webltheta39zgenjng3j898d9mjy2m-fl564-rsbzx-gwcez
Day / Night,Wing Shya,false,"A limited edition print with a choice of images taken from our new title Day / Night by Wing Shya.

Print Details

– 400mm x 410mm – Photographic print on Hahnemühle Fine Art Pearl – Edition of 10 – Certificate of Authenticity – For framed option please email us directly – Full set of 6 £1250",https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/919a8d4b-515f-4c80-b6de-6150b56adc7a/Wing_print3_web_01.jpg,https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/9ed6eedb-a1eb-4934-bbde-0e1a2367e973/Wing_print1_group.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/40a206b0-7f36-4c75-9530-2a24c2ef0100/Wing_print2_web_01.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/4fce7ba4-d8af-466c-97e8-e6e050fc3fc2/Wing_print4_web_01.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/b27fa66a-0b2d-4b47-a502-65544d0b5ee7/Wing_print5_web_01.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/75c78c49-06de-48b6-9d24-cad59c589a3f/Wing_print1_web_01.jpg|https://images.squarespace-cdn.com/content/v1/649c23b8f89cfa33ec50301f/96cc1617-7874-4999-bb04-ecee7766a5ce/Wing_print6_web_01.jpg,available,https://www.jane-jeremy.co.uk/shop3/p/webltheta39zgenjng3j898d9mjy2m-fl564
