title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
PROBABLE CAUSE,Henri Airo,false,"ALCOHOLISM / RECONSTRUCTION / POST-DOCUMENTARY

In January 2012, Henri Airo’s little sister was killed in a hit-and-run by a repeat drunk driver. In that instant, his family’s life was divided into what was before and after.

While the Airo family struggled with the loss, the national media covered the crash and the subsequent police investigation extensively. The police focused on technical details—crash simulations, blood tests—while media narratives reduced the case to a drama between the innocent victim and the malicious perpetrator. The resulting documents and reports examined drunk driving and alcoholism in Finnish society but largely ignored the social circumstances surrounding addiction.

In 2018 Airo came across the original police report. It felt incomplete. Together with primary eye-witnesses and actors, Airo began to re-visualise scenes which had been glossed over in the documents.

Probable Cause draws on media and police archives, re-enactment and Airo’s personal testimony to understand the circumstances of his sister’s death. By restructuring existing narratives, the project reveals multiple personal perspectives embedded within the official record. In reconstructing the perpetrator’s day, speculation and doubt become entry points for reflecting on how addiction is perceived in Finnish society.

Silkscreened hardcover with a dustjacket
196 pages
69 photographs, newspaper clippings, and research material
Offset printing
21 x 27,5 cm

First edition of 500 copies
In English and Finnish
ISBN 978-91-987607-9-8
Designed by Camilla Marrese, Henri Airo and Janne Riikonen 

Pre-order discount: 35€

The book will be launched at Hippolyte in Helsinki on April 8th, 17–19. Pre-orders will be shipped the following week.

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1773061896377-B6LSK7Q4VPFUTL9Q1WWX/henri-airo-probable-cause-00.jpg,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1773061895798-IPGAI2RU9HEZ7MXLMH8X/henri-airo-probable-cause-01.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1773061905585-CE28L69OBUQK0UQQUS52/henri-airo-probable-cause-02.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1773061904229-5EWEJTHIJGU4FKFFEVCT/henri-airo-probable-cause-03.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1773061907213-Z32FGQWSQU0NYY870PG9/henri-airo-probable-cause-04.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1773061908844-W82RS4VP688YB8ON2N47/henri-airo-probable-cause-05.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1773061912494-D96MFSV9PJ6RHXC290OE/henri-airo-probable-cause-06.jpg,available,https://kultbooks.com/books/probable-cause
WELTSCHMERZ,Jens Olof Lasthein,false,"The profound melancholy and weariness that is Weltschmerz,
world–sorrow, sums up our powerlessness in the face of a cruel world.

TENSION / PARALLELS / STREET PORTRAITS

We live in times marked by authoritarianism, violence, and a disregard for human rights. The world feels divided and paralyzed, and this climate of uncertainty takes photographer Jens Olof Lasthein back to another tumultuous time.

In the winter of 1991–92, Lasthein walked up and down Stockholm’s main pedestrian street, Drottninggatan, photographing people. He felt uneasy as his immediate world grew increasingly unsettled. The war in Croatia was clearly about to spread to Bosnia, the true melting pot of the former Yugoslavia. The Soviet Union was dissolving and formally ceased to exist on New Year’s Eve. At the same time, a man who came to be known as the “Laser Man” had begun shooting immigrants in Stockholm.

With his camera’s standard lens and focus fixed at one meter, Lasthein reacts quickly and intuitively—one flash exposure per person as they pass by. Some notice him, but most are so deeply lost in their own thoughts that they do not realize they are being captured on film. Everyone has their own story, their own small world, yet everyone threads their way through the crowd. The individual. The collective. And the shared world, fragmented and diverse though it may be. In the photographs, Lasthein saw reflections of his own unease.

Now, 34 years later, those expressions mirror Lasthein’s state of mind today. Russia’s war of aggression against Ukraine is entering its fifth year with undiminished force. Israel’s government continues to bomb, displace, and starve the Palestinian population. Democratic principles and international law are being abandoned in the United States, while the climate crisis accelerates. Amid all this, individuals move through their own small worlds, carrying their worries alone.

Clothbound hardcover with a tipped in photograph
176 pages
166 photographs
Tritone offset printing
17,5 x 24 cm

First edition of 700 copies
ISBN 978-91-990235-3-3
Designed by Janne Riikonen
February 2026

39€

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1769183983482-2R7G332Q1XL4PNILD1ME/jens-olof-lasthein-weltschmerz-00-cover.jpg,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1769186394997-ZYFLKID9YEKZ22DKYIRP/jens-olof-lasthein-weltschmerz-02.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1769186396213-9ZU34R0QCIPZLL0X7U9L/jens-olof-lasthein-weltschmerz-03.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1769186398392-CEXGKQLYEBV57XP4ENM9/jens-olof-lasthein-weltschmerz-04.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1769186400089-UQ6WK4J7N9X8PBU7YUAM/jens-olof-lasthein-weltschmerz-05.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1769186401321-LFHI8CGWC6181HI2YW22/jens-olof-lasthein-weltschmerz-06.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1769186402902-FE143MNWW1HXUARIRUEN/jens-olof-lasthein-weltschmerz-07.jpg,available,https://kultbooks.com/books/weltschmerz
FILLING IN THE GAPS,Marcus Gustafsson,false,"“What we have gone through has driven us apart from one another and to some extent even from ourselves”

ALCOHOLISM / TRAUMA / PERSONAL

In his debut book Filling in the Gaps , Marcus Gustafsson explores a deeply personal and complex narrative about his father’s alcoholism and its impact on himself and his family. The project reconciles fragmented memories to better understand the circumstances that have shaped his life and relationships, while also serving as an effort toward healing and reconnecting with his fractured family. It confronts the duality of growing up with an alcoholic parent—the struggle to break free while remaining bound by a shared history—and the void left behind when the family’s unifying figure is gone. The work examines how addiction alters family dynamics, leaves lasting marks, and challenges the possibility of moving forward.

In Filling in the Gaps , Marcus combines his own images with archival family photographs. His visual language is raw yet stylized, documenting his father’s daily life and surroundings while also turning the camera toward himself, reflecting the tension between reality and memory. Altered family photos—taped or drawn over—become acts of reclamation, as he infuses inherited memories with his own voice.

Filling in the Gaps is an emotional exploration of trauma, showing how revisiting painful memories can open paths toward reconciliation and peace with the past.

Thread bound hardcover
96 pages
49 photographs
Offset printing
21,5 x 28 cm

First edition of 700 copies
ISBN 978-91-990235-1-9
Designed by Janne Riikonen
November 2025

38 €
(( signed copies for the same price ))

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1759999735673-66EHP7TGZ47HA4DTJUDI/Marcus-Gustafsson-Filling-in-the-gaps-01.jpg,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1759999736973-4UXWMNT95I8JCB5BBY12/Marcus-Gustafsson-Filling-in-the-gaps-02.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1759999737552-MZDOA38HH9TBJHJUKVUS/Marcus-Gustafsson-Filling-in-the-gaps-03.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1759999738432-V4BM148Q1DAB8P0MZRE4/Marcus-Gustafsson-Filling-in-the-gaps-04+copy.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1760000231207-X5YDMJQ1S09MD964EZ56/Marcus-Gustafsson-Filling-in-the-gaps-05.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1759999740310-V2IG8DIR0OFD0NQZAP81/Marcus-Gustafsson-Filling-in-the-gaps-06+copy.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1759999741061-WRDXJQ954X3QRXWDYTE6/Marcus-Gustafsson-Filling-in-the-gaps-07+copy.jpg,available,https://kultbooks.com/books/filling-in-the-gaps
PANTS ON TOP OF SHOES,Ivan Anisimov,false,"ALIENATION / CONNECTION / CONCEPTUAL

In 2022, photographer Ivan Anisimov left Russia and spent the next two years in Tbilisi, the capital of Georgia. There, he encountered the quiet weight of displacement — the sense of estrangement, of living under the gaze of others shaped by history and politics. Like many migrants, he navigated not only a new city but also the unseen boundaries of perception and belonging, where every encounter carried echoes of conflict and the search for home.

Ivan started to wander the streets of Tbilisi, taking in the city’s corners and faces. Movement became his way of thinking, wandering his state of mind. What caught his attention were the local men — their shoes and trousers, the textures, folds, and forms, and the way their slightly too long pants draped over their shoes. Through the fleeting photographs of passersby’s feet, Pants on Top of Shoes becomes a meditation on modern alienation — people adrift in the flow of life, half-asleep, half-aware, caught in a quiet hypnosis of movement and solitude.

OTA bound paperback
176 pages
99 photographs
Text by Ivan Anisimov and Boris Klyushnikov 
Offset printing
15,5 x 21,5 cm

First edition of 400 copies
ISBN 978-91-990235-0-2
Designed by Janne Riikonen
November 2025

25 €

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1762329526987-LHJ9G1ECEXCNEYSREMP4/ivan-anisimov-pants-on-top-of-shoes-kult-books-01.jpg,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1762329526814-YU3E7PQ8MVEU2MW5LQ9U/ivan-anisimov-pants-on-top-of-shoes-kult-books-02.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1762329528770-MZHF2UT0D8YQJ6TS2RJQ/ivan-anisimov-pants-on-top-of-shoes-kult-books-03.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1762329529024-9AODBT5VBH4GXQO7VMMS/ivan-anisimov-pants-on-top-of-shoes-kult-books-04.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1762329530232-E6ME8XIQZJD8YJB5UG7D/ivan-anisimov-pants-on-top-of-shoes-kult-books-05.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1762329532308-3W9Z3THVOT4RT8UJUL23/ivan-anisimov-pants-on-top-of-shoes-kult-books-06.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1762329533302-83XB8WEXK9K1T68H28EX/ivan-anisimov-pants-on-top-of-shoes-kult-books-07.jpg,available,https://kultbooks.com/books/pants-on-top-of-shoes
LUOGHI,Nicola Buonomo,false,"TOPOGRAPHIC / PERSONAL / BLACK AND WHITE

In his debut monograph, Luoghi , Nicola Buonomo deepens his engagement with nine familiar places. Ranging from his grandmother's backyard to a sand production facility nearby, these are all within a few kilometers of Nicola’s home in Northern Sicily, Italy. The photographs display a subtly dissonant relationship between man-made infrastructure and the natural world.

Nicola first defined a clear perimeter for each area, outside of which he could not photograph. In creating these limitations, he ambitiously sought to exhaust most of the possibilities of his gaze within them- prompting a repetitive style of shooting. Sometimes photographing a single subject many times, Nicola forced himself to find new relationships with what he already knew well. In this attempt to enrich his relationship with the familiar, Nicola’s process became synonymous with the final work.

“Luogo 2 is the vegetable garden located in the backyard of my house. Photographing what I thought I knew was a good opportunity to break down prejudices. The medium, my camera, has helped me in this, giving me back new perspectives on what I have every day in front of my gaze. From this place I was attracted by the many basic geometric elements: the lines, the squares and the X's that are formed mostly by the wooden structures in the garden.”

-Nicola Buonomo

Hardcover with a tipped in photograph 
160 pages
82 photographs and strips of film
Duotone offset printing
17 x 22,5 cm

First edition of 600 copies
ISBN 978-91-987607-8-1
Designed by Janne Riikonen

38€

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748250474706-NDLVR4NXXSPM3D79NMK8/luoghi-00-cover.jpg,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748250475440-4ZKEAGW7S1FPU2C3B99I/luoghi-01.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748250476296-3JOZLXEQIXRVVC1FY1ED/luoghi-02.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748250477249-08YAKC2EY7AOGKAGDE2Z/luoghi-03.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748250478174-7K1E7SEYSCEHBOTA7173/luoghi-04.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748250478813-MGCLUKJCX2REFCF53VL5/luoghi-05.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748250479583-K3Y4B6RT40H1RDLHZY47/luoghi-06.jpg,available,https://kultbooks.com/books/luoghi
ANTRO,Andrea Simonato,false,"CAVES / PRIMAL / BLACK AND WHITE

Delving beneath the surface of everyday life, Andrea Simonato explores a world of underground caves and stone quarries in his second monograph, Antro. Historically prompting a wide array of interpretations -such as sacred boundaries between the human and divine, practical places of refuge or dwellings of the supernatural- caves have attracted countless cultures due to their distinctly ambiguous qualities. Today, these underground structures offer a stark contrast to the precisely defined nature of our above-ground surroundings. The entanglement of corridors and caverns seemingly strip themselves of worldly notions and, in their presence, ask us to do the same. Wandering through a cluster in the hills of South Vicenza, Italy, Andrea delicately approaches both the intricacies and magnitude of these spaces.

“During the time of the pandemic, I made a habit of climbing the paths leading to the caves and abandoned quarries in the hills near my home. I couldn't say exactly what drove me to go all the way back there each time, perhaps it was just a way of distancing myself from what was happening. There was a calmness and a sense of stability in those places that somehow contrasted the uncertainty and emotional chaos of those months. Entering them and surrendering to their silence and shadows was like stepping into another world and leaving everything else behind, at least for a while.”

OTA bound softcover with flaps
112 pages
73 photographs
Tritone offset printing
23 x 29,5 cm

First edition of 500 copies
ISBN 978-91-987606-3-7
Designed by Janne Riikonen
June 2025

39 €

In media:

F-Stop Magazine

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1745651319206-8N5CYG0K99J1KM4VJZ4E/Antro-Andrea-Simonato-Kult-Books-00-new.jpg,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1744996229349-VQC6KJAROH747K0YLY01/Antro-Andrea-Simonato-Kult-Books-01.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1744995225965-FD5PMCOJUJHXAXU1VOJ9/Antro-Andrea-Simonato-Kult-Books-02.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1744995225478-4Y6LIUXKRHVYES3XRZPD/Antro-Andrea-Simonato-Kult-Books-03.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1744995227670-OYWNCC07V6PQYCEX1AP9/Antro-Andrea-Simonato-Kult-Books-04.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1744996231144-L4NOXNSU3XI9N3AZ00QA/Antro-Andrea-Simonato-Kult-Books-05.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1744996232245-SD99RTXDX9RBGP888VCP/Antro-Andrea-Simonato-Kult-Books-06.jpg,available,https://kultbooks.com/books/antro
ARE WE THERE,Jenni Toivonen,false,"UTOPIA / NOSTALGIA / LYRICAL

In 1929, Jenni Toivonen’s great-grandparents left everything behind and relocated their family to Brazil. They were part of a group of Finns, led by pastor and gardener Toivo Uuskallio, who hoped to separate themselves from capitalist society and live in harmony with nature. They settled on land surrounded by the Atlantic Forest in the state of Rio de Janeiro, where they founded the community of Penedo. Penedo went on to become one of the most well-known examples of Finnish utopian migration, a movement of similar instances occurring from the late 1800’s to the early 1900’s. Many memories from this time in Jenni’s family are preserved through her grandaunt’s writings, photographs, Brazilian music and stories- which continue to circulate and evolve through generations.

Prompted by the nostalgic but vivid world her grandaunt had depicted, Jenni set out to experience it herself. She longed to plunge into the clear mountain rivers and feel a deep, radiant connection with the forest. In revisiting the location her grandparents had inhabited, she strove to experience a shimmer of the utopia Uuskallio spoke of a century ago.

""The search for truth and the constant application of what is discovered, through love, is the only reasonable way of being. Through this, knowledge transforms into an experiential understanding of life, which unites people and gives each individual a unique, personalized existence based on free will. In the light of facts, the works of God prove to be the only rightful ones in the economy of nature, while human efforts reveal themselves as erroneous schemes in various forms, opposing the unwavering laws of nature and causing destruction and misfortune. Explore, explore! Experience and live the truth!""

A letter written by Toivo Uuskallio in 1949.

Thread bound hardcover
80 pages
49 photographs
Offset printing
21,5 x 26 cm

First edition of 400 copies
ISBN 978-91-987607-7-4
Designed by Jenni Toivonen and Janne Riikonen

35 €

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748509704672-VHP4WI2YJY96XIZIPGYY/are-we-there-00.jpg,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748511440635-6GUMRYGT64CPDR9TCRH1/are-we-there-2-3.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748512183089-MLEOJXDC85IDM9Y1FYTV/are-we-there-4-5.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748512185094-C5MILCCPEN3IUIRCPFNY/are-we-there-16-17.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748518297544-LASIN9F2G4KU6UX2BIJ7/are-we-there-36-37.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748518298774-R17RF74KM59XXXVUY7HX/are-we-there-38-39.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1748512188712-OFAGH14HRKZVTGU9G6DU/are-we-there-50-51.jpg,available,https://kultbooks.com/books/are-we-there
LA SOUFRIÈRE,Kristian Krän,false,"FAMILY / REUNION / PORTRAITURE

La Soufrière captures a poignant reunion between a father and son after 25 years apart. Swedish photographer Kristian Krän travels to the island of Guadeloupe in the Caribbean to meet his father, Arthur — a meeting that turns out to be both their first and their last. Arthur had left the family when Kristian was just two years old. It was only years later that Kristian learned of his father’s existence and his longstanding mental illness.

To meet Arthur and gain understanding, Kristian journeys to Basse-Terre, the capital of Guadeloupe, a quiet town with a shrinking population of around 10,000. Over the course of a week, they explore the island together, visiting places Arthur wants to show Kristian. Communication is difficult, as Kristian’s understanding of Guadeloupean Creole French is limited. Instead, they spend much of their time bonding through music. Kristian’s camera becomes an essential bridge between them, serving as both a means of connection and a source of comfort.

One day, they hiked to the top of the volcano La Grande Soufrière. Arthur, dressed in a blazer and flip-flops, kept vanishing and reappearing in the mist. The volcano, a place where some of their most significant memories were made, inspired the book’s title. The word “soufrière” comes from the French “soufre,” meaning sulfur or to sulfurize—a kind of sulfurous condemnation. Phonetically, it closely resembles “souffrir,” the verb meaning to suffer and endure.

“ you are me and I am you

we are far from each other but close,
forever linked 
inseparable, yet surrounded by a dense fog 
that obscures our view

we don’t see each other
we can’t reach each other
and that’s how it will stay ”

An excerpt from a poem by Jowel Rainey and Kristian Krän written for the book.

Thread bound hardcover
80 pages
40 photographs
Offset printing
22 x 28.5 cm

First edition of 800 copies
ISBN 978-91-987607-4-3
Designed by Janne Riikonen

38€

In media:

American Suburb X

The book has been acquired to the following collections:

Swedish national libraries

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1739797692187-P7IX0PNVMCTX7FNFKEWO/la-soufriere-00-cover-s.png,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1740058681998-WXPZLQ5Z15ZGKKK7FNEF/la-soufriere-01.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1740058683120-834TZ5EHX22798DQL51A/la-soufriere-02.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1740058687024-SANHY1AQ0YFA85QG41GJ/la-soufriere-03.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1740058688389-2L5KUC33GIJII38Q122A/la-soufriere-04.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1740058692630-1LW877KE0YZE4WM1SOM6/la-soufriere-05.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1740058693712-4BSPQDHGEPU8LSIRVERF/la-soufriere-06.png,available,https://kultbooks.com/books/la-soufriere
SEARCHING FOR SIVAGAMI,Hannah Modigh,false,"LOSS / MEMORY / RELATIONSHIP

When Hannah Modigh was three years old, her family moved to India for about four years. While her parents were working, a woman named Sivagami took care of her and her sisters. For a time, Sivagami became part of their family, but without a right to demand anything. She was dependent on the Modighs, just as they were on her. When the Modigh family moved back to Sweden, Sivagami cried. As a child, Hannah thought her tears were because they were leaving, but perhaps they reflected her own uncertain future.

In her work Searching for Sivagami, Hannah Modigh returns to India, trying to find Sivagami after 30 years. This emotional and physical journey led Hannah to trace streets and places through memories and sensory experiences. She sought out women who resemble Sivagami, not so much in appearance but in their struggles, sharing similar backgrounds and lives. Hannah visited places she might have been or passed through, including the area where she used to live and the beaches they visited together. By photographing other women to represent Sivagami and herself, Modigh reflects on the loss she felt and searches for traces of a relationship.

Leporello in printed and foiled hard covers
88 pages
69 photographs
15,5 x 21 cm
Offset printed on both sides of the leporello

700 copies
ISBN 978-91-987607-5-0
Designed by Hannah Modigh and Janne Riikonen
November 2024

39€

The book has been acquired to the following collections:

Library of the Hasselblad Foundation
Swedish national libraries

In media:

PhotoBook Journal

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1738681413628-FRP9H61O16O3VIX8EXHE/Searching-for-Sivagami-Hannah-Modigh-01.jpg,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1738679898393-757KKPBWFNGTWBSFTCVS/Searching-for-Sivagami-Hannah-Modigh-08.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1738680451652-YAUVTZ5FP38T64PRY9J7/Searching-for-Sivagami-Hannah-Modigh-02.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1738680453767-YL6WL0QFLS9T5R2QSVKO/Searching-for-Sivagami-Hannah-Modigh-03.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1738680455829-D2EDEJ8LF5TDZ409AOKX/Searching-for-Sivagami-Hannah-Modigh-04.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1738680472344-Z3AC47X7BM19G405OS31/Searching-for-Sivagami-Hannah-Modigh-06.jpg|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1738680458188-NCVFNLIZZ6X9C7RP6F4F/Searching-for-Sivagami-Hannah-Modigh-05.jpg,available,https://kultbooks.com/books/searching-for-sivagami
REVERSED SURVEILLANCE,Marcel Top,false,"SURVEILLANCE / PROTESTS / FRANCE

The book Reversed Surveillance is a visualization of invasive surveillance technologies, challenging the prospect of automating crime detection during protests in France. The project reflects on the development and legislation of mass surveillance by offering a case study on how individuals can protect themselves using the very tools with which they are surveilled. The project bases on the idea that since it is unlikely to fully revert surveillance and its effects on society, society should explore ways to reverse its impact. In Reversed Surveillance, Marcel Top demonstrates the potential of reversing surveillance dynamics to protect the right to protest: by gaining knowledge of accessible surveillance tools, it is possible to ensure police accountability.

Marcel Top is a visual artist living and working between Belgium and London. His work explores themes of mass surveillance, privacy, and data collection. In his practice, Top blends traditional documentary research with experimental uses of new technologies. He initiated the Reversed Surveillance project following the enactment of new legislation allowing the use of AI-enhanced surveillance in France (Law No. 2023-380), using accessible algorithms and available protest footage to simulate how the use of Algorithmic Video Surveillance (AVS) can impact protesters.

""After witnessing police violence firsthand during the Yellow Vest movement in France, I became aware of the deep-rooted impunity that shields those in power. When the new law for algorithmic surveillance was proposed, I grew increasingly concerned about its potential effects on protesters. This injustice motivated me to create the 'Reversed Surveillance' project, using technology to turn the lens back on law enforcement and foster transparency and accountability where it has long been lacking. By empowering protesters, we can confront unchecked authority, challenge brutality, and reclaim the right to protest in the face of oppression.”

-Marcel Top

OTA bound paperback
Eight different cover variants
288 pages and a separate leaflet
15 x 20 cm
Essay by Carolina Semprucci

500 copies
ISBN 978-91-987607-6-7
Designed by Janne Riikonen
November 2024

25€

In media:

Eidolon Journal

Newsletter",https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1728381083536-7YDDBJ7Y968W0QIYHR3S/reversed-surveillance-00.png,https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1728380108071-OXZGZIBP7T5K42PWA6IT/reversed-surveillance-01.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1728394375325-CZBKIQRXB10SS45QM760/reversed-surveillance-02-3.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1728394374956-FWHVHP7GA320QAOK6LM4/reversed-surveillance-02-2.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1728380114147-VXM65CM29254F83EWFGF/reversed-surveillance-03.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1728380112986-V63CAH8ZELPI750ODQ6C/reversed-surveillance-04.png|https://images.squarespace-cdn.com/content/v1/6419a76c639fe705a36ac27f/1728380117955-GN4Q6G1DJL0Z9FE5DXHH/reversed-surveillance-05.png,available,https://kultbooks.com/books/reversed-surveillance
