title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
ANIMA - ENCOUNTERS WITH WILD ANIMALS IN PORTUGAL;André Príncipe;FALSE;A myth is a story from the time when men and animals had no difference. To live in a shared land with other species with whom we cannot communicate is the most tragic, the most offensive, fault to the human heart and soul. Myths refuse to accept that condition as original. André Príncipe’s Anima – Encounters with wild;https://www.pierrevonkleist.com/cdn/shop/files/anima_cover.jpg?v=1717708779&width=1200;https://www.pierrevonkleist.com/cdn/shop/files/DSC05106_e4ac9387-9ece-4060-a23e-436caafe693e.jpg?v=1717698043&width=1200|https://www.pierrevonkleist.com/cdn/shop/files/DSC05112_8cfd1e6f-59f3-414d-96ce-7ca3df6468aa.jpg?v=1717698044&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/anima-encounters-with-wild-animals-in-portugal
ESTRELA DECADENTE;Nuno Barroso;FALSE;Portugal is burning in ESTRELA DECADENTE, Nuno Barroso´s first photo book.Chasing utopias turned dystopias, escaping dystopias, stumbling in utopias in color, black and white, 35mm, medium and large format between 2010 and 2018 in Portugal.Tagus and Douro vulturesrelations and failed revelationsancestral and contempora;https://www.pierrevonkleist.com/cdn/shop/files/JPC1400_fff1a70e-1322-46eb-95dc-2ab045486004.jpg?v=1747301867&width=1200;https://www.pierrevonkleist.com/cdn/shop/files/JPC1483.jpg?v=1747301867&width=1200|https://www.pierrevonkleist.com/cdn/shop/files/JPC1486.jpg?v=1747301867&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/estrela-decadente-nuno-barroso
CASA DE LAVA - CADERNO;Pedro Costa;FALSE;10 years after the 1st edition, we are very pleased to announce the 2nd edition of the acclaimed scrapbook. During the course of the production preparation for his film 'Casa de Lava' (1994), portuguese filmmaker Pedro Costa compiled what he saw, what he read, his many ideas and images into a scrapbook instead of a scr;https://www.pierrevonkleist.com/cdn/shop/files/lava_cover.jpg?v=1706631392&width=1200;https://www.pierrevonkleist.com/cdn/shop/products/F37FD622-6104-410D-8B7B-568012EA4B17.jpeg?v=1706631392&width=1200|https://www.pierrevonkleist.com/cdn/shop/products/F0704DED-1648-48E8-A916-B82035F7CCEF.jpeg?v=1706631392&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/casa-de-lava-caderno
VITALINA VARELA;CADERNO DE RODAGEM Pedro Costa and others;FALSE;While shooting Vitalina Varela (Portugal, 2019), filmmaker Pedro Costa and the members of his crew collected images of different moments of the production. The photographs were taken in the suburbs of Lisbon and in the island of Santiago, Cape Verde, between 2017 and 2019. Vitalina Varela – Caderno de Rodagem is a visu;https://www.pierrevonkleist.com/cdn/shop/files/varela_cover_b2024745-bbcd-4bae-b7e7-3c04c2ade4dd.jpg?v=1706631324&width=1200;https://www.pierrevonkleist.com/cdn/shop/products/DSC0850.jpg?v=1706631324&width=1200|https://www.pierrevonkleist.com/cdn/shop/products/DSC0855.jpg?v=1706631324&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/vitalina-varela-caderno-de-rodagem-by-pedro-costa
FAMÍLIA AEMINIUM;Pedro Costa and Rui Chafes;FALSE;Família Aeminium is a new book by filmmaker Pedro Costa and sculptor Rui Chafes. A mysterious sequence of photographs done during the exhibition Família conceived by the artists for the Roman Cryptoporticus in the city of Coimbra. The Cryptoporticus, suspended in time, vacant and silent, was once a lively and vibrant f;https://www.pierrevonkleist.com/cdn/shop/files/familia_cover.jpg?v=1706640625&width=1200;https://www.pierrevonkleist.com/cdn/shop/products/81208-24247ea06ff5449d9e7cf3286052750e.jpg?v=1706640625&width=1200|https://www.pierrevonkleist.com/cdn/shop/products/81208-fb04825cb97040698dc65fa8bf30b2e2.jpg?v=1706640625&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/familia-aeminium
PATRÍCIA;José Pedro Cortes;FALSE;Patrícia Mamona is a Portuguese triple jumper and Olympic medalist.In October 2018, I started visiting Patrícia’s training sessions at Centro de Alto Rendimento do Jamor in Lisbon. We had a simple arrangement: I could film or photograph without restrictions as long as she didn’t have to interrupt any of the exercises.;https://www.pierrevonkleist.com/cdn/shop/files/patricia_cover.jpg?v=1706632410&width=1200;https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-42.jpg?v=1759833503&width=1200|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-2_eb926c27-6aa2-46da-afb7-f1c7bbc78ea8.jpg?v=1759833503&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/patricia-br-jose-pedro-cortes
ONE'S OWN ARENA;José Pedro Cortes;FALSE;One's Own Arena is the final moment in Cortes´ sense of place Trilogy, after Things Here and Things Still to Come (2011) and Costa (2013). This time his territory is Toyama, Japan.As the title alludes, Cortes creates an arena of visual relationships, portraying men and women in their own circle of confidence and the ci;https://www.pierrevonkleist.com/cdn/shop/files/ARENA_cover.jpg?v=1706640483&width=1200;https://www.pierrevonkleist.com/cdn/shop/products/81208-0570e726a6974721b8cb5fd5c01c681b.jpg?v=1706640483&width=1200|https://www.pierrevonkleist.com/cdn/shop/products/81208-c3fb1a355e9e41e3926e901b3a99343b.jpg?v=1706640483&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/ones-own-arena
ON SEEING MR. TANG LEAVE TO TSINGHAI;André Príncipe;FALSE;Trapped animals wait disciplined and angry. Their energy and suffering swipes the land, enters human’s soul, maddens people. Life is miserable if you live in an empire. Real estate madness, organised crime. It will end badly. Escape on a taxi. To Manchuria, to Inner Mongolia, to Chengdu, to Tibet. They will be there wa;https://www.pierrevonkleist.com/cdn/shop/files/tang_cover.jpg?v=1706632072&width=1200;https://www.pierrevonkleist.com/cdn/shop/files/DSC01986.jpg?v=1706632072&width=1200|https://www.pierrevonkleist.com/cdn/shop/files/DSC01981.jpg?v=1706632072&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/inner-china-andre-principe
LISBOA CLICHÉ;Daniel Blaufuks;FALSE;MEMORIES AND IMAGES OF LISBON IN THE 80's AND 90's by Daniel Blaufuks;https://www.pierrevonkleist.com/cdn/shop/files/cliche_cover.jpg?v=1706636643&width=1200;https://www.pierrevonkleist.com/cdn/shop/products/DSF7633_16.jpg?v=1706636643&width=1200|https://www.pierrevonkleist.com/cdn/shop/products/DSF7633_7jpg.jpg?v=1706636643&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/lisboa-cliche
GUINÉ-BISSAU 1990;António Júlio Duarte;FALSE;In February 1990, I was invited to photograph Guinea-Bissau ́s urban music scene. The project was quickly abandoned for lack of funding.In Bissau, I photographed the hospital, the slaughterhouse, the streets. Outside the cities, the fanado initiation rites. In the Bijagós Islands, the beach, the local fishing community;https://www.pierrevonkleist.com/cdn/shop/files/guine_cover.jpg?v=1706632521&width=1200;https://www.pierrevonkleist.com/cdn/shop/files/GB007.jpg?v=1706632521&width=1200|https://www.pierrevonkleist.com/cdn/shop/files/GB002.jpg?v=1706632521&width=1200;available;https://www.pierrevonkleist.com//collections/books/products/guine-1990-by-antonio-julio-duarte
