title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
MANA,André Príncipe,false,"Mana is one of the fundamental ideas of the Polynesian worldview, a sacred force of supernatural origin. To have Mana means to have influence, authority, the ability to act upon a situation. The quality of Mana is not limited to individuals. People, governments, places, animals, and inanimate objects can also possess M",https://www.pierrevonkleist.com/cdn/shop/files/capa_94b7a60b-8626-4d48-a3cf-a9159546e294.jpg?v=1771524467,https://www.pierrevonkleist.com/cdn/shop/files/foto9.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto7.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto13.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto5.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto4.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto10.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto12.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto6.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto2.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto8.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto3.jpg?v=1771530126|https://www.pierrevonkleist.com/cdn/shop/files/foto11.jpg?v=1771530126,available,https://www.pierrevonkleist.com//collections/books/products/mana-br-andre-principe
DRAGON BLUE,Keiko Nomura,false,"Dragon BlueSoftcover with flaps, 21x29cm, 32 pages400 copiesPierre von Kleist editions 2026 Special edition with print here'Dragon Blue' is the 3rd and final book of Keiko Nomura's trilogy. After 'Drop of Light to Rushing Water' and 'Okinawa', the Japanese photographer continues to delve into the world of water and wom",https://www.pierrevonkleist.com/cdn/shop/files/capa_ab2a0fa5-4dce-49e5-902e-486868e3d439.jpg?v=1769795453,https://www.pierrevonkleist.com/cdn/shop/files/DSC3039_5.jpg?v=1769795453|https://www.pierrevonkleist.com/cdn/shop/files/DSC3039_1_5993fca5-0069-4713-8a7f-3196a4aa2789.jpg?v=1770140308|https://www.pierrevonkleist.com/cdn/shop/files/DSC3039_8.jpg?v=1770140308|https://www.pierrevonkleist.com/cdn/shop/files/DSC3039_6.jpg?v=1770140308|https://www.pierrevonkleist.com/cdn/shop/files/DSC3039_2_dd8d29c7-a199-4276-8460-670708da4377.jpg?v=1770140308|https://www.pierrevonkleist.com/cdn/shop/files/DSC3039_7.jpg?v=1770140308|https://www.pierrevonkleist.com/cdn/shop/files/DSC3039_4.jpg?v=1770140308|https://www.pierrevonkleist.com/cdn/shop/files/DSC3039.jpg?v=1770140308,available,https://www.pierrevonkleist.com//collections/books/products/i-will-tell-you-a-tale-of-the-bottomless-blue-by-keiko-nomura
Ocean Rain by José Pedro Cortes,,false,"Black sand, bodies touched by nature and an earthly volcanic energy.Ocean Rain by José Pedro Cortes gathers images from the archipelagos of Azores, Canary Islands and Cape Verde, taken over the course of the last years. These islands, located off the coast of North Africa and Europe, are part of a region known as Macar",https://www.pierrevonkleist.com/cdn/shop/files/capa_web0_065097ac-bf51-4a9d-b9b1-a1a96ae03c3c.jpg?v=1760460175,https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.27.03.jpg?v=1760478190|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.27.38.jpg?v=1760478190|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.27.53.jpg?v=1760478190|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.28.09.jpg?v=1760478190|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.29.51.jpg?v=1760478190|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.28.37.jpg?v=1760478190|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.28.24.jpg?v=1760478380|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.30.05.jpg?v=1760478380|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-14at22.44.17.png?v=1760478380|https://www.pierrevonkleist.com/cdn/shop/files/Screenshot2025-10-15at11.07.53.jpg?v=1760522979|https://www.pierrevonkleist.com/cdn/shop/files/contra12.jpg?v=1760522979,available,https://www.pierrevonkleist.com//collections/books/products/ocean-rain-by-jose-pedro-cortes
Andarilho Marquês / Antas by André Príncipe,,false,"Andarilho Marquês / Antas é um livro de sonhos que combina texto e imagem. Um livro sobre a cidade do Porto, infância e viajar no tempo.  “Do Marquês, desço a Rua da Constituição para o Lima 5. Um nevoeiro pesado baixou. As ruas estão desertas, e os meus passos fazem eco como num filme.  Faço um esforço para focar as",https://www.pierrevonkleist.com/cdn/shop/files/andarilho01_8a5ac86f-408e-49ba-b126-7e6d599665f4.jpg?v=1760001855,https://www.pierrevonkleist.com/cdn/shop/files/andarilho02.jpg?v=1760001855|https://www.pierrevonkleist.com/cdn/shop/files/andarilho03.jpg?v=1760001855|https://www.pierrevonkleist.com/cdn/shop/files/andarilho08.jpg?v=1760001855|https://www.pierrevonkleist.com/cdn/shop/files/andarilho05.jpg?v=1760001855|https://www.pierrevonkleist.com/cdn/shop/files/andarilho010.jpg?v=1760001855|https://www.pierrevonkleist.com/cdn/shop/files/andarilho07.jpg?v=1760001855|https://www.pierrevonkleist.com/cdn/shop/files/andarilho011.jpg?v=1760001855|https://www.pierrevonkleist.com/cdn/shop/files/andarilho09.jpg?v=1760001855|https://www.pierrevonkleist.com/cdn/shop/files/andarilho06.jpg?v=1760001855,available,https://www.pierrevonkleist.com//collections/books/products/andarilho-marques-antas
ANIMA - ENCOUNTERS WITH WILD ANIMALS IN PORTUGAL,André Príncipe,false,"A myth is a story from the time when men and animals had no difference. To live in a shared land with other species with whom we cannot communicate is the most tragic, the most offensive, fault to the human heart and soul. Myths refuse to accept that condition as original. André Príncipe’s Anima – Encounters with wild",https://www.pierrevonkleist.com/cdn/shop/files/anima_cover.jpg?v=1717708779,https://www.pierrevonkleist.com/cdn/shop/files/DSC05106_e4ac9387-9ece-4060-a23e-436caafe693e.jpg?v=1717698043|https://www.pierrevonkleist.com/cdn/shop/files/DSC05112_8cfd1e6f-59f3-414d-96ce-7ca3df6468aa.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05108_c7666dad-6a32-471b-ab63-0d5ab5b65587.jpg?v=1717698043|https://www.pierrevonkleist.com/cdn/shop/files/DSC05110_f6033c2e-5af3-444e-9776-44c4aea8a7fd.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05111_0ea8296c-0a81-4456-9754-9e8389ed01eb.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05113_72cebf19-af3a-4f8b-b1da-7ad7407d3f54.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05116_9bb65b7e-c4c4-4c36-9223-6095d88ec6c3.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05117_a23e4d86-d374-41e8-937c-ddd55ab07128.jpg?v=1717698043|https://www.pierrevonkleist.com/cdn/shop/files/DSC05118_2e862b90-5c36-464f-b535-307b989dd571.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05119_d33fbe6b-f872-4c97-ac51-dcb93f318604.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05120_b0bf8c8a-149d-4a12-9e91-2d54c2c96eb1.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05121_f277074d-a7e8-4064-bb4f-e1c9d67b5bba.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05122_98442a02-3027-4b3f-93d6-591c15c21a77.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05124.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05125_d868e099-1a69-45dc-83ce-fd5f0f364647.jpg?v=1717698043|https://www.pierrevonkleist.com/cdn/shop/files/DSC05127_07f5ff38-4741-4849-b937-84ab02845643.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05128_20186fcd-20a4-4601-a1b6-2ed0d79fd806.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05130.jpg?v=1717698044|https://www.pierrevonkleist.com/cdn/shop/files/DSC05132_0975acb2-2d84-4c87-8d11-4ec88c98ad17.jpg?v=1717698043|https://www.pierrevonkleist.com/cdn/shop/files/DSC05131_236b6fa3-71e9-4637-83c4-38b88ce682ca.jpg?v=1717698044,available,https://www.pierrevonkleist.com//collections/books/products/anima-encounters-with-wild-animals-in-portugal
ESTRELA DECADENTE,Nuno Barroso,false,"Portugal is burning in ESTRELA DECADENTE, Nuno Barroso´s first photo book.Chasing utopias turned dystopias, escaping dystopias, stumbling in utopias in color, black and white, 35mm, medium and large format between 2010 and 2018 in Portugal.Tagus and Douro vulturesrelations and failed revelationsancestral and contempora",https://www.pierrevonkleist.com/cdn/shop/files/JPC1400_fff1a70e-1322-46eb-95dc-2ab045486004.jpg?v=1747301867,https://www.pierrevonkleist.com/cdn/shop/files/JPC1483.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1486.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1489.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1500_7b412e16-7a30-4085-bacd-fb366ba790a6.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1497.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1512.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1511.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1494.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1509.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1510.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1515.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1492.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1508.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1506.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1507.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1514.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1516.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1504.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1502.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1487.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1517.jpg?v=1747301867|https://www.pierrevonkleist.com/cdn/shop/files/JPC1521.jpg?v=1747301867,available,https://www.pierrevonkleist.com//collections/books/products/estrela-decadente-nuno-barroso
CASA DE LAVA - CADERNO,Pedro Costa,false,"10 years after the 1st edition, we are very pleased to announce the 2nd edition of the acclaimed scrapbook. During the course of the production preparation for his film 'Casa de Lava' (1994), portuguese filmmaker Pedro Costa compiled what he saw, what he read, his many ideas and images into a scrapbook instead of a scr",https://www.pierrevonkleist.com/cdn/shop/files/lava_cover.jpg?v=1706631392,,available,https://www.pierrevonkleist.com//collections/books/products/casa-de-lava-caderno
VITALINA VARELA,CADERNO DE RODAGEM Pedro Costa and others,false,"While shooting Vitalina Varela (Portugal, 2019), filmmaker Pedro Costa and the members of his crew collected images of different moments of the production. The photographs were taken in the suburbs of Lisbon and in the island of Santiago, Cape Verde, between 2017 and 2019. Vitalina Varela – Caderno de Rodagem is a visu",https://www.pierrevonkleist.com/cdn/shop/files/varela_cover_b2024745-bbcd-4bae-b7e7-3c04c2ade4dd.jpg?v=1706631324,,available,https://www.pierrevonkleist.com//collections/books/products/vitalina-varela-caderno-de-rodagem-by-pedro-costa
FAMÍLIA AEMINIUM,Pedro Costa and Rui Chafes,false,"Família Aeminium is a new book by filmmaker Pedro Costa and sculptor Rui Chafes. A mysterious sequence of photographs done during the exhibition Família conceived by the artists for the Roman Cryptoporticus in the city of Coimbra. The Cryptoporticus, suspended in time, vacant and silent, was once a lively and vibrant f",https://www.pierrevonkleist.com/cdn/shop/files/familia_cover.jpg?v=1706640625,,available,https://www.pierrevonkleist.com//collections/books/products/familia-aeminium
PATRÍCIA,José Pedro Cortes,false,"Patrícia Mamona is a Portuguese triple jumper and Olympic medalist.In October 2018, I started visiting Patrícia’s training sessions at Centro de Alto Rendimento do Jamor in Lisbon. We had a simple arrangement: I could film or photograph without restrictions as long as she didn’t have to interrupt any of the exercises.",https://www.pierrevonkleist.com/cdn/shop/files/patricia_cover.jpg?v=1706632410,https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-42.jpg?v=1759833503|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-2_eb926c27-6aa2-46da-afb7-f1c7bbc78ea8.jpg?v=1759833503|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-11_23a8e5bd-1eb6-4089-9d4e-a5e55f8cb05b.jpg?v=1759833503|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-22.jpg?v=1759833503|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-28_698716c2-025b-48ab-ade0-55f13928dffe.jpg?v=1759833503|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-17.jpg?v=1759833503|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-24_f3015e03-cce7-481e-887a-a52d424bbbdc.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-8.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-9.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-49_9ec298e7-a9a9-4246-85ca-44bb4782a5eb.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-30.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-37.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-38_8f99c436-8495-47a9-98af-ac528c2e49b6.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-33_6190c0a8-2157-477b-a77e-07085f85030d.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-26.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-40.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-51.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-19_0eeddedf-1c86-4d6a-b9ae-4c0ff2899d41.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-43.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-47.jpg?v=1759833661|https://www.pierrevonkleist.com/cdn/shop/files/Patricia_book-52_26871f2e-5b7d-4b46-96dd-eecbf26ba6bf.jpg?v=1759833661,available,https://www.pierrevonkleist.com//collections/books/products/patricia-br-jose-pedro-cortes
