title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
SUMER;Óscar Monzón, Arthur Larrue;FALSE;"21,6 x 13,5 cm
Soft cover
204 pages
Photographs by Óscar Monzón (144 p.)
Text by Arthur Larrue (64 p.)
ISBN 978-2-492175-64-0

SUMER is a striking collaboration between photographer Óscar Monzón and writer Arthur Larrue. Bringing image and text together, the book blends a powerful photographic series with a dystopian narrative set in a hyper-connected world-city shaped by highways, flows, and consumer culture. Through the marginal figures of Óscar and Gabrielle, the project explores themes of exclusion, control, and desire. Combining strong visual storytelling with a compelling literary voice, SUMER offers a distinctive and immersive reading experience at the crossroads of photography, fiction, and contemporary social critique.
« By travelling at breakneck speed, moving from one static point to another through a vehicular parenthesis, reality had somehow slipped away for the Sumerians. They could only see it through a window or on a screen. »
Born in 1981 in Málaga, Spain, and based in Madrid, Óscar Monzón is a photographer, video, and sound artist. He studied photography at the Artediez School in Madrid before co-founding the collective BlankPaper. He has published, among others, the book ORDER (RVB Books, 2021). His first book, KARMA (RVB Books, 2013), received the Paris Photo–Aperture Foundation First PhotoBook Award in 2013.
—
Born in Paris in 1984, Arthur Larrue is a French novelist. He taught French literature at Herzen University in Saint Petersburg for four years before being forced to leave Russian Federation territory following the publication of his first novel, Partir en guerre (Allia, 2013), which recounts his clandestine life with the dissident artist group Voïna (« war » in Russian). He translated The Nose by Nikolai Gogol (Allia, 2014) His novels Orlov la nuit (Gallimard, 2019) and La diagonale Alekhine (Gallimard, 2021) are published in seven languages.";https://rvb-books.com/cdn/shop/files/RVB_SUMER21_{width}x.jpg?v=1772795737;https://rvb-books.com/cdn/shop/files/RVB_SUMER4_{width}x.jpg?v=1772795738|https://rvb-books.com/cdn/shop/files/RVB_SUMER6_{width}x.jpg?v=1772795738|https://rvb-books.com/cdn/shop/files/RVB_SUMER7_{width}x.jpg?v=1772795738|https://rvb-books.com/cdn/shop/files/RVB_SUMER8_{width}x.jpg?v=1772795738|https://rvb-books.com/cdn/shop/files/RVB_SUMER9_{width}x.jpg?v=1772795738;available;https://rvb-books.com/products/oscar-monzon-arthur-larrue-sumer
THE SKEPTICS;David De Beyter;FALSE;"21 × 28 cm
Soft cover
184 pages
145 images
ISBN 978-2-492175-54-1

The Skeptics explores UFO counterculture through the lens of contemporary photography and visual archives. Drawing on the phenomenon of the “Canary Islands sightings” and the skeptical practices of scientific ufology, the book examines how images shape, circulate, and transform the collective imagination. Bringing together photographs, stills from 16mm films, and archival documents, it blurs the boundaries between art, science, and popular culture. Essays by Gil Bartholeyns and Michel Poivert positions the project within contemporary debates on visual belief, the making of myths, and documentary practices.";https://rvb-books.com/cdn/shop/files/RVB_THE_SKEPTICS_21_{width}x.jpg?v=1772725728;https://rvb-books.com/cdn/shop/files/RVB_THE_SKEPTICS_1_{width}x.jpg?v=1772725728|https://rvb-books.com/cdn/shop/files/RVB_THE_SKEPTICS_24_{width}x.jpg?v=1772725728|https://rvb-books.com/cdn/shop/files/RVB_THE_SKEPTICS_3_{width}x.jpg?v=1772725728|https://rvb-books.com/cdn/shop/files/RVB_THE_SKEPTICS_25_{width}x.jpg?v=1772725730|https://rvb-books.com/cdn/shop/files/RVB_THE_SKEPTICS_4_{width}x.jpg?v=1772725728;available;https://rvb-books.com/products/david-de-beyter-the-skeptics
COPACABANA PALACE;Ángel Castellanos;FALSE;"16,8 x 24 cm
Hard linen cover
112 pages
Text : Laurie Hurwitz
ISBN 978-2-492175-65-7

Invited by Belmond to photograph the legendary Copacabana Palace in Rio de Janeiro, Venezuelan photographer Ángel Castellanos created a vivid portrait of this iconic hotel, where glamour and myth intertwine. Working in collaboration with Vogue editor Sebastian Cabrices, Castellanos, who has long called Rio home, captured the spirit of the “Copa” through a series of vibrant portraits and luminous scenes that celebrate the city’s exuberant beauty.
Opened in 1923 to mark a century of Brazilian independence, the hotel’s Art Deco architecture by Joseph Gire embodies Rio’s radiant vitality and cosmopolitan allure. A haven for film stars, artists, and royalty, from Mick Jagger to Princess Diana, it remains a symbol of Brazilian joie de vivre. Through Castellanos’s cinematic lens, the Copa becomes a stage where light, colour and movement converge. In his vision, the Copacabana Palace stands as the shimmering heart of Rio’s golden imagination.";https://rvb-books.com/cdn/shop/files/RVB_COPACABANA_13_site_{width}x.jpg?v=1761751034;https://rvb-books.com/cdn/shop/files/RVB_COPACABANA_1_{width}x.jpg?v=1761751123|https://rvb-books.com/cdn/shop/files/RVB_COPACABANA_3_{width}x.jpg?v=1761751123|https://rvb-books.com/cdn/shop/files/RVB_COPACABANA_4_{width}x.jpg?v=1761751123|https://rvb-books.com/cdn/shop/files/RVB_COPACABANA_5_{width}x.jpg?v=1761751123|https://rvb-books.com/cdn/shop/files/RVB_COPACABANA_6_{width}x.jpg?v=1761751123;available;https://rvb-books.com/products/angel-castellanos-copacabana-palace
CASTELLO DI CASOLE;Cecy Young;FALSE;"16,8 x 24 cm
Hard linen cover
112 pages
Text : Laurie Hurwitz
ISBN 978-2-492175-66-4

As the first laureate of the photographic residency initiated by Belmond, Mexican photographer Cecy Young spent two weeks at Castello di Casole, a restored tenth-century castle set within a 3,200-acre estate in the Tuscan countryside. Surrounded by vineyards, olive groves and cypress-lined hills, the property—once the seasonal retreat of Italian film director Luchino Visconti—embodies a timeless blend of history, nature and quiet splendour. Trained as a painter before turning to photography, Young approaches her subjects with a painter’s sensitivity.
Known for her fashion work with Dior Beauty, Chanel and Hermès, and for her editorials in Vogue Japan, Numéro Tokyo and Harper’s Bazaar Latin America, she brings to her images a poetic stillness and an intimate emotional resonance. During her residency, she wandered the estate without a script, guided only by light, texture and fleeting sensation. Her photographs reveal not a story but an atmosphere—a meditation on memory, time and the fragile beauty of the everyday. From shadows falling across an old chair to morning dew on a leaf, her vision captures both grace and impermanence, the delicate tension between reality and imagination. Her approach—intuitive, tender, and attuned to silence—aligns perfectly with Belmond’s As Seen By series, which invites contemporary photographers to move beyond documentary and offer deeply personal interpretations of place.";https://rvb-books.com/cdn/shop/files/RVB_CASTELLO_DI_CASOLE_13_site_{width}x.jpg?v=1761746254;https://rvb-books.com/cdn/shop/files/RVB_CASTELLO_DI_CASOLE_1_{width}x.jpg?v=1761751139|https://rvb-books.com/cdn/shop/files/RVB_CASTELLO_DI_CASOLE_3_{width}x.jpg?v=1761751139|https://rvb-books.com/cdn/shop/files/RVB_CASTELLO_DI_CASOLE_4_{width}x.jpg?v=1761751139|https://rvb-books.com/cdn/shop/files/RVB_CASTELLO_DI_CASOLE_5_{width}x.jpg?v=1761751139|https://rvb-books.com/cdn/shop/files/RVB_CASTELLO_DI_CASOLE_6_{width}x.jpg?v=1761751139;available;https://rvb-books.com/products/cecy-young-catsello-di-casole
LES OISEAUX;Lola Raban, Jean-René Etienne;FALSE;"11x18cm
176 pages
98 photographs
Soft cover
Dust jacket
ISBN 978-2-492175-62-6

When the forest of Notre-Dame caught fire, Lola Raban-Oliva and Jean René Etienne were at home, just two kilometers away. Each had their own camera, their own zoom lens. From their window, it became almost possible to imagine the perspective of birds. It was no longer Notre-Dame burning, nor even a cathedral. Not a fire, but a vast disruption of the aerial space. A thick, blazing, chaotic convective column rose above the heart of Paris. Les oiseaux brings together 97 screenshots taken from the footage they captured that evening.";https://rvb-books.com/cdn/shop/files/RVB_LES_OISEAUX1_{width}x.jpg?v=1757592053;https://rvb-books.com/cdn/shop/files/RVB_LES_OISEAUX4_{width}x.jpg?v=1757592056|https://rvb-books.com/cdn/shop/files/RVB_LES_OISEAUX11_{width}x.jpg?v=1757592053|https://rvb-books.com/cdn/shop/files/RVB_LES_OISEAUX12_{width}x.jpg?v=1757592054|https://rvb-books.com/cdn/shop/files/RVB_LES_OISEAUX13_{width}x.jpg?v=1757592053|https://rvb-books.com/cdn/shop/files/RVB_LES_OISEAUX15_{width}x.jpg?v=1757592054;available;https://rvb-books.com/products/lola-raban-jean-rene-etienne-les-oiseaux
MAN;Erik Kessels, Karel De Mulder;FALSE;"11x16cm
768 pages
378 photographs
Soft cover
Dust jacket
ISBN : 978-2-492175-63-3

A man flanked by an equal number of women on either side when photographed - placed exactly where he seems to prefer: right in the center. Is this manly act a matter of intent, instinct, or pure coincidence? And does this photographic composition belong to the past, or will it endure as long as one man and more women gather for a photograph?";https://rvb-books.com/cdn/shop/files/MAN_BOOKCOVER_002_{width}x.jpg?v=1756977864;https://rvb-books.com/cdn/shop/files/MAN_BOOK_001_{width}x.jpg?v=1756982536|https://rvb-books.com/cdn/shop/files/MAN_BOOK_002_{width}x.jpg?v=1756982536|https://rvb-books.com/cdn/shop/files/MAN_BOOK_005_{width}x.jpg?v=1756982536|https://rvb-books.com/cdn/shop/files/MAN_BOOK_004_{width}x.jpg?v=1756982536|https://rvb-books.com/cdn/shop/files/MAN_BOOK_003_{width}x.jpg?v=1756982536;available;https://rvb-books.com/products/erik-kessels-karl-de-mulder-man
LE CRÉPUSCULE DES LIEUX;Letizia Le Fur;FALSE;"22x31cm
180 pages
94 photographs
Soft cover
Japanese binding
ISBN 978-2-492175-61-9

Le crépuscule des lieux gathers 94 photographs by Letizia Le Fur, taken in abandoned houses and châteaux — disused spaces still marked by traces of human presence, now left to follow their own sense of time. Far from any documentary or illustrative approach, her tightly composed images fragment interiors to reveal subtle, understated details. Lines intersect, patterns overlap. Volumes are flattened by the flash, creating a sense of derealization — a quiet strangeness, further deepened by her carefully developed use of color. The book’s design reinforces this perspective. Using Japanese binding, it presents each photograph in full, preceded and/or followed by a partial glimpse of another image. This layout introduces a particular rhythm, where the images seem to respond to and extend across the pages.";https://rvb-books.com/cdn/shop/files/RVB_CREPUSCULE_00002_{width}x.jpg?v=1756720136;https://rvb-books.com/cdn/shop/files/RVB_CREPUSCULE_00004_{width}x.jpg?v=1756720135|https://rvb-books.com/cdn/shop/files/RVB_CREPUSCULE_00007_{width}x.jpg?v=1756720135|https://rvb-books.com/cdn/shop/files/RVB_CREPUSCULE_00008_{width}x.jpg?v=1756720136|https://rvb-books.com/cdn/shop/files/RVB_CREPUSCULE_00010_{width}x.jpg?v=1756720139|https://rvb-books.com/cdn/shop/files/RVB_CREPUSCULE_00011_{width}x.jpg?v=1756720137;available;https://rvb-books.com/products/letizia-le-fur-le-crepuscule-des-lieux
ARCHITECTURE À EMPORTER;Marion Mailaender;FALSE;"17x24cm
24 pages
Soft cover
Staple-bound
ISBN : 978-2-492175-60-2

With Architecture à Emporter , designer and interior architect Marion Mailaender inaugurates a new collection dedicated to design in all its forms — architecture, objects, fashion — as well as DIY and open-source practices. This first volume explores architecture as a work in progress and celebrates the aesthetics of the unfinished. The project highlights the construction phases that shape space, serving as a reminder that the work is never truly complete. Here, the unfinished becomes an invitation to see architecture not as a fixed object, but as an art form in perpetual motion. By repurposing simple materials — quick to assemble, low-cost, and usually hidden from view — to create functional objects, the artist questions contemporary practices that too often favor demolition over transformation. The light fixtures in this series — made of plasterboard (BA13), galvanized rails, drywall screws, switches, energy-saving spotlights, and a simple box cutter — embody this approach: turning the ordinary into a space for invention, and the building site into a work in progress. The plans for the four proposed models serve as starting points to be reinterpreted. This open, accessible approach invites everyone to imagine new forms and uses — an architecture to go, but above all, to reinvent.";https://rvb-books.com/cdn/shop/files/RVB_ARCHITECTURE_00001_{width}x.jpg?v=1756720600;https://rvb-books.com/cdn/shop/files/RVB_ARCHITECTURE_00003_{width}x.jpg?v=1756720601|https://rvb-books.com/cdn/shop/files/RVB_ARCHITECTURE_00005_{width}x.jpg?v=1756723943|https://rvb-books.com/cdn/shop/files/RVB_ARCHITECTURE_00006_{width}x.jpg?v=1756723943|https://rvb-books.com/cdn/shop/files/RVB_ARCHITECTURE_00007_{width}x.jpg?v=1756723943|https://rvb-books.com/cdn/shop/files/RVB_ARCHITECTURE_00008_{width}x.jpg?v=1756723943;available;https://rvb-books.com/products/marion-mailaender-architecture-a-emporter
PARIS 2024;Nicolas Giraud;FALSE;"24x32cm
24 pages
10 photographs
Hard linen cover
ISBN : 978-2-492175-59-6

Paris 2024 brings together a series of photographs of historic monuments undergoing restoration. Covered with printed tarpaulins — displaying either monumental advertisements or photographic reproductions of the façades themselves — these buildings temporarily vanish beneath a fabricated version of reality. These urban trompe-l’œils form an ephemeral stage set that conceals the city’s construction work and transformations. The photographs play with this ambiguity, between cut stone and polyvinyl sheeting. They recount the history of Paris, from Haussmann’s grand renovations to today’s Grand Paris project, and reveal an urban system in constant flux — exposing, through these images, the invisible mechanisms that shape the city.";https://rvb-books.com/cdn/shop/files/RVB_PARIS_2024_00001_{width}x.jpg?v=1756725515;https://rvb-books.com/cdn/shop/files/RVB_PARIS_2024_00003_{width}x.jpg?v=1756725515|https://rvb-books.com/cdn/shop/files/RVB_PARIS_2024_00005_{width}x.jpg?v=1756725515|https://rvb-books.com/cdn/shop/files/RVB_PARIS_2024_00006_{width}x.jpg?v=1756725515|https://rvb-books.com/cdn/shop/files/RVB_PARIS_2024_00007_{width}x.jpg?v=1756725515|https://rvb-books.com/cdn/shop/files/RVB_PARIS_2024_00008_{width}x.jpg?v=1756725515;available;https://rvb-books.com/products/nicolas-giraud-paris-2024
ANDEAN EXPLORER;Colin Dodgson;FALSE;"16,8 x 24 cm
Hard linen cover
96 pages
Text : Laurie Hurwitz
ISBN 978-2-492175-58-9
Pre order now
Available from June 25

Invited by Belmond to create a photographic book on the Andean Explorer, Colin Dodgson traveled across the Peruvian Andes aboard this luxury train linking Cusco to Arequipa. His vision captures the atmosphere of the journey, from majestic landscapes to everyday details, with iconic stops such as Lake Titicaca, the Colca Canyon, and the La Raya market. Working with film, Dodgson prints his own images, giving them a warm, subtle light and a distinctive palette that often evokes the end of the day. Inspired by painting, he is as drawn to vast landscapes as he is to everyday objects: gnarled potatoes grown at 4,200 meters above sea level, stones, plastic bottles, or a curious collection of items found at a market set up on the railway tracks. Rather than documenting the journey in a conventional way, he seeks to capture its essence and fleeting impressions. His approach, blending intuition and experimentation, aligns perfectly with Belmond’s limited-edition book series, which invites contemporary photographers to move beyond mere representation of places and offer an artistic and singular vision.";https://rvb-books.com/cdn/shop/files/RVB_BELMOND_ANDEAN_EXPLO_00001_fit_{width}x.jpg?v=1747053054;https://rvb-books.com/cdn/shop/files/RVB_BELMOND_ANDEAN_EXPLO_00004_{width}x.jpg?v=1747053054|https://rvb-books.com/cdn/shop/files/RVB_BELMOND_ANDEAN_EXPLO_00005_{width}x.jpg?v=1747053054|https://rvb-books.com/cdn/shop/files/RVB_BELMOND_ANDEAN_EXPLO_00007_{width}x.jpg?v=1747053054|https://rvb-books.com/cdn/shop/files/RVB_BELMOND_ANDEAN_EXPLO_00008_{width}x.jpg?v=1747053054|https://rvb-books.com/cdn/shop/files/RVB_BELMOND_ANDEAN_EXPLO_00010_{width}x.jpg?v=1747053054;available;https://rvb-books.com/products/colin-dodgson-andean-explorer
