title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
Where the Light Came in;Judith Black;FALSE;"The most consequential moments are rarely dramatic. What stays with us, what makes us feel truly seen, is often small, domestic, and endlessly repeated. Judith Black’s photographs, made at home in the early 1980s of her four young children and their stepfather, remind us of this simple truth. 
In 1980, after a divorce, Judith moved her family to Cambridge, Massachusetts, and took a job at the darkroom at MIT. Their home wasn’t grand, but it was theirs, a place to begin again. Not long after settling in, they found a worn old armchair left on the side of the road and gave it a place by the window. It became a spot of rest and quiet theatre, a vantage point from which Judith watched her children grow, day by day, frame by frame. 
This new book gathers every photograph she made of that single chair. What begins as cast-off furniture becomes, through her attentive eye, a kind of threshold: a simple thing that holds a whole world. There is a truth here that is easy to overlook, that by staying close to the ordinary, by returning to the same corner of a room, we might learn to see more clearly. And that the measure of a life is so often found not in grand gestures, but in the worn fabric of a chair, the shifting light, the hush of children growing older under our watch.

Where the Light Came In has been carefully designed to feel like an object of devotion; the kind of object a parent might make at home. Each photograph has been silkscreened with a soft gloss varnish, echoing the sheen of prints lovingly pasted into an album. Handwritten notations run through the pages, intimate and unguarded. The book itself is coverless, its exposed binding sewn and held in place with quiet precision, a gesture of care and vulnerability.
""The chair, a curbside find on garbage day, was covered with a swath of dark brown corduroy to hide its tattered arms and worn cushions. It sat by the entryway door and caught brief moments of early morning light from the dusty living room bay window that looked over the alley separating our apartment from our neighbour."" - Judith Black";https://www.stanleybarker.co.uk/cdn/shop/files/rf.jpg?v=1762516675&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/JB2.jpg?v=1762516675&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/3456wsd.jpg?v=1762516675&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/etrs.jpg?v=1762516874&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/wergwww.jpg?v=1762516874&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/JB4.jpg?v=1762516874&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/wfegw.jpg?v=1762517018&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/wrgbw.jpg?v=1762517018&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/werthgw.jpg?v=1762517018&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/JB1.jpg?v=1762517018&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/jgf.jpg?v=1762517018&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/wrtsxss.jpg?v=1762516958&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/JB6.jpg?v=1762516958&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/wry.jpg?v=1762516958&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/11_7799fb19-0a7b-439e-b6a9-2f867dc4c6b7.jpg?v=1762516874&width=1946;sold-out;https://www.stanleybarker.co.uk/products/where-the-light-came-in
L.A. Polaroids;Robby Müller;FALSE;"In the 1980s, the acclaimed Dutch cinematographer Robby Müller spent months at a time away from home, collaborating with renowned directors such as Alex Cox and Wim Wenders to create some of the decade’s most influential films such as Repo Man, Paris, Texas, Barfly and To Live and Die in L.A..
After long days on set, Müller stayed at the Kensington Motel in Santa Monica, a simple apartment hotel just behind Ocean Boulevard and steps from the beach. He liked its plain comforts: an ironing board folded into the wall, a coffee pot bubbling on the stove, Garfield the hotel cat who kept him company. It felt familiar, not just a place to pass through. 
He always carried his SX-70 Polaroid camera, making tender images when work paused, bringing what William Friedkin called “a foreigner’s eye” to America: noticing details others missed, avoiding clichés, always returning to light and colour as his true subjects. In these Polaroids, Müller frames a Los Angeles that no longer exists: small rooms, edges of the beach, street corners, a city built for cars seen by a cinematographer who preferred to walk. They reveal a man far from home, looking for stillness and light in the spaces in between.
Edited and with an introduction by Andrea Müller-Schirmer; designed by Linda van Deursen and expertly printed in Italy and bound as a uniquely flexible chopped linen soft-back, silk screened in a sun-kissed orange, it carries the warmth of Müller’s Los Angeles. Alongside Müller’s images are texts from his collaborators, including directors Alex Cox and Wim Wenders, and actor Willem Dafoe.
""What impressed me was he would see what no one saw – the origin, the presence, the vibration, the possibility of what was already there..."" - Willem Dafoe  
""He had an eye for the light that the camera, and its film, loved."" - Wim Wenders";https://www.stanleybarker.co.uk/cdn/shop/files/1v2.jpg?v=1762351386&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/rm3.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/ddda_1c928b5c-5cb3-4e60-bcd1-8915d556c5d3.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/6_7dc48027-aef2-412c-b1ae-9216f2e734be.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/rm7_83509856-0f15-4a47-b9c8-e1ffedea497d.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/88_b0a215d7-bf65-486c-bd7f-5aaaeda5933b.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/99_a6a892f2-c2c2-4132-bf7d-5cda8de49c21.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/reth.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/rm9.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/3_494360c9-b1e7-4b7e-98a6-c1a66673ee33.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/fggd_98e6a564-b1a2-4ec3-8ec5-6d3e338704db.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/8_8f2208f4-3d8c-49f5-a54f-605b4c0833c0.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/rm4_da0be923-79c4-4d7c-8fb0-5062518e4776.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/fgssgha.jpg?v=1762351386&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2_f200633a-cdf4-45a1-a6ae-eaa685f79684.jpg?v=1762351386&width=1946;sold-out;https://www.stanleybarker.co.uk/products/la-polaroids
The Ramble, NYC 1969;Arthur Tress;FALSE;"In 1969, Arthur Tress began taking his camera with him on walks through the Ramble, an overgrown corner of Central Park that had become New York’s best-known outdoor meeting place for queer men. Designed as a picturesque woodland in the nineteenth century, by the late 1960s it had grown wild, a hidden, half-forgotten place of chance encounters in the middle of the city.
For a little over a year, Tress returned again and again, recording the everyday choreography of cruising and creating what is now recognised as the earliest known photographic record of outdoor cruising in a natural setting.
His images show the flow of men through the Ramble, some caught from a distance, others posed or gently staged in small scenes. He saw these photographs not just as documentation but as a kind of queer still life, part allegory, part dream.
Long unseen, The Ramble is now considered a vital piece of New York’s queer history, part ethnography, part fantasy. More than fifty years later, it stands alongside a new generation of queer landscape projects that share its quiet focus on how bodies, longing, and hidden places shape each other.
Containing an essay by art historian Jackson Davidow, The Ramble is the first publication of this remarkable archive: an early portrait of a hidden world, a city’s wild corner, and an artist searching for himself among the trees.";https://www.stanleybarker.co.uk/cdn/shop/files/cover.jpg?v=1758793781&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/7_eb657f00-a745-43a9-8ba4-ce95a8e0799c.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2223.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/55_f5a1c71b-a2a1-45b9-a836-511c8e738ef4.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/66_abf0c141-2032-4cbd-be2e-76d4e64a0de7.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/12_15c77122-c4d1-427b-a9a4-fc82a62b7d81.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/10_ef85f2d7-8086-4bbb-bbc3-56e7d0e46df2.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/88.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/dtress_ramble_033.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/444_d3c9432d-95d8-4f89-a92e-c614c52eaaee.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/14_0f56c70d-ac42-42c8-8434-e0ae4c330cc8.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2_5e40c34d-e7ce-4803-9d6a-ccb123e130e0.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/11_47f20326-95eb-4824-a5b3-32ebae23b8d4.jpg?v=1758793781&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/wide_3407b5a8-7e19-4afb-b85e-6afbe946305f.jpg?v=1758793781&width=1946;sold-out;https://www.stanleybarker.co.uk/products/the-ramble-1969
The Blueprints, 1950;Robert Rauschenberg and Susan Weil;FALSE;"In the summer of 1949, Susan Weil introduced her partner Robert Rauschenberg to the process of exposing blueprint paper at her family home in Connecticut. What began as a playful experiment rooted in Weil’s childhood memories soon transformed into a striking series of large-scale works. Together they laid sheets of light-sensitive paper in the sun, arranging objects and human figures to capture fleeting silhouettes and delicate traces of presence preserved in deep blue.
Though the couple would eventually part, Rauschenberg continued to work with cyanotypes throughout his career, even as Weil’s authorship quietly faded from the accepted narrative. The book stands not only as an archive of historically significant works, but as a record of a relationship and creative partnership that unfolded into marriage, parenthood, and, eventually, separation, as their lives and practices diverged.
This new publication brings together the complete collaborative works from this brief but influential period, along with unseen photographs by Wallace Kirkland, who documented their time in New York in images that reflect the erasure women artists so often faced, even within their own stories.
At the heart of the book is a new interview between Susan Weil and writer Lou Stoppard, exploring the long summer on Outer Island and the years the couple spent working side by side as young artists in New York and Paris. Designed as an intimate object, bound in litho-printed linen that carries the quiet resonance of the cyanotype, with a bellyband inspired by the sun-faded paper of the works themselves.
For all women who were abstract artists, you were investigating your complicated thoughts about being an individual and everything. It wasn’t so simple or direct as being a statement, ‘I want my place in the world’, but it was about trying to be at one with your own work and take it seriously and have a sense of force.” - Susan Weil 
“This book directs attention both to the importance of blueprints in the history of photography - particular in terms of innovations by female artists - and also, most importantly, to Susan Weil as a significant and innovative artist. It was she who set her then husband Robert Rauschenberg on a path that would later define his practice, and I am thrilled to have had the chance to tell that story, and to celebrate Weil's knowledge and vision.” -  Lou Stoppard
Shipping world wide now. 
Pages - 80
Size - 30x24cm 
Details - Cloth covered flexibound / Belly band";https://www.stanleybarker.co.uk/cdn/shop/files/cover2.jpg?v=1758809991&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/wr11.jpg?v=1758809991&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/hhh.jpg?v=1758809991&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/kugh.jpg?v=1758810643&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/WR1.jpg?v=1758810643&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/ljwhed.jpg?v=1758810643&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/yes.jpg?v=1758810643&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/e2gtw.jpg?v=1758810643&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/SusanWeilandRobertRauschenbergCyanotypes5.jpg?v=1758810643&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/333_4c42189c-97dd-43c9-bb55-33f1e55146e7.jpg?v=1758812289&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/dddas.jpg?v=1758812289&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/cover34.jpg?v=1758812289&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/cover3.jpg?v=1758810643&width=1946;sold-out;https://www.stanleybarker.co.uk/products/the-blueprints-1950
Place de la République;Thomas Boivin;FALSE;"In the heart of Paris stands Place de la République, a crossroads where lives briefly intersect. For five years, Thomas Boivin photographed the young Parisians who moved through it, capturing the fleeting harmony of the city.
Place de la République has long been a meeting point for the city’s demands and hopes. Since the nineteenth century it has been a stage for protests, strikes, vigils and celebrations — a space where Paris shows itself to itself. Today it remains a symbolic square for assembly and daily life, and a place where young people come to spend time, talk, wait and watch.
Boivin’s photographs form a quiet record of a generation growing up in a city that is always shifting. His camera picks out the small details,  fashion, posture, gesture, that signal how young Parisians shape who they are and how they want to be seen. Together the portraits reflect how youth finds its place in the centre of the city: claiming space, crossing paths, marking out new ideas of identity, gender and belonging in the open air of the square. 
""I began visiting Place de la République in 2018, a vast square in the centre of Paris. On warm, sunlit mornings I would return, drawn to the chance of portraying the people who gathered there.
""As the world seemed to grow more tense with each passing day, I found myself turning to youth, those on the threshold of adulthood. In their presence I glimpsed the shape of the society to come, and through them I discovered a renewed faith in our capacity to endure and to overcome the frailties of our time."" - Thomas Boivin 
Swiss bound using a deep blue fibreboard with a restrained uncoated nameplate, the book has been designed as a timeless portfolio. Each page is reproduced under the artist’s supervision, holding the quiet precision of the original prints.
Published with Les Douches, Supported by CNAP
Shipping worldwide now. 
Pages - 84
Size - 30x24cm
Details - Swiss Bound / Fibre board Cover / Tip on";https://www.stanleybarker.co.uk/cdn/shop/files/1_0673b17c-09fc-46a3-9724-a622ede41e9e.jpg?v=1758276089&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/t9.jpg?v=1761594190&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2_d28741fb-5b02-47b5-8697-49770708d115.jpg?v=1761594190&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/4_91838d01-001c-42e4-b7c4-47d7ddc1cc66.jpg?v=1761594190&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/rr_2150bbc1-d3f1-4256-bcd2-6dc885585bfd.jpg?v=1761594190&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/t10.jpg?v=1761594190&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/44_0c5975e8-0d76-4a5b-a7d7-eabaf74f7e1b.jpg?v=1760535549&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/eee_7ddb5b9c-e959-4df4-859b-c87b649ad8fc.jpg?v=1760535608&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/5_e628abec-ca1c-465c-ba4b-3dfe4bfa338a.jpg?v=1760535974&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/t6_6324c3fc-266d-4e51-bb5d-b00c4eac6d66.jpg?v=1760535974&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2222.jpg?v=1760535974&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/ddd.jpg?v=1760535380&width=1946;sold-out;https://www.stanleybarker.co.uk/products/place-de-la-republique
Tessa Boffin;Ed. Sunil Gupta;FALSE;"“Tessa Boffin” is a landmark monograph celebrating the fearless and theatrical vision a truly uncompromising queer artist.
Tessa Boffin (1960–1993) was a pioneering artist and lesbian activist working between the mid-1980s and early 1990s. Despite a brief career, taking her own life at just 33, Boffin created a deeply complex body of work that explored gender, sex positivity, and the politics of AIDS at a time of fierce cultural resistance.
Through her intricately posed tableaux, Boffin championed lesbian visibility and explored queer identity through fantastical, provocative narratives. Her practice was bold and ground-breaking, carving out space where there was little representation or acknowledgement of queer desire. Deftly weaving historical reference, critical theory and wit, she proposed an alternative lens through which to view desire, history, and power.
This monograph brings together all of the work Boffin’s made in her short career, including Angelic Rebels, The Knight’s Move and Lovers Distance, alongside a selection of commissions and collaborative works, edited and introduced by her long-time friend and collaborator Sunil Gupta.
“If we choose to forget the role transgressive fantasies play in shaping sexual identities, we leave our sense of selves and our imagery wanting. Maybe it is time to remember how we model ourselves on horny daydreams and tattered photographs.” — Tessa Boffin
Shipping worldwide now.
Size - 30x20Pageas - 104Details - Hard Back / Leather bound with 4 ribbons / tip on";https://www.stanleybarker.co.uk/cdn/shop/files/1_c89719b5-c0d8-48db-b43e-9eae9647055e.jpg?v=1756471473&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/TB_TheKnight_sMove.jpg?v=1756471473&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/3t.jpg?v=1756471473&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/43t.jpg?v=1758888458&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2t.jpg?v=1758888458&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/TBAngelicRebels_Untitled_4.jpg?v=1758888458&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/434t.jpg?v=1758888458&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/434t44.jpg?v=1758888458&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/TBTheKnight_sMove_Untitled_7.jpg?v=1758888458&width=1946;sold-out;https://www.stanleybarker.co.uk/products/tessa-boffin
American Motorcycling Culture;Jack Lueders-Booth;FALSE;"Some obsessions never let you go. For Jack Lueders-Booth, it began when he was nine years old and saw his first motorcycle and fell in love. Now Ninety, riding, racing, repairing, and rebuilding bikes has been his life’s devotion.
His new book, American Motorcycling Culture, delves into his archive from 1980 to 2000. It stands as a record of machines and the people who rode them: bikers in heavy leathers on American-made Indians, fresh-faced kids on their first ride, pro racers pushing themselves and their bikes as far as they would go. Harleys and Beemers, Beezers and Trumpets, Ducs, Hondas, Kawas, Suzukis, Yamahas.
Lueders-Booth is a singular photographer, intent on showing communities as they are, honest, imperfect, unadorned. When he wasn’t on a bike, he was behind a camera or in a classroom, teaching photography in a women’s prison, then later at Harvard, always drawn to the edges of things, to lives rarely shown in full light. These photographs carry that restless hum, the thrill and the risk, the romance and the trouble, the small freedom of choosing the open road over the humdrum.
These photographs show something of what American motorcycling culture had been at the end of the 20th century: road racers, women racers, child racers, vintage racers, enduros, motocrossers, motorcycle blessings, swap meets, street cruisers, good guys and bad guys.
Published - 4th SeptemberSize - 30x24Details - Hard Back / Leather bound";https://www.stanleybarker.co.uk/cdn/shop/files/1_8d68a02f-1430-409c-a458-7afec8a0766f.jpg?v=1756471720&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/JLB9.jpg?v=1756471720&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/7_263d83bb-a632-46b0-909b-7c7610298212.jpg?v=1756471720&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/JLB3.jpg?v=1756471720&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2_99b26917-198a-4a49-ae07-81d34d1e8d39.jpg?v=1756471720&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/6_357590ae-b338-4beb-a682-69745c9cd53d.jpg?v=1756471761&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/JLB1.jpg?v=1756471761&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/5_733d40e4-a616-42c3-9eec-099043219272.jpg?v=1756471720&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/JLB8.jpg?v=1756471720&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/3_358a90fc-5192-4ccd-81f7-4b7acfc8d280.jpg?v=1756471720&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/JLB5.jpg?v=1756471720&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/4_a1d69c51-c7d6-496f-b44c-b6b07a2f18cb.jpg?v=1756471720&width=1946;sold-out;https://www.stanleybarker.co.uk/products/american-motorcycling-culture
Cheryomushki;Nikolay Bakharev;FALSE;"Nikolay Bakharev was born in the late 1940s in Soviet Siberia—a moment when artistic expression was strictly regulated. Orphaned at the age of four, he was placed in state care, where he first encountered photography after stumbling upon a plastic Smena camera.
In 1970, Bakharev was assigned to a job in a steel factory in Novokuznetsk, a Siberian city dominated by heavy industry. Soon after, he began working as a photographer for state-run Household Services, making official portraits in schools, factories, and public institutions.
As the Soviet Union began to unravel in the early 1980s, Bakharev turned to private portraiture. He traveled to near by river and lake beaches, such as Cheryomushk, where workers and families gathered to relax. These beaches were among the few public spaces in the USSR where any form of nudity was tolerated. “Almost any image of a naked body was considered pornography, which was against the law,” he says. Here, he created a deeply human archive of unvarnished Soviet life: intimate, unguarded portraits of people in moments of quite tenderness—parents embracing their children, couples pressed close, friends drinking in the afternoon light.
Bakharev’s camera served as means of connection. “There must be a mutual relationship,” he said. “They need to understand that I am not watching my sitters—it’s as if I’m part of the picture… A picture should not be beautiful, but interesting, then you can find beauty. Beauty is in the human relationships that are formed.”
Bakharev is also the author of Novokuznetsk published by STANLEY/BARKER in 2016, and has previously been nominated for Deutsche Börse photography prize for his 2011 exhibition at the Venice Biennale 
Published — May 2025Pages — 120 Cover — Hardback, Tipped-on ImageSize — 240mm × 270mm";https://www.stanleybarker.co.uk/cdn/shop/files/chey1.jpg?v=1749398352&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/NIKOLAYBAKHAREV_7.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/4_9f914d3e-9f84-4ec4-bfe0-9ebe37c0b2c7.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/NIKOLAYBAKHAREV_2.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/5_85727958-b772-4dd4-b663-4f8acb201cb6.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/NIKOLAYBAKHAREV_6.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/10_8c858d38-9d17-457e-a779-0f317611bd45.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/6_75469937-df00-4562-b0ac-cf6fc934de2b.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/NIKOLAYBAKHAREV_1.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/7_a35fd3a5-9e64-4221-b988-c56cd92a91fe.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/NIKOLAYBAKHAREV_8.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/1_4fe8de63-9a50-409a-8c67-05927104cc5d.jpg?v=1749398352&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/3_35b70585-a097-49fe-8e2f-3f871ad073ad.jpg?v=1749398352&width=1946;sold-out;https://www.stanleybarker.co.uk/products/cheryomushki
Glass Mountain;Michael Lundgren;FALSE;"Michael Lundgren creates photographs that challenge our perception of reality. Drawn to the hallucinatory qualities of the natural world, he ventures deep into the wilder places of the Americas, searching for a hidden presence embedded in the land. 
His new book, Glass Mountain, is an uneasy meditation on transformation and the eerie sentience of the inanimate. These photographs depict places that seem to exist beyond the field of time—where stones hold memory, the earth hums with a silent awareness, and landscapes confront us with their stark, unsettling beauty. 
Through Glass Mountain, Lundgren dismantles the notion of nature as a fixed ideal. Instead, he asks us to see the Earth in a constant state of becoming.
“As humans, we once looked to the sun, the stars, and the moon as maps. We saw the planet as our home, inseparable from our own existence. We told our stories through almanacs, songlines, and paintings on the walls. But many of us now live by a different set of guides. My work is a contemplation of this shift away from an Earth-centered mythology.” — Michael Lundgren 

Published — June 2025 Pages — 120Cover — Chopped boards,  gilded edges, multiple foilsSize — 240mm × 300mm";https://www.stanleybarker.co.uk/cdn/shop/files/glass.jpg?v=1748344332&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/5_61f95bce-7a28-4717-a065-2c4576a512ec.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/4_dc0d9e15-5c44-47ed-8279-f072b661e4fa.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/1000.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/3_0c4932e9-9c0a-41be-91ed-eb1521e32819.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/7_cb1ad2ca-f529-4c38-afb4-e8858ca776b6.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/9_63eee502-376c-4c79-aaeb-7da0d31b6363.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/8_a31b2e88-4a71-4f17-8ce0-09dafb53e412.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2_66694dc4-ebd8-4298-9fdc-9be74a4d27a6.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/3_99bd4723-fdef-4ac9-8c7a-ae82c752c977.jpg?v=1748344332&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2_cc9d8a05-ade1-4c23-bf0b-420d6b8b7e46.jpg?v=1748344332&width=1946;sold-out;https://www.stanleybarker.co.uk/products/glass-mountain
Riverland;Marjolein Martinot;FALSE;"During times of darkness and moments of deep turmoil in her personal life, Dutch photographer and mother of six, Marjolein Martinot, found herself lost, searching for a renewed sense of self. Each evening, she sought solace in nature, walking to a nearby river in the South of France with her camera in hand. There, she captured the quiet beauty of the natural world in the golden light of dusk, forming connections with the animals and families she en- countered at the river’s edges—jumping, splashing, climbing, and swinging from the trees.
 What began as a ritual of aimless wandering and photographing soon became a form of visual journaling—a quiet meditation on healing and transformation. The water, ever-flowing and unpredictable, mirrored her own emotional state, while the families she met, however briefly, embodied the warmth and belonging she longed for.
 Through these intimate, unguarded moments—children mid-leap, ripples catching the last light of day, trees bending towards the water, and horses galloping in the fading glow—Martinot began to piece together a new sense of self. Her photographs, though  deeply personal, transcend autobiography, offering a universal reflection on resilience, connection, and the subtle magical beauty of the everyday.”
Published — July 2025
Size — 260x225mm 
Pages — 104
Cover — Blind stamped / Hard Back";https://www.stanleybarker.co.uk/cdn/shop/files/river_d59dceb5-cce9-45c7-b6c1-8202adccfe69.jpg?v=1769682881&width=1946;https://www.stanleybarker.co.uk/cdn/shop/files/7_5aafdef1-fe29-4920-a917-a0102d6459a7.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/3_32b8ae09-3a4c-4551-95bc-f914f7e0ab01.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/5_9b035f18-cc9a-4521-9c76-79d7760324d7.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/2_bfca7e9d-942f-4068-ba63-fd1c7fcff7f4.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/8_6c190abd-03f0-4287-ad95-2445dc290e63.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/6_2cc84ed3-fe56-4a23-af4b-5cd84d53d0ae.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/37__000012270010.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/4_7e33d5a4-5aab-403f-a765-b7ebe95c9821.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/1_88902d5e-96c4-4f00-948c-f20e2a359bee.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/5_8d65b90a-c8ad-40d8-a337-cca4a8e2e18b.jpg?v=1769682881&width=1946|https://www.stanleybarker.co.uk/cdn/shop/files/7_a43ffdc7-a0ed-4c78-adad-6d8293d51435.jpg?v=1769682881&width=1946;sold-out;https://www.stanleybarker.co.uk/products/riverland
