title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Three Rings,Sam Gulliver,false,,https://subjectivelyobjective.com/wp-content/uploads/2024/12/Three-Ring-Cover-Preorder.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2024/12/Three-Ring-Cover-Preorder.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/12/Three-Rings-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/12/Three-Rings-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/12/Three-Rings-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/12/Three-Rings-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/12/Three-Rings-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/sam-gulliver-three-rings/
Up Here I Am Weightless,James Parker,false,,https://subjectivelyobjective.com/wp-content/uploads/2024/10/Up-Here-I-Am-Weightless-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2024/10/Up-Here-I-Am-Weightless-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/10/Up-Here-I-Am-Weightless-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/10/Up-Here-I-Am-Weightless-Spread-02-Mockup.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/10/Up-Here-I-Am-Weightless-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/10/Up-Here-I-Am-Weightless-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/10/Up-Here-I-Am-Weightless-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/james-parker-up-here-i-am-weightless/
The Grand Scheme,Chris Round,false,,https://subjectivelyobjective.com/wp-content/uploads/2024/02/The-Grand-Scheme-Crowdfunding-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2024/02/The-Grand-Scheme-Crowdfunding-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/02/The-Grand-Scheme-Crowdfunding-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/02/The-Grand-Scheme-Crowdfunding-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/03/The-Grand-Scheme-Crowdfunding-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/02/The-Grand-Scheme-Crowdfunding-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2024/02/The-Grand-Scheme-Crowdfunding-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/chris-round-the-grand-scheme/
Driving Through Flyover Country,Lewis Ableidinger,false,,https://subjectivelyobjective.com/wp-content/uploads/2022/06/Driving-Through-Flyover-Country-Cover-Mockup-1.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2022/06/Driving-Through-Flyover-Country-Cover-Mockup-1.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2022/06/Driving-Through-Flyover-Country-Spread-Mockup-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/08/Driving-Through-Flyover-Country-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/08/Driving-Through-Flyover-Country-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/08/Driving-Through-Flyover-Country-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/08/Driving-Through-Flyover-Country-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/lewis-ableidinger-driving-through-flyover-country/
An American Mile,Kyle McDougall,false,,https://subjectivelyobjective.com/wp-content/uploads/2022/03/An-American-Mile-Cover-Reflection-Mockup.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2022/03/An-American-Mile-Cover-Reflection-Mockup.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2022/06/An-American-Mile-00-Back-Cover-Image-Mockup-New.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2022/06/An-American-Mile-01.png|https://subjectively.wpenginepowered.com/wp-content/uploads/2022/06/An-American-Mile-02.png|https://subjectively.wpenginepowered.com/wp-content/uploads/2022/06/An-American-Mile-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2022/06/An-American-Mile-05.jpg,sold-out,https://subjectivelyobjective.com/product/kyle-mcdougall-an-american-mile/
Investigations In Infrastructure,,false,,https://subjectivelyobjective.com/wp-content/uploads/2021/09/Investigations-In-Infrastructure-Cover-Grey.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Investigations-In-Infrastructure-Cover-Grey.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Investigations-In-Infrastructure-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Investigations-In-Infrastructure-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Investigations-In-Infrastructure-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Investigations-In-Infrastructure-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Investigations-In-Infrastructure-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/investigations-in-infrastructure/
Everything Is Narrative,,false,,https://subjectivelyobjective.com/wp-content/uploads/2021/09/Everything-Is-Narrative-Cover-Grey.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Everything-Is-Narrative-Cover-Grey.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Everything-Is-Narrative-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Everything-Is-Narrative-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Everything-Is-Narrative-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Everything-Is-Narrative-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/09/Everything-Is-Narrative-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/everything-is-narrative/
West Land,Simon Nicoloso,false,,https://subjectivelyobjective.com/wp-content/uploads/2020/02/Simon-Nicoloso-West-Land-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2020/02/Simon-Nicoloso-West-Land-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/12/Simon-Nicoloso-West-Land-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/12/Simon-Nicoloso-West-Land-Spread-44.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/12/Simon-Nicoloso-West-Land-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/12/Simon-Nicoloso-West-Land-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/12/Simon-Nicoloso-West-Land-Spread-04.jpg,sold-out,https://subjectivelyobjective.com/product/simon-nicoloso-west-land/
Your Town Tomorrow,Corine Vermeulen,false,,https://subjectivelyobjective.com/wp-content/uploads/2023/03/Your-Town-Tomorrow-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2023/03/Your-Town-Tomorrow-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/03/Your-Town-Tomorrow-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/03/Your-Town-Tomorrow-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/03/Your-Town-Tomorrow-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/03/Your-Town-Tomorrow-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2023/03/Your-Town-Tomorrow-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/corine-vermeulen-your-town-tomorrow/
Book + Print Set,Observations in the Ordinary,false,,https://subjectivelyobjective.com/wp-content/uploads/2020/06/Observations-in-the-Ordinary-Book-and-Print.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2020/06/Observations-in-the-Ordinary-Book-and-Print.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2020/06/Observations-in-the-Ordinary-Print.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Spread-01-Blue.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Spread-03.jpg,sold-out,https://subjectivelyobjective.com/product/observations-in-the-ordinary-print-2/
