title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
Every Tile is a Flower;Marisa Mu;FALSE;"Every Tile is a Flower (Tall Poppy Press, 2026) is an exploration not just of Marisa Mu's practice as a painter, sculptor and poet, it is also a unique combination of how her work explores feminism, Asian diaspora, personal narratives and cultural history. 

Drawing on work from 2021-2024, with a focus on abstracts, sculpture and studio work, the book draws together a range of installation photographs, documentation of painting, personal diaries, iPhone photographs and family photos in order to showcase the work behind the work, and how Marisa's art practice is strongly rooted in day-to-day love, celebratory experiences, family and joy.

Marisa was awarded the Tall Poppy Press Open Call award in 2024.

Pre-order now, shipping in January.";https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c1f5d8b8d7c581c7f54_cover.jpg;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c275dd8bd568cec9e81_tpp-mv__0000_spread-9.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c275a7f17878e867bf0_tpp-mv__0001_spread-8.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c27b27bf17b8d2be6bd_tpp-mv__0002_spread-7.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c27892687a8dcbeefa9_tpp-mv__0003_spread-6.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c271c8d466005cad50c_tpp-mv__0004_spread-5.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c262af74886e25ec8b8_tpp-mv__0005_spread-4.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c2760b298816235cbcd_tpp-mv__0006_spread-3.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c27ff61d8de2d769dfd_tpp-mv__0007_spread-2.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/69274c26d3fb12172b9789bf_tpp-mv__0008_spread-1.jpg;available;https://www.tallpoppypress.xyz/product/every-tile-is-a-flower
Distant Calls in Fading Light;Christine Ward;FALSE;"Distant Calls in Fading Light is Christine Ward's debut monograph. Weaving together years of her practice across Australia, Norway and the world, the book is structured like a fairy tale - the viewer leaves home, falls into somewhat of a new world. Equally inspiring and intimidating, this is a deliberately moody collection of photographs that aim to showcase the common threads across Christine's work: appreciation of nature, a celebration of the more intense parts of the world, and an asthetic that is as unique as it is compelling.

The book ships January, 2026.";https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/685897f63538fc9ed8f32331_cover.jpg;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68589807023ce2946d2a8704_spread%202.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/691c0c083550af9b576e8894_spread%204.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68589807fb3ea7595e45e9bd_spread%205.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68589806023ce2946d2a86d3_spread%206.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/691c0c08b9709e6a5de76f32_spread%208.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68589807d736fc74bdf98f75_spread%209.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/691c0c08a10e0d7bc592d747_spread%2011.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/691c0c078efbb66d6078d57f_spread%2012.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/685898064000abfb5638d441_spread%2013.jpg;available;https://www.tallpoppypress.xyz/product/2025-07---book---distant-calls-in-fading-light
To Be Developed, To Be Continued;Odette England;FALSE;"To Be Developed, To Be Continued is a book about changing visibility as a tween becomes a teenager, and the ever-changing relationship between mother and daughter, youth and age, who is seen and who is not. Through photographing her daughter/muse, Odette England’s images are both collaborative and playful - with the photographer and her daughter often obscuring what can be seen and how easily it can be seen.

Accompanied by England’s adaptation of text by Season Butler, the work is not trying to bottle the moment or hold onto a fleeting period, but is celebrating the changes in a person and their relationships to others and the world. Change is temporal and inevitable, and for that reason is savoured here. The design of the book mimics this, made all the more precious because it of the softness of construction and paper.

‍";https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dcde0c559dcd1e1a9f4b_OE%20book%20photo-13.jpg;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce64550830e22435d20_OE%20book%20photo-04.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce6d7f86e3ee72c9f4d_OE%20book%20photo-05.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce6e948121e47339b80_OE%20book%20photo-06.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce571acb719fdfad046_OE%20book%20photo-07.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce6aa38bc1dd703b052_OE%20book%20photo-08.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce6e17e9a5ce355baf0_OE%20book%20photo-09.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce63d8ce196277f9809_OE%20book%20photo-10.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce63d8ce196277f981d_OE%20book%20photo-11.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68a6dce6c24e8e687c2d288b_OE%20book%20photo-12.jpg;available;https://www.tallpoppypress.xyz/product/2025--02---book---tbdtbc
We Were Just Little Boys;Tace Stevens;FALSE;"Building on Tace Stevens’ commissioned series, We Were Just Little Boys tells the story of the Survivors of Kinchela Boys Home. This state-run institution was the site of unimaginable trauma and pain, as little boys were ripped from families and communities, imprisoned in a school and had their culture denied.

With written contributions from surviving Uncles, and writing from the CEO of the Kinchela Boys Home Aboriginal Corporation, this book is collaborative, grief-filled and advocates for the need for deep healing.

Tace was the winner of the Tall Poppy Press Open Call in 2024.

This book was made possible with support from Kinchela Boys Home Aboriginal Corporation, Magnum Foundation and the World Monuments Fund.

‍

50% of sale price is paid to the Kinchela Aboriginal Boys Home Corporation.

‍";https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847e511e1b22b8406a0ccfd_DSC_2520.jpg;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847e3d25682717b926ebc28_WWJLB%20Book%20photo-01.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847e3d1061ea0c124b87644_WWJLB%20Book%20photo-02.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847e3d2b7b493a60e135e58_WWJLB%20Book%20photo-03.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847e3d23a1dba4121714e32_WWJLB%20Book%20photo-04.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847e3d73721b07e33821ce8_WWJLB%20Book%20photo-06.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847e3d2a7fd726f4bc9b1a6_WWJLB%20Book%20photo-07.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847e3d22cadc46ffad4811b_WWJLB%20Book%20photo-11.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847efbb07b6c2117a624cb4_DSC_2525.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6847efba3738e069883e1bd8_DSC_2528.jpg;available;https://www.tallpoppypress.xyz/product/we-were-just-little-boys
Milk Teeth;Amy Woodward;FALSE;Milk Teeth (Tall Poppy Press, 2025) is Amy Woodward’s first monograph, exploring the tangle of love and overwhelm that comes with raising small children. When her second child was born, she found herself caught between deep joy and unexpected contradictions—the feeling that something had slipped away, even as something new began to take shape.;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680c884bbc4bdc0ef6f913c0_ReDone%20Rory-24.jpg;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680c885de0913050444503c9_ReDone%20Rory-18.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680c885ddfac05f767c728a9_ReDone%20Rory-19.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680c885deb6216eabf65845a_ReDone%20Rory-20.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680c885db482c67cf5a9dfb0_ReDone%20Rory-21.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680c885d8bb637f136b39609_ReDone%20Rory-22.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680c885d20425b7f0d5a5b07_ReDone%20Rory-23.jpg;available;https://www.tallpoppypress.xyz/product/milk-teeth
99 Names;Ayman Kaake;FALSE;"99 Names is the debut monograph by Ayman Kaake, and pushes against criminalisation of queer people in the Islamic and Arabic world. 

Equally loving and distant, the book plays with symbols, cultural practices and religious iconography of Islam and Arabia, culminating in a book that imagines a world where queer islamic people flourish and engage in their home cultures.";https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b1c37d60bd322216926_New%20Branding%20Photos-96.jpg;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b235ffb2d1c1c819932_New%20Branding%20Photos-87.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b243ff52f29ec9ff5a7_New%20Branding%20Photos-89.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b24c852f718ee9a691c_New%20Branding%20Photos-90.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b24344342ceb9f5ce11_New%20Branding%20Photos-91.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b2337d60bd322216b3c_New%20Branding%20Photos-92.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b24958a26cb935ff5d5_New%20Branding%20Photos-93.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b232628e257da816639_New%20Branding%20Photos-94.jpg|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/68521b2495e1086bad4581e2_New%20Branding%20Photos-95.jpg;available;https://www.tallpoppypress.xyz/product/2024-03-book-99-names
Big Bug;Jake Nemirovsky;FALSE;"Big Bug is a book all about the imprecision of strong memories, the fuzziness of something clear, remembering the taste without being able to taste the memory. This work plays with how visuals can be the starting point for a more expansive recollection: a connection to something the viewer has touched, tasted, heard, smelled or seen.

In this book, Jake Nemirovsky uses the surface of an image to provoke deeper and more hidden perspectives. Free of themes or a singular narrative, this book seeks to trigger memories, recall experiences and serve as photo album for any viewer - tantilisingly close to experiences we each might recall, one step removed from our lived experience and all the more evocative because of that.";https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d956263e41828456e8ae5d_New%20Branding%20Photos-74.avif;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d9562b9a4451a4d533d2ef_New%20Branding%20Photos-73.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d9562b8b05b1143754878f_New%20Branding%20Photos-72.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d9562b9dc072a36a2cfb49_New%20Branding%20Photos-71.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d9562bf95d20f0aa4ae8e2_New%20Branding%20Photos-70.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d9562bd2ceb07deae057e5_New%20Branding%20Photos-69.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d9562bd71f2c86e9834f97_New%20Branding%20Photos-68.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d9562ba71c26096bfc9012_New%20Branding%20Photos-67.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/67d9562bdb1159e0f1a36972_New%20Branding%20Photos-66.avif;available;https://www.tallpoppypress.xyz/product/big-bug
Sunshine;Le Phuong Nguyen;FALSE;The debut monograph from LePhuong Nguyen, Sunshine uses the western Melbourne suburb of the same name as a geographic anchor point to examine the lingering post-war trauma and resettlement in Australia among Vietnamese migrants after the American War.;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d219e44c9bfa831b8f_New%20Branding%20Photos-31.avif;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6809c5ae14e8200c3c56514e_New%20Branding%20Photos-31.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d82a74a9af7c3d4a98_New%20Branding%20Photos-30.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d8eac6a2824f8a3164_New%20Branding%20Photos-22.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d83c00635bca866c48_New%20Branding%20Photos-23.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d9c175fde8d4f06238_New%20Branding%20Photos-24.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d8bfe83cba31c74d1a_New%20Branding%20Photos-25.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d9cdcda50621b86409_New%20Branding%20Photos-26.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d83c00635bca866c60_New%20Branding%20Photos-27.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d8cdcda50621b863a7_New%20Branding%20Photos-28.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680043d8bfe83cba31c74d17_New%20Branding%20Photos-29.avif;sold-out;https://www.tallpoppypress.xyz/product/sunshine
With And For;Rochelle Marie Adam & Sophie Schwartz;FALSE;"With And For (Tall Poppy Press, 2023) is a collaboration between Rochelle Marie Adam and Sophie Schwartz. Drawing on years of their back catalogues, this book was an opportunity to collaborate and make something new from existing photographs. The resulting book very much is more than the sum of its parts.

Equally warm and weird, the photos stray away from just romance, moving to a more nuanced and holistic view. Generous, present and vulnerable – the photographs in this book are about standing next to, not in front of, the people one photographs: something each artist does exceptionally well.

Photographs are left unauthored, deliberately blurring the lines between two artists. A joint effort, the book is really about the similarities in approach of the photographers, and allowing the photographs to lead, not the artist.";https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6800459f90fb84230c71be78_New%20Branding%20Photos-85.avif;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a58ed6cb4d5f30cfb4_New%20Branding%20Photos-84.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a6eac6a2824f8b8726_New%20Branding%20Photos-75.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a63a82336c2b2a51aa_New%20Branding%20Photos-76.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a648aca7e0d3676cbf_New%20Branding%20Photos-77.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a672924c887f6d6f48_New%20Branding%20Photos-78.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a6ef0db8e78d3bbd36_New%20Branding%20Photos-79.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a6306fa120d165fd52_New%20Branding%20Photos-80.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a6fccc3f1a17f31ed1_New%20Branding%20Photos-81.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a6eac6a2824f8b8715_New%20Branding%20Photos-82.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680045a6ffdd227ce1712ad9_New%20Branding%20Photos-83.avif;available;https://www.tallpoppypress.xyz/product/with-and-for
Ambient Pressure;Rebecca Najdowski;FALSE;"Ambient Pressure - by Rebecca Najdowski - draws attention to the ways that photography has literally and conceptually ‘framed’ nature. Drawing on Najdowski’s large archive of images – where negatives and prints are manipulated, cut, burned, folded, obstructed, or physically modified – the photographs are accompanied by text extracts from Tom Comitta’s novel The Nature Book.

In Ambient Pressure, previously straightforward landscape imagery is complicated, added to, erased and, in doing so, Najdowski focuses on photographic conditions that objectify and distance nature from our human experience.";https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/680044938ff1a54761f15982_New%20Branding%20Photos-65.avif;https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6800449b3a82336c2b29a059_New%20Branding%20Photos-64.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6800449ac198eba73fc2a510_New%20Branding%20Photos-58.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6800449b19e44c9bfa83b568_New%20Branding%20Photos-59.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6800449afccc3f1a17f26afb_New%20Branding%20Photos-60.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6800449b26bc9f7147d289fc_New%20Branding%20Photos-61.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6800449bdd1528987f78da38_New%20Branding%20Photos-62.avif|https://cdn.prod.website-files.com/67d8be1147ddbe25b0718ace/6800449becedd5d934a6154e_New%20Branding%20Photos-63.avif;sold-out;https://www.tallpoppypress.xyz/product/ambient-pressure
