title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Not a Cookbook,Robby Reis,false,"Spiral-bound with flaps80 pages8 x 10 in. / 203.2 x 254 mm2025ISBN 978-1-942953-77-7
TBW Books is proud to announce the release of Not a Cookbook, the debut book by Canadian filmmaker and artist Robby Reis.
At first glance, Not a Cookbook appears to be just what its title implies—but beneath the surface lies a layered, collage-style portrait of a restaurant and the family that holds it together. Centered on Resto Palme, a Caribbean restaurant in Montreal run by married duo Lee-Anne Millaire Lafleur and Ralph Alerte, the book offers a deeply personal and provocative exploration of kitchen culture, where food becomes a lens through which to examine family, friendship, labor, and resistance.
A longtime friend of the family, Reis takes an embedded, nonlinear approach to storytelling. Through photographs, texts, and contributions from customers and staff, Not a Cookbook captures not just the daily challenges of running a family business, but also the peripheral stories—of racism, activism, and the emotional labor required to build and protect something shared and sacred.
Despite its name, Not a Cookbook does offer some treasured family recipes—however, when it comes to a few key ingredients that make a certain sauce so special, Alerte leaves us simply with, “sorry blood, I can’t give it away.” The result is a new model for the cookbook: a radical kitchen guide rooted in community, resilience, and love. Less about what’s on the plate, and more about everything that makes the plate possible.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251661.jpg?v=1755893246,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251539.jpg?v=1755893307|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251559.jpg?v=1755890823|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251560.jpg?v=1755890881|https://cdn.shopify.com/s/files/1/1031/7969/files/nac4.gif?v=1756037847|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251565.jpg?v=1755890823|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251544.jpg?v=1755890919,sold-out,https://tbwbooks.com/products/not-a-cookbook-1
"44 Irving Street, 1970–1971",Susan Meiselas,false,"Saddle-stitched softcover with flaps and two tipped-in chromogenic prints66 pages, 46 plates8.5 x 11 in / 215.9 x 279.4 mm2025ISBN 978-1-942953-81-4
TBW Books is proud to announce the publication of 44 Irving Street, 1970–1971 by Susan Meiselas, published in collaboration with Higher Pictures on the occasion of Meiselas’s exhibition of the same name at the gallery. 
In 1970, while a student at the Harvard Graduate School of Education, Susan Meiselas was living in a boarding house at 44 Irving Street in Cambridge, Massachusetts. What began as a class project evolved into a deeply empathetic portrait of community domestic life. Meiselas photographed her neighbors in the building—many of them strangers—inside their rooms, initiating a collaborative exchange by sharing contact sheets and inviting written responses. These reflections appear alongside the photographs, offering insight into how her subjects saw themselves. 
Boarding houses like 44 Irving Street were transitional spaces, yet Meiselas found individuality and self-expression in each room. Her portraits—full of personal detail and visual texture—reveal a rich inner life often hidden in shared housing. The handwritten letters act as a kind of written punctum, a counterpoint to the image that pierces the surface with honesty and introspection. 
This early body of work helped shape Meiselas’s enduring approach to photography as a form of connection and dialogue. “It wasn’t about the formalism of photography,” she notes. “It was about the narrative and the connectivity.” 
44 Irving Street, 1970–1971 marks the first time this complete series has been published in book form. The book includes two tip-ins: a photograph and a contact sheet from the original project.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_7-22-250905.jpg?v=1753905746,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_7-22-250835.jpg?v=1753905505|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_7-22-250908.jpg?v=1753905750|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_7-22-250842.jpg?v=1753905510|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_7-22-250841.jpg?v=1753905509|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_7-22-250847.jpg?v=1753905518|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_7-22-250911.jpg?v=1754421840,sold-out,https://tbwbooks.com/products/44-irving-street-1970-1971
The Marble,David Brandon Geeting,false,"Casebound hardcover with tip-in180 pages, 144 color plates8.5 x 11 in / 215.9 x 279.4 mmForeword by Caroline Polachek2025ISBN 978-1-942953-80-7
TBW Books is pleased to announce the publication of The Marble by artist David Brandon Geeting.
In The Marble, Geeting pushes photography to the edge of absurdity and back again. Working at the intersection of commercial gloss and fashion fantasy, stock image neutrality, and the strangeness of amateur imagemaking, Geeting builds a visual language that is both highly polished and deeply confounding in its narrative. The result is a book as humorous as it is heartfelt—an offering of staged sincerity wrapped in surreal detail.
Geeting’s career began in 2012, shortly after graduating from the School of Visual Arts in 2011. While working at a juice bar, he photographed in his spare time and posted images to Tumblr, where his distinctive approach quickly drew attention and led him into commercial and fashion photography. His art practice would continue to build from these worlds and blur the lines between image distinctions—an approach that carries through into The Marble, where the tension between chaos and control is rendered playful and alive, everyday objects become characters, emotions are suggested through color and texture, and narrative logic gives way to visual rhythm.
At its most intimate, the book flirts with existentialism; at its most extreme, it may be the first photo book to seriously consider the perspective of an ant.
The book opens with a foreword by musician and artist Caroline Polachek, whose own work shares Geeting’s fascination with surface, sensation, and the eroding distinction between fact and fiction that defines the current moment. Ultimately, The Marble asks its viewers: What happens when photography lets go of itself—and its ego? The result is something weirdly and beautifully tender.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251914.jpg?v=1755894635,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251695.jpg?v=1755895501|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251746.jpg?v=1756922793|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251726.jpg?v=1756922972|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251797.jpg?v=1756922988|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251701.jpg?v=1755895494|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_8-251714.jpg?v=1755895788,sold-out,https://tbwbooks.com/products/the-marble
Lost Coast (Second Edition),Curran Hatleberg,false,"Hardbound foil-embossed cloth with tip on100 pages, 47 full color plates8.27 x 9.72 in. / 210 x 247 mm2025ISBN 978-1-942953-75-3
TBW Books is proud to announce the long-awaited reprint of Lost Coast, the debut monograph by Curran Hatleberg. First published in 2016 and out of print for nearly a decade, Lost Coast has become one of the most sought-after titles in contemporary photography—rarely, if ever, seen on the secondary market. This new edition, faithful in every way to the original sequence and edit, features vastly improved production: newly remastered files, elevated print quality, richer color reproduction, and upgraded materials, all executed with the precision and care that have come to define Hatleberg’s work.
In Lost Coast, Hatleberg presents an episodic narrative centered on Eureka, California. The photographs move fluidly between intimate portraits and the surrounding landscape, between moments of shared connection and quiet dislocation. Each image feels like a short story, rich with detail and ambiguity—offering a layered portrait of a place shaped equally by natural grandeur and the slow erosion of economic promise.
The book’s title references the remote stretch of California’s northern coast, but also gestures to a deeper sense of disappearance—of lives lived in the margins, of dreams cast aside, of overlooked beauty. 
Lost Coast marked the beginning of Hatleberg’s acclaimed photographic practice exploring contemporary American life. This reprint reintroduces that start with greater clarity and presence than ever before.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517288.jpg?v=1760647111,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517127.jpg?v=1760647110|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517286.jpg?v=1760647109|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517173.jpg?v=1760647109|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517187.jpg?v=1760647108|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517158.jpg?v=1760647109|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517282.jpg?v=1760647111,sold-out,https://tbwbooks.com/products/lost-coast-1
Posthume,Mark Armijo McKnight,false,"Hardcover with handmade paper housed in a box36 pages, 14 tip-on plates14.25 x 18.75 in. / 362 x 476.25 mmEdition of 750, each signed and numbered2025ISBN 978-1-942953-74-6
TBW Books is pleased to announce the publication of Posthume, a new monograph by Mark Armijo McKnight.
Comprising fourteen photographs—each reproduced as 8 × 10-inch meticulously tri-tone printed, hand-tipped plates—Posthume is a quiet, contemplative body of work. Oversized in format and restrained in scope, the book is both elegy and invocation: a memento mori that gestures towards the old masters, Armijo McKnight’s queer identity, and his Mexican American heritage.
In these images, nude figures traverse or recline within stark landscapes, their faces obscured by skull masks. At once tender and unsettling, the photographs refuse easy interpretation: are these figures alive or dead? At peace or discarded? Their gestures suggest rest, ritual, mourning, and sensuality all at once. The ambiguity is not a riddle to be solved, but a space the artist holds open—for memory, desire, and transformation.
The work draws on the Western art historical tradition of the memento mori while also engaging the iconography and spiritual logic of Día de los Muertos, in which the dead are never fully gone. The skulls, then, are not only symbols of death, but masks of possibility—portals through which the living and the dead, the past and the present, the sacred and the erotic, might meet.
The book is housed in a box made from humble, utilitarian materials. It is wrapped in a custom paper created in collaboration with artisan papermakers in Oaxaca, made from native agave fibers and embedded with dried petals of the cempasúchil flower, traditionally used in Día de los Muertos altars. The gesture is tactile and symbolic: a shroud, an offering, a return to the Earth.
Published in an oversized edition of 750, each copy of Posthume is signed by the artist.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-6-25_JSchaedel17833.jpg?v=1760641081,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-6-25_JSchaedel17835-2.jpg?v=1760650466|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-6-25_JSchaedel17756.jpg?v=1760649853|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-6-25_JSchaedel17766.jpg?v=1760650758|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-6-25_JSchaedel17791.jpg?v=1760643560|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-6-25_JSchaedel17797.jpg?v=1760641133|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-6-25_JSchaedel17824.jpg?v=1760641167,sold-out,https://tbwbooks.com/products/posthume
Swan Moon's Swan Moon,Swan Moon,false,"Casebound hardcover with tipped-in chromogenic print132 pages, 76 plates7.6 x 10.5 in. / 193 x 260 mmAfterword by Chris Kraus2025ISBN 978-1-942953-78-4
Swan Moon's Swan Moon is a diaristic portrait of youth, identity, and performance set against the faded glamour of 1990s Los Angeles. Swan Moon revisits her teenage years as a Korean American growing up in the cultural shadow of Hollywood—where cinema’s myths loomed large and personal history blurred with fantasy.
While alternative youth were raving and Larry Clark’s Kids was defining a generation, Moon and her friends were doing something profoundly divergent: dressing in vintage clothing, staging impromptu, cinematically adjacent environments, and living out an aesthetic that was wildly out of sync with the time. The work feels improvised, playful—shot with flea market props and makeshift lighting which carried with it an amateurish charm. Moon wasn’t imitating Cindy Sherman—she had yet to know that name let alone see the iconic Untitled Film Stills—but she was drawing directly from the language of cinema, attempting to insert herself and her circle within the medium’s canon.
The photographs echo mid-century domesticity—gestures borrowed from the 1950s and ’60s—but subverted through the awareness and often overwrought angst of the 1990s. Sexuality here is present but subdued, expressed with a tenderness that would soon be obliterated by the onset of the Internet's rise. There’s humor, style and an earnest make-believe that is refreshing in light of today’s hyper self-awareness and image saturation.
Designed with a nod to Hollywood's silver screen, Swan Moon’s Swan Moon includes a curated soundtrack and character credits at the book’s conclusion. An afterword by the esteemed writer Chris Kraus brings clarity and context to Moon’s love letter to a nostalgic Los Angeles—her version of the city and its youthful inhabitants that feels both deeply personal and entirely lost to time.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517290.jpg?v=1760646203,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2516974.jpg?v=1760646275|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2516976.jpg?v=1760646275|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517297.jpg?v=1760648388|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2516978.jpg?v=1760646314|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2516981.jpg?v=1760648582|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2516995.jpg?v=1760648524,sold-out,https://tbwbooks.com/products/swan-moons-swan-moon
Blood Green,Curran Hatleberg,false,"Hardbound with edge color64 pages, 35 plates11.5 x 13.5 in. / 292 x 343 mmEdition of 1,000 signed copies2025ISBN 978-1-942953-76-0
TBW Books is pleased to announce Blood Green, a new artist book by Curran Hatleberg, conceived as a coda to the artist’s acclaimed 2022 monograph, River’s Dream. Blood Green offers an alternate vision—less an outtake than a parallel dream, a shadow of the original, expanding on the darker themes of contemporary American life.
Continuing his journey through the American Southeast, Hatleberg travels further downriver and deeper into its swamplands. These new images are dense and disorienting. In thickets and backwaters, animals appear only to vanish, while violence is ever-present in the human need to contain what ultimately cannot be tamed.
This haunting dialogue continues the conversations between nature and civilization, and between beauty and mortality, that Hatleberg adeptly began in River’s Dream. As always, Hatleberg’s frame carries a rare sensitivity, built not from observation alone but from time shared—both with the landscape and with those befriended along the way.
Printed with the same precision, exactitude and dimensions as River’s Dream, Blood Green is limited to 1,000 copies, each signed by the artist. The book is printed in both full color and duotone, offering an intimate reconciliation to Hatleberg’s evolving American portrait.
 
*This title does not qualify for free shipping. 
 **Please note that ONLY US orders are signed.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517204.jpg?v=1760644807,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517223.jpg?v=1760649295|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517213.jpg?v=1760649916|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517226.jpg?v=1760644828|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517225.jpg?v=1760649506|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517239.jpg?v=1760644913|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_9-22-2517278.jpg?v=1760649310,sold-out,https://tbwbooks.com/products/blood-green
Double Player,Peter Tomka,false,"Casebound hardcover112 pages, 50 plates10 x 13 in / 254 x 330 mmEdition of 5002025ISBN 978-1-942953-82-1
TBW Books is proud to present Double Player, an unconventional photographic book form by Peter Tomka that demands to be experienced by two people. This work unfolds and folds back into itself—a Möbius loop of imagery, or perhaps an ouroboros: an endless cycle of visual connections shared in real time between both viewers.
Loosely inspired by the structure of a deck of playing cards, Double Player weaves together five distinct bodies of work—Bachelor Suite (2024), Heatwave Suite (2024), Watering Hole (2023), Three Works (2021), and Paternity Test (2021)—shuffled into a whole that reveals surprising connections and throughlines. The book strikingly opens with the word GAYLORD—in another context, the name of a legendary Los Angeles apartment complex, but here, a directive that sets the tone and calls the viewer to engage immediately with the ensuing images.
The photographs are either created by the artist in a performative manner or appropriated from cinema, television, and pop culture, past and present. The circulation and repetition of motifs invite collaboration and reflection, emphasizing the act of shared viewing as part of the work’s meaning. The book collides ( both literally and metaphorically) at the halfway point, designed to be exactly the same from front to back—revealing no beginning or end, but rather an infinite loop that can be entered from any point.
Double Player is published on the occasion of Peter Tomka’s inclusion in Made in L.A. at the Hammer Museum, and marks the artist’s first monograph.
 

 

 

 

 

 

 

 

 

 

 

 

 
You're sharing this experience with your viewing partner. 
You've reached the middle of this book. 
Now they see what you saw, you saw what they see.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-22-2518660.jpg?v=1761761447,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-22-2518669.jpg?v=1761761454|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-22-2518671_5291356d-473a-4eae-a450-aacc45a33a38.jpg?v=1761762151|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-22-2518668_7af47b21-9779-41ee-9522-0f494093268c.jpg?v=1761762160|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-22-2518675.jpg?v=1761762016|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-22-2518688.jpg?v=1761761864|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_10-22-2518690.jpg?v=1761761480,sold-out,https://tbwbooks.com/products/double-player
Asunder,S. Billie Mandle,false,"Saddle stitched softcover80 pages, 54 color plates10 x 13.25 in / 254 x 337 mm2025ISBN 978-1-942953-79-1
S. Billie Mandle’s Asunder is an immersive and disquieting photographic meditation on attention, contradiction, and the quiet entanglement of beauty and destruction.
Devoid of external text or identifiers, the book arrives almost mute echoing the slow, flickering reveal within.
Three years in the making, Asunder began in the aftermath of the 2020 Glass Fire in Northern California—one in a series of increasingly catastrophic wildfires reshaping the region’s landscape and psyche.
Printed in dark, velvety tones on unbleached, pulpy paper—a tactile reminder of the fragility and material history of trees—the book opens with a glowing orb gradually overtaking the frame across thirteen pages. This visual prologue sets a foreboding, otherworldly tone. A quote from Dante’s Inferno marks the descent: “...the pathway had been lost.”
What follows might resemble a walk through the forest, but it unfolds more like a stumble. Mandle’s images don’t lead the viewer through a landscape—they pause, hesitate, and invite waiting. At first glance, the scenes may appear quiet or familiar, but subtle disruptions surface: scorched trunks, brittle branches, the dense residue of loss. The sequence shifts from light to dark, drawing the viewer into a looping, claustrophobic narrative.
The forest here is both dead and alive. The trees remain, altered but upright. This coexistence of devastation and persistence is at the heart of Asunder—a paradox where beauty and ruin are not opposites, but facets of the same truth. The result is a patient, unsettling portrait of aftermath—where the act of looking becomes an acknowledgment of what endures.",https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_11-22-2520182.jpg?v=1768330278,https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_11-22-2520185.jpg?v=1768330494|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_11-22-2520187.jpg?v=1768330271|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_11-22-2520200.jpg?v=1768330352|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_11-22-2520205.jpg?v=1768330372|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_11-22-2520206.jpg?v=1768330383|https://cdn.shopify.com/s/files/1/1031/7969/files/TBW_11-22-2520209.jpg?v=1768330394,sold-out,https://tbwbooks.com/products/asunder
The Last Things,John Lehr,false,"Casebound hardcover with French fold jacket122 pages, 80 color plates10.5 x 12.6 in. / 267 x 320 mm2024ISBN 978-1-942953-65-4




The Last Things explores the artifacts of an American archeological present. The work in this series depicts vernacular forms of architecture, signage, images, and objects that were hastily made in a rush for attention, or abandoned in place after their usefulness had expired. Lehr posits them as symptomatic symbols of the repetitive cycles of decline, rehabilitation, violence, and mourning that are woven into the fabric of contemporary American life.

These light-drenched photographs vividly describe a nation speaking through the language of capitalism. Words and images repeat and contradict throughout the work, reflecting emphatic pleas and shifting priorities. At other times, language breaks down completely, giving way to pictographic forms that are both primitive and utterly contemporary. Flaking paint morphs into JPEG vinyl printouts and LED displays, blurring the line between commercial speech and individual expression.

Embedded in the work is a belief in the power and absurdity of objects that—like a body—bear the traces of collective experience. In its distilled and emphatic sequencing The Last Things reads as a prose poem and a cryptic cipher about a country at the brink of a tipping point.",https://cdn.shopify.com/s/files/1/1031/7969/files/1-2.jpg?v=1730911932,https://cdn.shopify.com/s/files/1/1031/7969/files/2-2-2.jpg?v=1730911963|https://cdn.shopify.com/s/files/1/1031/7969/files/3-2-2.jpg?v=1730911965|https://cdn.shopify.com/s/files/1/1031/7969/files/4-2-2.jpg?v=1730911967|https://cdn.shopify.com/s/files/1/1031/7969/files/5-2-2.jpg?v=1730911965|https://cdn.shopify.com/s/files/1/1031/7969/files/6-2-2.jpg?v=1730911963|https://cdn.shopify.com/s/files/1/1031/7969/files/7-2-2.jpg?v=1730911965,sold-out,https://tbwbooks.com/products/the-last-things
