title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Sacred Place,Balarama Heller,true,"Shortlisted for Paris Photo–Aperture Photobook Awards
The Smithsonian magazine - The Ten Best Photography Books of 2025
VSCO's Favorite Photobooks of 2025
NY Times In Development: New works at the intersection of art, news and life.
Balarama Heller’s Sacred Place was created in the predawn hours, when the veil between the spiritual and material realms is thinnest. It is a deeply personal yet universally resonant pilgrimage exploring faith, memory, and spiritual transformation. Born into the Hare Krishna movement in America, Balarama Heller grew up within a world of devotion, ritual, and upheaval—moving through communes, countercultures, and moments of both transcendence and disillusionment. Returning to Vrindavan, India, the heart of the religion, Heller, guided by Joseph Campbell’s idea that sacred places reveal “eternity shining through time,” crafts an alchemical tapestry of archetypes both ancient and new. Sacred Place sifts through the magnetism forged by millennia of pilgrims—Heller himself among them—seeking to touch the Infinite glimmering through the present.

Balarama Heller (b. 1979, New York) is a New York City-based transmedium visual artist whose work explores the intersection of spirituality, myth, ritual, and science. Working between abstraction and representational spaces, Heller’s practice reimagines archetypal symbols, creating a visual language of preverbal awareness and photographic sublimation.
After receiving his BFA from the Art Institute of Boston in 2001 and working at Magnum Photos, Heller joined the U.S. Merchant Marines before relocating to Istanbul to document ritual and ascension throughout Eastern Europe and the Middle East. He returned to New York in 2010.
Recent group exhibitions include Illuminations, curated by Dana Karwas at Yale University’s CCAM (2025), and Poetic Record, curated by Deana Lawson and Michael Famighetti at Princeton University (2024).
Pico Iyer is the author of 17 books—translated into 23 languages—on subjects ranging from the Dalai Lama to the Cuban Revolution, from the new global era to the art of stillness. For more than four decades, he has been a regular essayist for Time, The New York Times, The Financial Times, and many other leading publications worldwide. Several of his recent books have been national bestsellers.",https://www.tisbooks.pub/cdn/shop/files/SacredPlace-BalaramaHeller-TISbooks-01-ParisAperture_833cc3ba-09d2-43b4-bb79-5410a88f1fd3.jpg?v=1760627187&width=4375,https://www.tisbooks.pub/cdn/shop/files/SacredPlace-BalaramaHeller-TISbooks-print-edition_2563cc67-663a-4b68-9fb5-13bafc736f8f.jpg?v=1765311564&width=4472|https://www.tisbooks.pub/cdn/shop/files/SacredPlace-BalaramaHeller-TISbooks-04.jpg?v=1765311564&width=3750|https://www.tisbooks.pub/cdn/shop/files/SacredPlace-BalaramaHeller-TISbooks-05.jpg?v=1765311564&width=3750|https://www.tisbooks.pub/cdn/shop/files/SacredPlace-BalaramaHeller-TISbooks-08.jpg?v=1765311564&width=3750|https://www.tisbooks.pub/cdn/shop/files/SacredPlace-BalaramaHeller-TISbooks-07.jpg?v=1765311564&width=3750,available,https://www.tisbooks.pub/products/sacred-place-balarama-heller
COLLIDER,Carl Wooley,true,"When our daughter was a year old, my wife’s work brought us to Geneva, Switzerland for several months. I spent my days looking after our daughter, often taking her on long walks in her stroller through quiet residential streets, along the edges of the lake, and out into the surrounding countryside. We were exploring this place together—it was new for me, and everything was new for her.
Just beyond the city’s edge lies CERN, home of the Large Hadron Collider. I had somehow imagined we’d be able to tour the massive underground facility, which of course was not possible without special clearance. Instead, my daughter and I visited the modest, almost nondescript museum above. Behind a plexiglass case sat what was said to be the first computer used to host the World Wide Web, used by scientists at CERN to collaborate more easily and eventually to share their findings with colleagues around the world.
Sitting in her stroller, my daughter was oblivious to the machine’s significance, just as she was to the miles-long circular tunnel beneath our feet, where particles were being accelerated to tremendous speeds and smashed together to recreate conditions last seen when the universe was less than a trillionth of a second old. Cathedral-sized chambers housed enormous instruments designed to decipher the meaning of those collisions.
As I looked out the window at the quiet countryside, I didn’t know what to make of it all—the strange and wondrous things we humans build, and the silences we break open, to look beyond the limits of our understanding.",https://www.tisbooks.pub/cdn/shop/files/ColliderCover_8b5deb42-4e43-4297-8bde-c39a42a0af00.jpg?v=1759260334&width=3726,https://www.tisbooks.pub/cdn/shop/files/Collider-v5-text-block-updatedcolophon2.jpg?v=1758203929&width=3500|https://www.tisbooks.pub/cdn/shop/files/Collider-v5-text-block-updatedcolophon5_d5370eb4-7f9c-4849-b17f-0022a34fe65d.jpg?v=1758203929&width=3500|https://www.tisbooks.pub/cdn/shop/files/Collider-v5-text-block-updatedcolophon10_4a1a697e-a85d-4754-8a3a-5b679ffe7ebf.jpg?v=1758203929&width=3500|https://www.tisbooks.pub/cdn/shop/files/Collider-v5-text-block-updatedcolophon15_224d4062-c9b8-46ff-8566-38a90e4bd78c.jpg?v=1758203929&width=3500|https://www.tisbooks.pub/cdn/shop/files/Collider-v5-text-block-updatedcolophon16_01b524f2-c691-4e86-94e5-3b54c6c0ff73.jpg?v=1758203929&width=3500,available,https://www.tisbooks.pub/products/collider-carl-wooley
MIKE,Elijah Howe,true,"Press
Lenscratch - Elijah Howe / MIKE
Decibel Magazine - MIKE: Elijah Howe’s Poignant Tribute to His Father, Metal Church Vocalist Mike Howe

Through a mix of family archive photos and Elijah Howe’s own images, MIKE is a son’s reflection on the life of his father, seen through the eyes of those closest to him. From his youth as the lead singer of a heavy metal band to his quieter, middle-aged years as a husband and father, the photographs build a layered portrait of Mike Howe’s identity. Yet, after his death, the narrative unravels into chaos and emptiness, conveying the profound and unsettling impact of loss. MIKE is a poignant look at how we remember and carry those who have passed, revealing how absence can be as powerful as presence.
Elijah Howe is a photographer from Humboldt County, California. He received his BA in photography from Humboldt State University and his MFA from the University of Kentucky. He has recently had solo shows at 2nd Story Gallery and Bolivar Gallery in Lexington, Kentucky and has work in the permanent collection of the Monroe Moosnick Medical and Science Museum at Transylvania University.
Mike Howe (August 21, 1965 – July 26, 2021) was an American heavy metal singer who performed with Metal Church, Heretic, and Snair. After leaving Metal Church, Mike pursued a career in carpentry and was a father to two sons. He rejoined Metal Church in 2015, producing two more albums before his death in 2021.",https://www.tisbooks.pub/cdn/shop/files/MikeCover_27bea752-f953-4c87-ab53-00dc77008a49.jpg?v=1751346444&width=1500,https://www.tisbooks.pub/cdn/shop/files/MIKE_ElijahHowe_TISbooks_spread_02.jpg?v=1751340002&width=4500|https://www.tisbooks.pub/cdn/shop/files/MIKE_ElijahHowe_TISbooks_spread_06.jpg?v=1751340002&width=4500|https://www.tisbooks.pub/cdn/shop/files/MIKE_ElijahHowe_TISbooks_spread_08.jpg?v=1751340002&width=4500|https://www.tisbooks.pub/cdn/shop/files/MIKE_ElijahHowe_TISbooks_spread_10.jpg?v=1751340002&width=4500|https://www.tisbooks.pub/cdn/shop/files/MIKE_ElijahHowe_TISbooks_spread_14.jpg?v=1751340002&width=4500,available,https://www.tisbooks.pub/products/mike-elijah-howe
tell my love now,Sara Aue Sobol,true,"Sara Aue Sobol’s tell my love now weaves together two distinct winter journeys, separated by time and place but mirroring and informed by each other in her experience of them. As Sobol’s husband, Jacob, faced clinical depression, it became a catalyst for Sara to look back on the photographs she had taken in Russia years earlier, from a time when the country was more open. Through that process, she began reflecting on the evolution of her bond with Jacob, viewing the images as a lens through which to embrace both their past and present love story.
These photographs gave Sara a way to try to understand and connect with her husband, who in many ways had disappeared into a distant world. At the same time, it gave her a new perspective on her prior work in Russia, itself an exploration of a country on the cusp of disappearing.
Both journeys--healing from a depression and her travels in Russia--explore a longing for closeness.
Through a combination of text and images, portraits and everyday stories, Sobol’s work explores both outer and inner landscapes and the struggle to keep our minds free in the face of repression, whether personal or collective, and celebrates the complexity of love.",https://www.tisbooks.pub/cdn/shop/files/TIS_4-14-2510269-closeup_9efafb81-e9f4-48f2-9f39-0ccee0350943.jpg?v=1750974500&width=5000,https://www.tisbooks.pub/cdn/shop/files/TIS_4-14-2510259.jpg?v=1750974510&width=5000|https://www.tisbooks.pub/cdn/shop/files/TIS_4-14-2510282.jpg?v=1750974575&width=5000|https://www.tisbooks.pub/cdn/shop/files/TIS_4-14-2510289.jpg?v=1750974575&width=5000|https://www.tisbooks.pub/cdn/shop/files/TIS_4-14-2510291.jpg?v=1750974575&width=5000|https://www.tisbooks.pub/cdn/shop/files/TIS_4-14-2510297.jpg?v=1750974575&width=5000,available,https://www.tisbooks.pub/products/tell-my-love-now-sara-aue-sobol
You've loved me before,Shane Hallinan,true,"Press
You’ve Loved Me Before: Gaia Giani interviews Shane Hallinan

It was very easy before cell phones, the internet and social media to lose track of people, to not know how to reach them, to forget their names, their faces. People could be really important to you but if you lost touch with them they became a footnote, a ""whatever happened to?"" question for someone you ran into. What Shane was doing with her images, then and forever after, was marshaling against forgetting.
By photographing the experience of simply being in someone's life, she bore witness to the day to day memories that create a friendship, a family. The little moments, the big moments, the in-between. And there was so much in between. Hours on the phone, aimless driving to nowhere, endless hanging out in diners, bedrooms, kitchens, anywhere really. Boring and mundane but also beautiful and transformative.
To be seen by her was a gift. Is a gift.
- Ayanna Quint",https://www.tisbooks.pub/cdn/shop/files/20240920_113351-Edit.jpg?v=1727454472&width=4472,https://www.tisbooks.pub/cdn/shop/files/20240920_114728-Edit.jpg?v=1727454472&width=4472|https://www.tisbooks.pub/cdn/shop/files/20240920_114757-Edit.jpg?v=1727454472&width=4472|https://www.tisbooks.pub/cdn/shop/files/20240920_114805-Edit.jpg?v=1727454472&width=4472|https://www.tisbooks.pub/cdn/shop/files/20240920_114813-Edit.jpg?v=1727454472&width=4472|https://www.tisbooks.pub/cdn/shop/files/20240920_114820-Edit.jpg?v=1727454472&width=4472,available,https://www.tisbooks.pub/products/youve-loved-me-before-shane-halllinan
The Crisis Tapes,Charlie Simokaitis,true,"Press
Andrea Modica's Favorite Books of 2024
Cheryl Van Hooven's Favorite Books of 2024
Josef Chladek's Favorite Books of 2024
Tricia Gabriel's Favorite Books of 2024

The Crisis Tapes – the debut monograph of photographer Charlie Simokaitis – is an account of his daughter’s gradual loss of the ability to see, and of her powerful psychological response to an imminent, and presumably diminished, reality. Depression and circular episodes of mental un-wellness pervaded her life for several years, and reverberated within the family, like a reoccurring grieving process. Over time, Simokaitis and his wife found that they had assumed the role of subjective interpreters of the visible world – the descriptions of their surroundings, objects, and phenomena becoming manifestly more exacting and streamlined. While their daughter, retreating from life, sought refuge in a forest of her own making, Simokaitis as photographer drew from the emotionally heightened disorientation, rage and confusion of their everyday life – a life, for his daughter, that was growing narrower by degrees, in which the act of seeing itself was being thoroughly considered.",https://www.tisbooks.pub/cdn/shop/files/20240920_123123-Edit.jpg?v=1727716258&width=4472,https://www.tisbooks.pub/cdn/shop/files/20240920_123302-Edit.jpg?v=1727716258&width=4472|https://www.tisbooks.pub/cdn/shop/files/20240920_123406-Edit.jpg?v=1727716258&width=4472|https://www.tisbooks.pub/cdn/shop/files/20240920_123552-Edit.jpg?v=1727716258&width=4472|https://www.tisbooks.pub/cdn/shop/files/20240920_123645-Edit.jpg?v=1727716258&width=4472|https://www.tisbooks.pub/cdn/shop/files/20240920_123703-Edit.jpg?v=1727716258&width=4472,available,https://www.tisbooks.pub/products/the-crisis-tapes-charlie-simokaitis
Mi'raj,J Carrier,true,"Press
Lucie Photo Book Prize 2024, Independent Category
Andrea Modica's Favorite Books of 2023
Christian Patterson's Favorite Books of 2023
Photobooks of 2023: Tim Carpenter
Photobooks of 2023: Clint Woodside

With Mi’raj (Arabic for “ladder” or “ascension”), his first full length monograph with TIS books, J Carrier builds upon ideas explored in his book Elementary Calculus (MACK, 2012): notions of distance and destination, of hope and providence. He also scrutinizes more recent preoccupations: faith, futility, and the possibility of transcendence. Working over several years, Carrier chose to survey the Old City, East and West Jerusalem, and other areas in the West Bank, engaging directly with the real and tangible artifacts of thousands of years of history and belief. Using an iterative and recursive process, Carrier’s result is a deft photographic landscape woven from the fragments of parallel and divergent realities.
—
Al-Isra’ wal-Mi’raj describes the journey taken by the prophet Muhammad with the angel Gabriel, from the ‘farthest place’ – the site of the modern day Al Aqsa Mosque in the Old City – to Heaven. This site is not only sacred to Muslims, but also to Jews as The Temple Mount, location of the First and Second Temples, and to Christians – where God created Adam from dust, and where Jacob, his head pillowed on stones, dreamt of angels.
The narrative of the prophet Muhammad’s ascension provided a framework for Carrier to explore the universal idea of human aspiration. In looking, we find ourselves at limits – physical, spiritual, existential – reckoning with the materials of the world – facades and stones. “It’s both examination and exhumation,” he says. “Through these concrete objects, the immaterial essence of a land rent between the sacred, the ideological and the actual is revealed.”",https://www.tisbooks.pub/cdn/shop/files/Untitled-1.jpg?v=1702062603&width=3419,https://www.tisbooks.pub/cdn/shop/files/20231115_191805_e2b6feb7-09e9-4aca-87e0-d45614a23e04.jpg?v=1702062603&width=3973|https://www.tisbooks.pub/cdn/shop/files/20231115_203013_50679d35-814b-4db5-bc1c-d0c48dc7d5da.jpg?v=1707335029&width=4472|https://www.tisbooks.pub/cdn/shop/files/Untitled-1-2.jpg?v=1707335029&width=2500|https://www.tisbooks.pub/cdn/shop/files/TIS_Miraj_v2.2-textblock2_9a233000-5ea8-4335-acc3-ef700910ac3c.jpg?v=1707335029&width=4472|https://www.tisbooks.pub/cdn/shop/files/TIS_Miraj_v2.2-textblock12_b56e6d27-85c9-4d47-b36a-2107f10bf35c.jpg?v=1707335029&width=4472,available,https://www.tisbooks.pub/products/miraj-j-carrier
Orange Grove,Clifford Prince King,true,"Press
Paris Photo – Aperture PhotoBook Awards First PhotoBook Shortlist
MoMa: Our Favorite Photobooks of 2022
TIME's 20 Best Photobooks of 2022
Another Mag: Clifford Prince King’s Moving Portraits of Black, Queer Intimacy
British Journal of Photography - The photobooks not to miss this autumn

Clifford Prince King moved to Orange Grove in 2016 with friend and collaborator Malcolm Marquez. They shared a warm two-bedroom in the Burbank hills, tucked into a leafy courtyard within walking distance of the Sprouts, where King worked the early shift. 
The photographs from this time detail the spectrum of exploration, bliss, and transformation that comes with burgeoning queerness in a new creative, social, and physical landscape that shaped the ethos of these two artists’ creative practices. 
Orange Grove is dark and handsome, filled with King’s warm and intricate portraits that flow like tapestries while witnessing lovers and friends in the ether of vulnerability. With eyes wrapped around each other, King’s portraits remind the viewer that sex and intimacy are intrinsically collaborations.
King makes the everyday transparent while embracing the fantasy of the daydream. Romance in Libra demands balance, doesn’t it? A night comes and goes, but what if the moment could last forever? Fingers interlaced, a slow dance in the kitchen, post-hookup eyes.
Orange Grove is an orbital chart filled with many lives and connections. King is not the center, but he touches all as he traverses new realities of desire and intimacy. Woven into the narrative is King’s 2018 HIV diagnosis, and the subsequent shifts in the body that illness brings. Sheets dampened from night sweats transpose to pills on two tongues and an arm around the shoulder.
A bedroom is a place of mending, dreaming, and f**king. Orange Grove was a home. An altar to domesticity washed in the spirit of an evolving understanding of what is queer and black and masculine (not necessarily in that order). 
You’re invited in. You’re taken care of. There are books you’ve never read, knick knacks on the shelf, a meal placed before you. Lay down on the floor and gaze around or you’ll miss what’s present. King holds his own dearly with intrigue and grace. Orange Grove captures with precision the wonder of companionship and the beauty of developing selfhood.
- Syd Haliburton
 

 
Clifford Prince King is an artist living and working in New York and Los Angeles. King documents his intimate relationships in traditional, everyday settings that speak on his experiences as a queer black man. In these instances, communion begins to morph into an offering of memory; it is how he honors and celebrates the reality of layered personhood. Within King's images are nods to the beyond. Shared offerings to the past manifest in codes hidden in plain sight, known only to those who sit within a shared place of knowledge. Public collections holding his work include the Hammer Museum, Kleefeld Contemporary Art Museum, Los Angeles County Museum of Arts, ICA Miami, Minneapolis Institute of Art and Studio Museum in Harlem. King has recently exhibited work at Jeffrey Deitch Gallery (Los Angeles), Higher Pictures (New York City), Leslie Lohman Museum (New York City), Light Work (Syracuse, NY), MASS MoCA, Marc Selwyn Gallery (Beverly Hills), and Stars Gallery (Los Angeles). Publications carrying King’s images as commissioned work and features include Aperture, BUTT, Cultured, Dazed, i-D, Interview, T Magazine, The New York Times, Vice, Vogue and The Wall Street Journal.",https://www.tisbooks.pub/cdn/shop/files/20221026_181714.jpg?v=1702064914&width=4472,https://www.tisbooks.pub/cdn/shop/files/20221026_205556_d14f96e2-9749-4acb-9da3-2c424b4ab131.jpg?v=1702064914&width=4472|https://www.tisbooks.pub/cdn/shop/products/20221026_210550.jpg?v=1702064914&width=4650|https://www.tisbooks.pub/cdn/shop/products/20221026_210655.jpg?v=1702064914&width=4660|https://www.tisbooks.pub/cdn/shop/products/20221026_210957.jpg?v=1702064914&width=4670|https://www.tisbooks.pub/cdn/shop/products/20221026_211024.jpg?v=1702064914&width=4650,available,https://www.tisbooks.pub/products/orange-grove
Theatrum Equorum,Andrea Modica,true,"Press
PhotoWork
Zaptronic Interview
Smithsonian Magazine - The Ten Best Photography Books of 2022
Photograph Mag
Lenscratch Interview with Andrea Modica
Berman Museum opening
Nowhere Diary - Photo books you should add to your collection — fall 2022
Museé Magazine - Exhibition Review: Andrea Modica: Theatrum Equorum

The result of more than eight years of intense work in Italy and elsewhere, Theatrum Equorum is acclaimed photographer Andrea Modica’s latest monograph with TIS books.
As the title indicates, Modica’s interest lies in the drama of the horse – but her approach is one that completely upends expectations for such an exploration. Using her trademark 8 in x 10 in large format camera, she made these photographs at a renowned horse clinic in Bologna that attracts remarkable and often very valuable animals for a range of medical procedures including, among other things, fracture repairs, emergency colic intervention and dental work.
“When I was invited to witness an operation, I was immediately drawn to the contrast of these magnificent animals rendered so vulnerable,” Modica says. “I instantly wanted to investigate with my camera.” She began the project by making pictures of the horses in their post-operative recovery rooms: simple padded stalls with overhead windows that produce a lovely, soft light. To protect the animals as they emerge from anesthesia, the floors are carefully covered with the surgeon’s shredded junk mail, old medical journals, and art magazines. “The stalls are at once theatrical stages and humble boxes. In my photographs the horses are in an anesthetic sleep,” the artist notes. “There’s something sacred about the animals and the process of being able to go through this with them—a state of extreme vulnerability for an animal of that power.”
What followed was an obsessive visual study of the surgical tools, both before and after procedures, as well as a photographic examination of phantoms: curious “false” mares used for reproductive purposes. This part of the project took Modica to facilities in Italy as well as the United States, including visits to clinics in Maryland, Kentucky, and Florida. As such, Theatrum Equorum connects her previous work in Italy (published in such books as l’Amici del Cuore and Reveal) with her American works January 1, As We Wait, Human Being, Fountain, Treadwell, and Minor League, among many others.
Andrea Modica is a professor at Drexel University’s Antoinette Westphal College of Media Arts & Design and is a Guggenheim Fellow, a Fulbright Scholar, and the recipient of a Knight Award. An exhibition of the photographs contained in Theatrum Equorum runs June 15 through December 11, 2022, at the Philip and Muriel Berman Museum of Art on the Ursinus College campus in Collegeville, Pennsylvania.",https://www.tisbooks.pub/cdn/shop/files/20221026_180250.jpg?v=1702068745&width=4447,https://www.tisbooks.pub/cdn/shop/products/TheatrumEquorum.00_00_22_17.Still002.jpg?v=1667246913&width=3840|https://www.tisbooks.pub/cdn/shop/files/20221026_182816_975b2d24-c347-4c83-8847-f11338c02fc0.jpg?v=1702068745&width=4472|https://www.tisbooks.pub/cdn/shop/files/20221026_182857_30da0816-75d8-42b7-8a84-3f806ecf4faf.jpg?v=1702068745&width=4472|https://www.tisbooks.pub/cdn/shop/files/20221026_183731_9f1764e8-cece-4f6f-a892-811d73f24073.jpg?v=1702068745&width=4472|https://www.tisbooks.pub/cdn/shop/products/20221026_201004.jpg?v=1702068745&width=4472,available,https://www.tisbooks.pub/products/theatrum-equorum
Entrance to Our Valley,Jenia Fridlyand,true,"Press
Lenscratch: Jenia Fridlyand: On Domestic Life
The Online Photographer: A Visit to Jenia's Farm (One Thing Leads to Another)
British Journal of Photography - Best of 2019 - Michael Mack
Photobooks of 2019: John Gossage
FotoRoom - Jenia Fridlyand Shares Poetic Photos of Family Life on Her Farm
Collector Daily

Jenia Fridlyand uses a 4x5 view camera with flexibility and subtlety, rendering not only considered landscapes, but also domestic scenes of surprise and spontaneity. One senses ultimately the climate (literally and figuratively) of the valley in which her family is making a new home for itself. The simplest activities of housekeeping – eating and sleeping, planting and harvesting the garden, playing chess – are imbued with joy and gratitude in juxtapositions of interior and exterior life.
In 2017, Jenia Fridlyand created an artist’s book that sold out its limited run quickly and was shortlisted for the Paris Photo-Aperture First Photobook Prize.
The trade edition of Entrance to Our Valley is now in its second printing.",https://www.tisbooks.pub/cdn/shop/files/20231115_193654.jpg?v=1702063060&width=4224,https://www.tisbooks.pub/cdn/shop/files/20231115_203257.jpg?v=1702063060&width=4408|https://www.tisbooks.pub/cdn/shop/products/EntrancetoOurValley.00_00_15_03.Still001.jpg?v=1652537473&width=3840|https://www.tisbooks.pub/cdn/shop/products/JeniaFridlyand_EntrancetoOurValley_03.jpg?v=1702063060&width=2048|https://www.tisbooks.pub/cdn/shop/products/JeniaFridlyand_EntrancetoOurValley_04.jpg?v=1702063060&width=2048|https://www.tisbooks.pub/cdn/shop/products/JeniaFridlyand_EntrancetoOurValley_05.jpg?v=1702063060&width=2048,available,https://www.tisbooks.pub/products/entrance-to-our-valley
