title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
Snow;Max Sher;FALSE;"Snow offers an intimate photographic exploration of Kars, a Turkish city steeped in centuries of complex history. Once the capital of Armenian kingdoms and later a strategic frontier for Byzantines, Seljuks, and Ottomans, Kars embodies the cultural and political entanglements of empires.

Limited Edition: 500; Format: Hardcover; Printing: Four Colour Offset; Dimensions: 120 pages, 210 × 280 mm; ISBN: 978-3-911782-00-5; Year: 2025";https://thevelvetcell.com/media/pages/shop/snow/4ade5f7247-1763830110/tvc101_snow_1-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/snow/f8d32052fe-1763830078/tvc101_snow-2-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/caf4280e29-1763830096/tvc101_snow-6-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/42beca64f7-1763830072/tvc101_snow-3-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/b7df588292-1763830111/tvc101_snow-4-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/74bfd11cc4-1763830104/tvc101_snow-5-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/dd7373342d-1763830064/tvc101_snow-9-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/92fd90e012-1763830096/tvc101_snow-7-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/156ae530ae-1763830153/tvc101_snow-16-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/f16891a7a0-1763830145/tvc101_snow-15-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/e62ecf964c-1763830153/tvc101_snow-17-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/79ce384e76-1763830137/tvc101_snow-14-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/a62c39c01c-1763830129/tvc101_snow-13-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/snow/dcaa87b141-1763830042/tvc101_cover-2-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/snow
Bury Me in the Back Forty;Kyler Zeleny;FALSE;"Bury Me in the Back Forty is the highly anticipated successor to the sold-out books Out West and Crown Ditch by Kyler Zeleny and the final chapter in his prairie trilogy. For a decade now, Kyler Zeleny has been documenting his hometown, a rural community on the Canadian Prairies with deep Ukrainian roots, consisting of 915 people. Based on the idea that the story of any place evolves over time, Zeleny has been using his own photographs, collected objects, community archives, and hidden histories, to revise the community’s history book from the year 1980.

Limited Edition: 600; Format: Hardcover; Printing: Four Colour Offset; Dimensions: 168 pages, 210 × 267 mm; ISBN: 978-1-908889-96-6; Year: 2024";https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/843ca5c217-1763827953/tvc100-bury_me-front-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/bf3003ed4c-1763827927/tvc100-bury_me-3-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/88f694cfe2-1763827955/tvc100-bury_me-4-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/1a3aa1fccf-1763827953/tvc100-bury_me-5-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/03291a6c29-1763827958/tvc100-bury_me-6-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/bd01837459-1763827996/tvc100-bury_me-8-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/7a6440c20f-1763827993/tvc100-bury_me-9-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/002c4c4bc3-1763827926/tvc100_bury-me-14-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/08e223e9ce-1763827923/tvc100_bury-me-12-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/bury-me-in-the-back-forty/bf4382c898-1763827965/tvc100-bury_me-back-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/bury-me-in-the-back-forty
Non-Structures;Francisco Ibanez Hantke;FALSE;"The series Non-Structures presents London — and cities in general — as a spectacle of constant conflict, negotiation and flux. Capturing key moments in the life of diverse buildings, the images reveal a condition of transience, trapped as these buildings and sites are between the boundaries of architecture and ruin, planning and chance, process and product. The term “Non-Structures” alludes to anthropologist Marc Augé’s influential work Non-Places; this boundary condition, defined by an absence of identity, has lent its name to the series.

Limited Edition: 500; Format: Softcover; Dimensions: 144 pages, 230 × 310 mm";https://thevelvetcell.com/media/pages/shop/non-structures/bc6115266e-1763827711/tvc095-non-structers-front-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/non-structures/f728975a7f-1763827697/ebene-0-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/d9064bb676-1763827708/tvc095-17-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/185c6f1244-1763827683/tvc095-6-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/17fe389c88-1763827712/tvc095-15-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/4b2a0c4265-1763827686/tvc095-8-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/0775cf48b4-1763827716/tvc095-10-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/79b852e6e1-1763827718/tvc095-13-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/36d0c17a18-1763827676/tvc095-7-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/f258514310-1763827678/tvc095-20-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/non-structures/47eba277fb-1763827700/tvc095-non-structers-back-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/non-structures
HappySad Souvenirs;Paul Hiller;FALSE;"Happysad Souvenirs is a series of photographs taken in 2018 and 2019 during Hiller’s travels through China, Japan, Singapore, Thailand, Taiwan and Vietnam.

Limited Edition: 500; Format: Hardcover; Dimensions: 64 pages, 210 × 230 mm; Year: 2021";https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/74d0915d12-1763828226/tvc_092-happysad_cover-1-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/bf5d9192bd-1763828213/tvc092_happysad-1-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/18e43f99fd-1763828215/tvc092_happysad-3-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/db5aa9ac44-1763828188/tvc092_happysad-4-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/0725b2c238-1763828189/tvc092_happysad-5-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/56d93bb184-1763828214/tvc092_happysad-7-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/969b961e76-1763828213/tvc092_happysad-6-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/c552b9b387-1763828245/tvc092_happysad-8-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/1c6f378014-1763828253/tvc092_happysad-9-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/4a1e23da0e-1763828219/tvc092_happysad-10-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/5f0635b954-1763828231/tvc092_happysad-12-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/happysad-souvenirs/d3a0ee49a7-1763828226/tvc_092-happysad_cover-3-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/happysad-souvenirs
The Death and Life of Great Asian Cities Ⅱ;Eanna de Freine;TRUE;"The Death and Life of Great Asian Cities Vol II is the second in a three-part series containing work from over seven years of photographing cities in Asia. It is critical commentary of the state of Asian cities in the 21st century. This volume includes images from Kyoto, Jakarta, Osaka, Hualien, Tainan, Keelung, Taipei, Bangkok, Busan and Taichung.

Limited Edition: 500; Format: Softcover; Printing: Four Colour Offset; Dimensions: 80 pages, 148 × 210 mm; ISBN: 978-1-908889-91-1; Year: 2021";https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/f92ae54e45-1763830587/tvc091_mockup_0-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/549aa38201-1763830614/tvc091_tgdacii-1-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/53f27040c1-1763830614/tvc091_tgdacii-2-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/ba67089480-1763830610/tvc091_tgdacii-3-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/2f1cd1bf73-1763830629/tvc091_tgdacii-4-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/f3e0e71a6b-1763830643/tvc091_tgdacii-7-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/1e5c168f83-1763830619/tvc091_tgdacii-5-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/93b95d8fc6-1763830640/tvc091_tgdacii-6-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/the-death-and-life-of-great-asian-cities-2/1c3274e1d7-1763830579/tvc091_mockup_back-1-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/the-death-and-life-of-great-asian-cities-2
Linz Diary;Peter Bialobrzeski;TRUE;"Peter Bialobrzeski visits Linz, Austria. It was a provincial and local government city of the Holy Roman Empire, and an important trading point connecting several routes, on either side of the river Danube from the east to the west and Bohemia and Poland from north to the Balkans and Italy to the south. Hitler considered Linz to be his hometown. Linz Diary was shot between 18th and the 29th 2017 and is the 14th instalment in the City Diary series.

Limited Edition: 500; Format: Swiss Binding; Printing: Four Colour Offset; Dimensions: 112 pages, 140 × 210 mm; ISBN: 978-1-908889-90-4; Year: 2021";https://thevelvetcell.com/media/pages/shop/linz-diary/bb87a4f73d-1763828572/tvc_090-linz-diary_cover-1-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/linz-diary/e4466e7114-1763828658/tvc086-90_diaries-46-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/linz-diary/800ade8771-1763828628/tvc086-90_diaries-47-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/linz-diary/211fa09635-1763828609/tvc086-90_diaries-48-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/linz-diary/a09ed6f734-1763828609/tvc086-90_diaries-49-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/linz-diary/a71053ec07-1763828608/tvc086-90_diaries-50-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/linz-diary/1aafce6138-1763828659/tvc086-90_diaries-52-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/linz-diary/4d4ea723ab-1763828623/tvc086-90_diaries-53-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/linz-diary/5716d84724-1763828662/tvc086-90_diaries-54-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/linz-diary/4ab41b1a7d-1763828572/tvc_090-linz-diary_cover-2-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/linz-diary
Belfast Diary;Peter Bialobrzeski;TRUE;"Peter Bialobrzeski visits Belfast, Northern Ireland. Belfast suffered greatly during the violence that accompanied the partition of Ireland, and especially during the more recent conflict known as the Troubles. Belfast Diary was shot between 18th and the 29th 2017 and is the 14th instalment in the City Diary series.

Limited Edition: 500; Format: Swiss Binding; Dimensions: 112 pages, 140 × 210 mm; ISBN: 978-1-908889-89-8";https://thevelvetcell.com/media/pages/shop/belfast-diary/ca927102d9-1763828430/tvc_089-belfast-diary_cover-1-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/belfast-diary/bfebe81ce1-1763828507/tvc086-90_diaries-36-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/735d47d54b-1763828508/tvc086-90_diaries-37-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/51df6040a7-1763828446/tvc086-90_diaries-38-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/992f48bd28-1763828485/tvc086-90_diaries-41-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/b523d59a3a-1763828499/tvc086-90_diaries-40-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/3306fa719b-1763828470/tvc086-90_diaries-392-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/ca0cc05aaf-1763828471/tvc086-90_diaries-42-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/c2c879cd8f-1763828468/tvc086-90_diaries-43-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/75226d6b8b-1763828464/tvc086-90_diaries-44-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/belfast-diary/19c8b7bafb-1763828438/tvc_089-belfast-diary_cover-2-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/belfast-diary
Minsk Diary;Peter Bialobrzeski;TRUE;"Peter Bialobrzeski visits the Belarussian capital, Minsk. Minsk the 11th most populous city in Europe. Minsk is the administrative capital of the Commonwealth of Independent States (CIS). Between 1919 to 1991, after the Russian Revolution, Minsk was the capital of the Byelorussian Soviet Socialist Republic, in the Soviet Union. Minsk Diary was shot between 15th – 23th April 2018 and is the 13th instalment in the City Diary series.

Limited Edition: 500; Format: Swiss Binding; Printing: Four Colour Offset; Dimensions: 112 pages, 140 × 210 mm; ISBN: 978-1-908889-88-1";https://thevelvetcell.com/media/pages/shop/minsk-diary/3e56ea4541-1763829987/tvc_088-minsk-diary_cover-1-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/minsk-diary/f06e15e199-1763830024/tvc086-90_diaries-27-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/minsk-diary/8a9fd5861d-1763829992/tvc086-90_diaries-28-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/minsk-diary/26280b8b36-1763829998/tvc086-90_diaries-29-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/minsk-diary/8ce752352f-1763830027/tvc086-90_diaries-32-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/minsk-diary/c0939253ca-1763830031/tvc086-90_diaries-30-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/minsk-diary/d9b34aaa73-1763830044/tvc086-90_diaries-31-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/minsk-diary/d4692b9461-1763830048/tvc086-90_diaries-34-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/minsk-diary/105e649603-1763830006/tvc086-90_diaries-352-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/minsk-diary/061aa1fa01-1763829992/tvc_088-minsk-diary_cover-2-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/minsk-diary
Yangon Diary;Peter Bialobrzeski;TRUE;"Peter Bialobrzeski visits the city of Yangon. With over 7 million people, Yangon is Myanmar’s most populous city and its most important commercial centre. Yangon Diary was shot between 21 Feb – 1 Mar 2019 and is the 11th instalment in the City Diary series.

Limited Edition: 500; Format: Swiss Binding; Printing: Four Colour Offset; Dimensions: 112 pages, 140 × 210 mm; ISBN: 978-1-908889-87-4";https://thevelvetcell.com/media/pages/shop/yangon-diary/715340e2f3-1763827767/tvc_087-yangon-diary_cover-1-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/yangon-diary/f7273ace3c-1763827759/tvc086-90_diaries-14-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/e90b9b9ca0-1763827739/tvc086-90_diaries-15-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/457bda6405-1763827758/tvc086-90_diaries-17-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/bd6b650f62-1763827754/tvc086-90_diaries-16-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/03269d49d1-1763827815/tvc086-90_diaries-21-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/185d402f0d-1763827830/tvc086-90_diaries-22-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/3032b2534f-1763827818/tvc086-90_diaries-20-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/9bafa591af-1763827805/tvc086-90_diaries-25-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/a891a351ce-1763827833/tvc086-90_diaries-23-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/a1771e64ca-1763827783/tvc086-90_diaries-24-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/a11bf11023-1763827782/tvc086-90_diaries-26-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/yangon-diary/3c0cf03e9e-1763827737/tvc_087-yangon-diary_cover-2-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/yangon-diary
Dhaka Diary;Peter Bialobrzeski;TRUE;"Peter Bialobrzeski turns his gaze on the city of Dhaka, the capital city of Bangladesh, the fourth-most densely populous city in the world with a population of over 21 million residents in the Greater Dhaka Area. Capturing its crowded streets and back-alleys, Bialobrzeski’s images reveal a city in constant state of development. Dhaka Diary was shot between 21 Feb – 1 Mar 2019 and is the 11th instalment in the City Diary series.

Limited Edition: 500; Format: Swiss Binding; Printing: Four Colour Offset; Dimensions: 112 pages, 140 × 210 mm; ISBN: 978-1-908889-86-7";https://thevelvetcell.com/media/pages/shop/dhaka-diary/1ce9bb9955-1763828054/tvc_086-dhaka-diary_cover-1-1000x-q75-sharpen10.jpg;https://thevelvetcell.com/media/pages/shop/dhaka-diary/376545cf9f-1763828072/tvc086-90_diaries-1-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/615027ee81-1763828058/tvc086-90_diaries-2-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/0681e24638-1763828059/tvc086-90_diaries-3-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/8d9feeec16-1763828011/tvc086-90_diaries-5-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/945f913330-1763828017/tvc086-90_diaries-6-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/26c4a1545d-1763828055/tvc086-90_diaries-7-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/a1dae86076-1763828038/tvc086-90_diaries-10-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/73ccf1bf86-1763828024/tvc086-90_diaries-11-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/a39dd53c61-1763828013/tvc086-90_diaries-12-1000x-q75-sharpen10.jpg|https://thevelvetcell.com/media/pages/shop/dhaka-diary/b7f89acdb0-1763828067/tvc_086-dhaka-diary_cover-2-1000x-q75-sharpen10.jpg;available;https://thevelvetcell.com/shop/dhaka-diary
