artist_name,book_name,profile_url,publisher_name,publisher_profile_url
AAVV,OMNE / ATLAS AQUÆ,https://photobookers.com/creators/aavv,SkinnerBoox,https://photobookers.com/creators/skinnerboox
Abdulhamid Kircher,Rotting from Within,https://photobookers.com/creators/abdulhamid-kircher,Loose Joints,https://photobookers.com/creators/loose-joints
Al Palmer,Colour Field: Misfortune,https://photobookers.com/creators/al-palmer,Brown Owl Press,https://photobookers.com/creators/brown-owl-press
Alain Levitt,"Everybody's Guilty, No One's To Blame",https://photobookers.com/creators/alain-levitt,Super Labo,https://photobookers.com/creators/super-labo
Albert Elm,This Much is True,https://photobookers.com/creators/albert-elm,DISKOBAY,https://photobookers.com/creators/diskobay
Alejandro Cartagena,A Guide to Infrastructure & Corruption,https://photobookers.com/creators/alejandro-cartagena,The Velvet Cell,https://photobookers.com/creators/the-velvet-cell
ALESSIO PELLICORO,NEL QUASI INVISIBILE,https://photobookers.com/creators/alessio-pellicoro,SkinnerBoox,https://photobookers.com/creators/skinnerboox
Alexander Gronsky,Norilsk,https://photobookers.com/creators/alexander-gronsky,The Velvet Cell,https://photobookers.com/creators/the-velvet-cell
Alice Proujansky,Hard Times are Fighting Times,https://photobookers.com/creators/alice-proujansky,Gnomic Book,https://photobookers.com/creators/gnomic-book
Alison McCauley,Anywhere but here,https://photobookers.com/creators/alison-mccauley,Photo Editions,https://photobookers.com/creators/photo-editions
Amy Woodward,Milk Teeth,https://photobookers.com/creators/amy-woodward,Tall Poppy Press,https://photobookers.com/creators/tall-poppy-press
Anastasia Davis,Letting Go,https://photobookers.com/creators/anastasia-davis,Brown Owl Press,https://photobookers.com/creators/brown-owl-press
Andoni Beristain,Pieza Madre,https://photobookers.com/creators/andoni-beristain,Setanta Books,https://photobookers.com/creators/setanta-books
André Príncipe,ANIMA - ENCOUNTERS WITH WILD ANIMALS IN PORTUGAL,https://photobookers.com/creators/andre-principe,Pierre von Kleist Editions,https://photobookers.com/creators/pierre-von-kleist-editions
Andrea Modica,Theatrum Equorum,https://photobookers.com/creators/andrea-modica,TIS Books,https://photobookers.com/creators/tis-books
Andrea Orejarena & Caleb Stein,American Glitch,https://photobookers.com/creators/andrea-orejarena--caleb-stein,Gnomic Book,https://photobookers.com/creators/gnomic-book
Andrea Simonato,Antro,https://photobookers.com/creators/andrea-simonato,Kult Books,https://photobookers.com/creators/kult
Andreas Gehrke,Flughafen Berlin-Tegel,https://photobookers.com/creators/andreas-gehrke,Drittel Books,https://photobookers.com/creators/drittel-books
Andrew D. McClees,Wanderlust,https://photobookers.com/creators/andrew-d-mcclees,Brown Owl Press,https://photobookers.com/creators/brown-owl-press
Andrew Fedynak,"“I’m Not Here, Calypso.”",https://photobookers.com/creators/andrew-fedynak,Zatara Press,https://photobookers.com/creators/zatara-press
Anna Arendt,Vanishing,https://photobookers.com/creators/anna-arendt,Charcoal Press,https://photobookers.com/creators/charcoal-press
Anna Tsitsishvili,Tbilisi Interiors,https://photobookers.com/creators/anna-tsitsishvili,Art Paper Editions,https://photobookers.com/creators/art-paper-editions
Anne Day,Les Flashs D'Anne,https://photobookers.com/creators/anne-day,Magic Hour Press,https://photobookers.com/creators/magic-hour-press
Anouk Tschanz,ACTINISM,https://photobookers.com/creators/anouk-tschanz,Jungle Books,https://photobookers.com/creators/jungle-books
