book_id,slug,title,existing_tags,suggested_theme_tags,suggested_geo_tags,merged_tags,changed
ac79bdf1-fd6d-4034-9a8d-230d59c20845,rubber-pencil-devil-alex-da-corte,Rubber Pencil Devil,,,los angeles; united states,los angeles; united states,yes
3589eb33-8814-41dc-b3ad-8a76cd7643f5,the-death-and-life-of-great-asian-cities-vol-ii-eanna-de-freine,The Death and Life of Great Asian Cities Vol II,asia; japan; taiwan; taipei; osaka; indonesia; jakarta; busan; korea; vietnam; da nang,asia,bangkok; busan; hualien; indonesia; jakarta; japan; keelung; kyoto; osaka; south korea; taichung; tainan; taipei; taiwan; thailand,asia; japan; taiwan; taipei; osaka; indonesia; jakarta; busan; korea; vietnam; da nang; bangkok; hualien; keelung; kyoto; south korea; taichung; tainan; thailand,yes
f746d6b4-f41e-4e9a-bc14-a7531fd14583,corrected-proofs-previously-unpublished-uncollected-unwanted-bob-nickas,"Corrected Proofs. Previously Unpublished, Uncollected, Unwanted",,,,,no
f313866f-4f51-4a77-8678-8b74337bd8a0,tobiko-gabriele-harhoff,Tobiko,japan; asia; urban,,,japan; asia; urban,no
fd748b61-42bb-4f09-9240-02fc618a92ee,rough-version-with-peter-funch-francesca-gavin,Rough Version with Peter Funch,,,,,no
bf9088a0-373f-46a2-8e03-1d9717a4d4c4,outskirts-daisuke-yokota,Outskirts,,urban,japan; tokyo,urban; japan; tokyo,yes
26484593-f029-417e-869d-b51e9e84a424,lamo-lava-melanie-matthieu,Lâmo Lâva,,france,,france,yes
3d827ced-bb0a-4d1e-b82f-6b1542f78e7f,paris-et-la-banlieue-eanna-de-freine,Paris et la Banlieue,paris; france; urban,architecture; france; urban,france; paris,paris; france; urban; architecture,yes
6021986d-69ea-4cbc-9c14-b019e7ad087e,the-death-and-life-of-great-asian-cities-i-eanna-de-freine,The Death and Life of Great Asian Cities vol I,japan; taiwan; vietnam; hong kong; jakarta; busan,asia; urban,bangkok; busan; china; da nang; hong kong; indonesia; jakarta; japan; kaoshiung; keelung; kobe; laos; luang prabang; osaka; shanghai; south korea; taipei; taiwan; thailand; vietnam,japan; taiwan; vietnam; hong kong; jakarta; busan; asia; urban; bangkok; china; da nang; indonesia; kaoshiung; keelung; kobe; laos; luang prabang; osaka; shanghai; south korea; taipei; thailand,yes
831cdabb-b98c-48d2-812d-1b7ab697000b,lost-rivers-eanna-de-freine,Lost Rivers,taiwan; taipei; rivers; nature; urban,urban,taichung; tainan; taipei; taiwan,taiwan; taipei; rivers; nature; urban; taichung; tainan,yes
